"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:36cmM3MBMWWCFIiQ90U4J8","Bounce (feat. Kelis) - Radio Edit","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0IF46mUS8NXjgHabxk2MCM","Calvin Harris, Kelis","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","2","222186","https://p.scdn.co/mp3-preview/275412929dd6bdc96b7c64d5cf70778ac14fb8cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2020-01-12T02:42:54Z"
"spotify:track:7DPpdwFmXrmtSFhMfMhy80","Ghosts 'n' Stuff","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:2SNg8nqwOHF1eZgRnL9zes","deadmau5, Rob Swire","spotify:album:77pjtGdQsFAJ8eV6pV2ZZz","For Lack Of A Better Name","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2009-01-01","https://i.scdn.co/image/ab67616d0000b2730747c05f0574ad949a5bcc2b","1","3","327733","https://p.scdn.co/mp3-preview/79be4faffaa3bc585a05273d8f53c410568bc007?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2020-01-12T02:43:09Z"
"spotify:track:7e0JYBx8mE2DgPqSIioIZ2","Golddust - Original Mix","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","spotify:album:2XlFUmzm8HEujlACVJToEq","Kryptonite","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","2010-08-30","https://i.scdn.co/image/ab67616d0000b2732e42fbbaf0e0ed00d0b2e3d6","1","4","191560","https://p.scdn.co/mp3-preview/269ea7a3bc5f2033482f80dcd94672afc430df71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2020-01-12T02:43:28Z"
"spotify:track:1XNvUrCop20hAWfROW1CoV","Dance Wiv Me - Radio Edit","spotify:artist:0gusqTJKxtU1UTmNRMHZcv, spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6rRfU5PFMng3MXEU7xMwUW","Dizzee Rascal, Calvin Harris, Chrome","spotify:album:5EKQI8I9axhDzVABDLAHKY","Dance Wiv Me","spotify:artist:0gusqTJKxtU1UTmNRMHZcv, spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6rRfU5PFMng3MXEU7xMwUW","Dizzee Rascal, Calvin Harris, Chrome","2008","https://i.scdn.co/image/ab67616d0000b27380091af1428436cf905a9d70","1","1","203571","https://p.scdn.co/mp3-preview/19a5c6f524731c7fb7c2477abc81473ec0e4def7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2020-01-12T02:43:36Z"
"spotify:track:5RDoNntavZKgQuht4OXCeE","Lights - Bassnectar Remix - Bonus Track","spotify:artist:0X2BH1fck6amBIoJhDVmmJ, spotify:artist:1JPy5PsJtkhftfdr6saN2i","Ellie Goulding, Bassnectar","spotify:album:06kwk9M664aflmjnZCT9Av","Throwback Workout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-08-23","https://i.scdn.co/image/ab67616d0000b273d36c134452c769845d85f232","1","3","276626","https://p.scdn.co/mp3-preview/c221198e0c285baed50c77f421ce5daad7696f17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:brenmiester","2020-01-12T02:43:51Z"
"spotify:track:7s3Vi58HqObDDapEngBMnp","Calling - Original Instrumental Mix","spotify:artist:6hyMWrxGBsOx6sWcVj1DqP, spotify:artist:4AVFqumd2ogHFlRbKIjp1t","Sebastian Ingrosso, Alesso","spotify:album:5MuYgSzZPeotZVhudMoOZO","Calling (Original Instrumental Mix)","spotify:artist:6hyMWrxGBsOx6sWcVj1DqP, spotify:artist:4AVFqumd2ogHFlRbKIjp1t","Sebastian Ingrosso, Alesso","2012-01-01","https://i.scdn.co/image/ab67616d0000b273a202ea382607d05a66c05ad6","1","1","341506","https://p.scdn.co/mp3-preview/a91a5cb156169b8a0af412fbcee2eeb2efca4b28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:brenmiester","2020-01-12T02:49:47Z"
"spotify:track:2V4bv1fNWfTcyRJKmej6Sj","Cooler Than Me - Single Mix","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa, spotify:artist:1Bo8Afb2Qbjs4x6kJHyjle","Mike Posner, Gigamesh","spotify:album:2nnIlWcriIqcJtjduWcTRl","31 Minutes to Takeoff","spotify:artist:2KsP6tYLJlTBvSUxnwlVWa","Mike Posner","2010-08-09","https://i.scdn.co/image/ab67616d0000b273a98ac59b1f31230990d941a2","1","4","213293","https://p.scdn.co/mp3-preview/2bdd0657065db57b71f6c34179bde0b45bfbfc89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:brenmiester","2020-01-13T08:59:40Z"
"spotify:track:2grynUHH0A3faPhGjdkjeJ","Cracks - Flux Pavilion Remix","spotify:artist:0zg9mF9dX2knvdTKnL22T1, spotify:artist:5Uh9Oco0Khv18UvTo2PucM, spotify:artist:7muzHifhMdnfN1xncRLOqk","Freestylers, Belle Humble, Flux Pavilion","spotify:album:4FZN3xzop7bJHHlwak32os","Cracks","spotify:artist:0zg9mF9dX2knvdTKnL22T1","Freestylers","2010-08-25","https://i.scdn.co/image/ab67616d0000b273960ff49d42e10ecb52b9de82","1","2","281083","https://p.scdn.co/mp3-preview/d49bb7d83714d6808f23e72756b6a201b25954ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2020-01-13T10:35:07Z"
"spotify:track:5ZkAx8zjLiSs1nMmBwJoZS","When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:0aqJGQ73RTLu3yLgcdU9JC","Wreck-It Ralph","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-01","https://i.scdn.co/image/ab67616d0000b2736fba239d8fdb3f7125e19091","1","1","218093","https://p.scdn.co/mp3-preview/eb1489d0aed00b8aee01c9b17fa739b71ee57b1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2020-01-13T10:38:27Z"
"spotify:track:2E01JGJGMa5gW1PmqAWYXG","Overtime","spotify:artist:1LOB7jTeEV14pHai6EXSzF","Cash Cash","spotify:album:5lLQIsKacRMQwp4tfrocjh","Overtime EP","spotify:artist:1LOB7jTeEV14pHai6EXSzF","Cash Cash","2013-10-29","https://i.scdn.co/image/ab67616d0000b273b841128572331ebb179f781f","1","2","246447","https://p.scdn.co/mp3-preview/73251d685a975f1c89d223fc055e5b1b846b9521?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-01-13T10:40:09Z"
