"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5NoQvINZLBV1wMYPdNmReL","I Wanna Be Sedated","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","spotify:album:43zbrwwFHh5e7cmDQomx8Z","Road to Ruin (40th Anniversary Deluxe Edition)","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","1978","https://i.scdn.co/image/ab67616d0000b273072ee11a51e23f861c54cef9","1","7","149786","https://p.scdn.co/mp3-preview/a317a5a0c0599a999291b478e1587a7de72d73d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2021-04-16T03:34:54Z"
"spotify:track:0w7lKfhxW190u1ckXi45E9","Brighton Rock - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:1Gnrd76EubInPV4KjOJ1Zr","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1974-11-08","https://i.scdn.co/image/ab67616d0000b27309e2ec500166cf2d5ac21050","1","1","310013","https://p.scdn.co/mp3-preview/ad2f1e730f728b9209d5bde6bdecfb29996adf56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2021-04-16T03:35:02Z"
"spotify:track:71JPJWascgCAw51dlx6d8l","Up in the Air","spotify:artist:1y8EmGsjJJzgc7cesjNmR9","Mirrors at the Arcade","spotify:album:18Y14Em5okyQkBbqF3FzIx","Up in the Air","spotify:artist:1y8EmGsjJJzgc7cesjNmR9","Mirrors at the Arcade","2020-02-18","https://i.scdn.co/image/ab67616d0000b2739eeeed9949fdb55bfb8980c0","1","1","130872","https://p.scdn.co/mp3-preview/af5208f00db9e6578bcd2c6626e43c5d819768c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:brenmiester","2021-04-16T04:33:52Z"
"spotify:track:5c5a2Ptu8eyIpljhQHjIqk","Ain't No Rest For The Wicked - Original Version","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:0KcRX7YkMZ4mwOkEiCb9zw","Cage The Elephant","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2008-01-01","https://i.scdn.co/image/ab67616d0000b27304a4f82bf0594b411397edde","1","3","175493","","false","3","spotify:user:brenmiester","2021-04-16T03:32:55Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","3","179813","https://p.scdn.co/mp3-preview/7327e3ac55e460208a753ce81872321dc06b7603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2021-04-16T03:32:28Z"
"spotify:track:7kzKAuUzOITUauHAhoMoxA","Last Nite","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","7","193506","https://p.scdn.co/mp3-preview/70f22457de081876f601049009ea21ea92009e97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2021-04-16T03:32:59Z"
"spotify:track:4gLKwyeBDtXoqe5ev9QcqP","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","5","162906","","false","0","spotify:user:brenmiester","2021-04-16T03:32:21Z"
"spotify:track:1QtACu6AXDCRYVcmo22nIk","Lisa - Alternate Mix","spotify:artist:1pJEZXU2hJApJW3rM7LmMu","The Easybeats","spotify:album:2LTIOQBvQt6ubWJQiQSxS9","Easy","spotify:artist:1pJEZXU2hJApJW3rM7LmMu","The Easybeats","1965-01-01","https://i.scdn.co/image/ab67616d0000b2736f69cc280f4d0f6df3d2107e","1","19","195533","https://p.scdn.co/mp3-preview/9487f5a40d2c97f140f2c9f214de51ae31d9a2c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:brenmiester","2021-04-16T04:07:53Z"
"spotify:track:2HRVYqBn6EIFGxFbzVQjsz","Living In The Dark","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:1eVttL9fpm6taF9nQmGy5F","Half Drunk Under A Full Moon","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2021-04-02","https://i.scdn.co/image/ab67616d0000b27369df7665167a53359938c0eb","1","6","188778","https://p.scdn.co/mp3-preview/ef856fab64037e1477705da918a1d4ffe7bc10cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:brenmiester","2021-04-16T03:33:31Z"
"spotify:track:27gRd0sbdd8cJdI6yx6dt8","I'm Fine","spotify:artist:6P5NO5hzJbuOqSdyPB7SJM","Ashe","spotify:album:6NSFKf3tZ1bwV02jSJxGAg","I'm Fine","spotify:artist:6P5NO5hzJbuOqSdyPB7SJM","Ashe","2021-04-08","https://i.scdn.co/image/ab67616d0000b27315d77c293f377a2d082c2442","1","1","136345","https://p.scdn.co/mp3-preview/078184343f837eee225d9344c09f08846748da4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2021-04-16T04:07:34Z"
