"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5uVM8EIOTi0vAOUa4aNdCy","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","8","189693","","false","0","spotify:user:brenmiester","2019-08-02T13:33:50Z"
"spotify:track:2TZ9kaTiLewawHZK7yylSC","No Fear No More","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:6Lq1lrCfkpxKa4jCo5gKWr","Good Faith","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2019-11-15","https://i.scdn.co/image/ab67616d0000b273dc384e6d13983fe1cd415ade","1","7","195106","https://p.scdn.co/mp3-preview/5a7fef747374a83fa4142cac77ea1c6b0b3ff3d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2020-01-01T05:44:37Z"
"spotify:track:5PZI5xTcMq8FsCcEroth7S","Boneless","spotify:artist:77AiFEVeAVj2ORpC85QVJs, spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:2vVNxGBvKRQMWwI5c8KmYh","Steve Aoki, Chris Lake, Tujamo","spotify:album:3EJZwYDh3zfdpjw1HX4MYA","Boneless (Remixes)","spotify:artist:77AiFEVeAVj2ORpC85QVJs, spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE, spotify:artist:2vVNxGBvKRQMWwI5c8KmYh","Steve Aoki, Chris Lake, Tujamo","2013-09-10","https://i.scdn.co/image/ab67616d0000b273fe595a277d1741ec870764de","1","1","270000","https://p.scdn.co/mp3-preview/f16eb514ab97922c97922c847b431ca3b292a253?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2020-01-06T06:00:39Z"
"spotify:track:0ijhkvBpA7OBlY4clWSUZw","One More Time - Radio Edit [Short Radio Edit]","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4a0p1M12f7VaZWdoNSdEK4","Musique, Vol. 1","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2006-03-29","https://i.scdn.co/image/ab67616d0000b2737659e5268c008c136fc9c279","1","7","235466","https://p.scdn.co/mp3-preview/9bffd7dda9b9b9c72f9404591167f40fd857b459?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:brenmiester","2020-01-21T00:44:06Z"
"spotify:track:2pVso3S7c78GHfUzkcr7n8","Intoxicated","spotify:artist:1bj5GrcLom5gZFF5t949Xl, spotify:artist:7l3UtcnrlxH7wPrb1HXFI6","Martin Solveig, GTA","spotify:album:44rL903iGy1ZOJjYLe0l40","Intoxicated (Remixes)","spotify:artist:1bj5GrcLom5gZFF5t949Xl","Martin Solveig","2015-01-05","https://i.scdn.co/image/ab67616d0000b273e9f4d0047e2d77736facf59c","1","6","257279","https://p.scdn.co/mp3-preview/8b706167e3ada99c1049ae46b4eb0646c030976f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2020-02-14T02:01:16Z"
"spotify:track:43HB8rqTgyyvG74mMAHXnL","OK","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","3","181760","https://p.scdn.co/mp3-preview/f4f884c30ff78976d16b228d749a4a204bcf0eea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:brenmiester","2020-02-17T07:23:17Z"
"spotify:track:6HCYraYP2Q91yZZ9wQqkBi","Cut the Kid","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","16","197573","https://p.scdn.co/mp3-preview/28e5c339569ceeb989aedeff791faef2198e641f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-02-17T07:23:17Z"
"spotify:track:46lFttIf5hnUZMGvjK0Wxo","Runaway (U & I)","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Pharmacy","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","2015-06-05","https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11","1","4","227073","https://p.scdn.co/mp3-preview/c1024d02ec15b93fe218692fb9ad23c5bad3e1aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:brenmiester","2020-02-17T07:53:56Z"
"spotify:track:2NRKqJK2nFpr0VHn74EwhV","Imperium","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","7","198853","https://p.scdn.co/mp3-preview/d2a2d91e01e4de425f58e85ac691ce1718c50dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2020-02-18T06:14:02Z"
"spotify:track:2sm2f0mbOnfCi1MOLIegdV","Gold","spotify:artist:3UCbp6D1lvILlxRJT9LnFa","Koven","spotify:album:5OvG0ow70k4wROjF597ost","Gold / YES","spotify:artist:3UCbp6D1lvILlxRJT9LnFa","Koven","2020-02-18","https://i.scdn.co/image/ab67616d0000b27355906dd62469de9f98363d9d","1","1","260800","https://p.scdn.co/mp3-preview/b86c18f68ac0327d459fbc602f7ead51591912c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2020-02-19T03:41:39Z"
