"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6eRJfzCaPjbkTQ0gvPMLsi","Hide and Seek","spotify:artist:6Xb4ezwoAQC4516kI89nWz","Imogen Heap","spotify:album:7sJMiEjWDtUg3ccvn2QsUC","Speak For Yourself","spotify:artist:6Xb4ezwoAQC4516kI89nWz","Imogen Heap","2005-11-01","https://i.scdn.co/image/ab67616d0000b273646d96db3fdc0d2d4d8b2d57","1","5","268866","https://p.scdn.co/mp3-preview/4cd9322b9a7352cf9d6b03a596c24673e8e7c7a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2017-06-17T11:54:23Z"
"spotify:track:6Sy9BUbgFse0n0LPA5lwy5","Sandstorm","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","spotify:album:0Xks5v0dve8Gh2tRHIekjo","Before the Storm, Special Edition","spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ","Darude","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f9ef39657ba18c612641ee6d","1","4","225493","https://p.scdn.co/mp3-preview/ef1fbd441eb8576dcc7c44a67dff75db0d712d28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:brenmiester","2017-06-20T08:48:18Z"
"spotify:track:7ntXYU4zboGuq5ZunkrXRB","All Star","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","spotify:album:183GEdjm0dJezlc8CeBLYu","Astro Lounge","spotify:artist:2iEvnFsWxR0Syqu2JNopAd","Smash Mouth","1999-01-01","https://i.scdn.co/image/ab67616d0000b2739b997f037ce314dc4d39625f","1","5","200373","","false","0","spotify:user:brenmiester","2017-06-20T08:48:19Z"
"spotify:track:2lZHCWCUkxLuQ5skJhkoyS","Shooting Stars","spotify:artist:6fXEqmGQEt6ONuqVmwrN46","Bag Raiders","spotify:album:1HPUrRUr6dg34UHoqUQx6a","Bag Raiders (Deluxe)","spotify:artist:6fXEqmGQEt6ONuqVmwrN46","Bag Raiders","2011-01-01","https://i.scdn.co/image/ab67616d0000b273273d3dfbf1d03268805e53b6","1","3","235813","","false","0","spotify:user:brenmiester","2017-06-20T08:48:22Z"
"spotify:track:2IHaGyfxNoFPLJnaEg4GTs","What Is Love - 7"" Mix","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","spotify:album:1LAx7yCVbGwskdnGDof8SC","The Album","spotify:artist:0Suv0tRrNrUlRzAy8aXjma","Haddaway","1993-09-13","https://i.scdn.co/image/ab67616d0000b273fe2466bf2316d66cf3d3249c","1","1","270373","https://p.scdn.co/mp3-preview/659374a67e87fcdc8ea1d975f65d3321084f4ab6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:brenmiester","2017-06-20T08:48:25Z"
"spotify:track:5VOoT3AIIStTSN8cSMrSD4","Nyan Cat Theme","spotify:artist:6cVOyC3FEeSZVIHjw9IOhD","Nyan Cat","spotify:album:6V2spy8H6yV7udgvVRnpGF","Grumpy Cat's Worst Christmas Ever (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-12-01","https://i.scdn.co/image/ab67616d0000b2736019af2d2337f6be9c5890c1","1","16","226000","https://p.scdn.co/mp3-preview/18bc31a2a1c52cd299fa80e005c6ecdc839b17b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2017-06-20T08:48:26Z"
"spotify:track:3UL6Lzsocv9Ucizgzid2B0","We like to Party! (The Vengabus)","spotify:artist:0cwmNvclzPd8mQnoHuIksj","Vengaboys","spotify:album:5t02mTYT9ks9sOC1ihea4a","Greatest Hits!","spotify:artist:0cwmNvclzPd8mQnoHuIksj","Vengaboys","2000","https://i.scdn.co/image/ab67616d0000b273e5c10f4d11a5b4bad3fafe8b","1","1","222458","","false","1","spotify:user:brenmiester","2017-06-20T08:56:17Z"
"spotify:track:3f4x82hFTmTHFl8Qnryw9z","Goofy Goober Rock","spotify:artist:3zCAmjKyHsG7kTGsls1cfj","Spongebob Squarepants","spotify:album:1jcfc3LjnCORRAfvf5Ml42","SpongeBob's Greatest Hits","spotify:artist:3zCAmjKyHsG7kTGsls1cfj","Spongebob Squarepants","2001","https://i.scdn.co/image/ab67616d0000b273b1257af010373a2f1c116eb7","1","10","174026","https://p.scdn.co/mp3-preview/a4f5e1c13c84a25980a70817d62ca4536796071b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2017-06-20T08:57:37Z"
"spotify:track:2rP94MqKpYahXb6uodpV8L","Cotton Eye Joe - Original Version","spotify:artist:22Zqu1yyebVnbve8FxbJ2g","Rednex","spotify:album:367IyZXCIvxqsbUt0MDnDY","Partykracher","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007","https://i.scdn.co/image/ab67616d0000b2734f1cb1fab60ae54ee262469f","1","7","190360","https://p.scdn.co/mp3-preview/981df24602271d9d44501333042934d2806537ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:brenmiester","2017-06-20T08:57:42Z"
"spotify:track:02YZLChInXZPMLPoSmYa9z","Theme (From ""Thomas the Tank Engine"")","spotify:artist:0VeT7hHTJFJZcENGekjCsB","London Music Works","spotify:album:1ost8iDohzxcLEQcT7OpdG","Music For Big Kids","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-05","https://i.scdn.co/image/ab67616d0000b273d75321089751a84fcf3317c8","1","5","103506","https://p.scdn.co/mp3-preview/34256936d5aa74e1e7e4dbe89bbb414d1e6da645?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2018-05-03T10:57:44Z"
