"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4WcFUZMb0wiUZBePgnpgDa","That Black Bat Licorice","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:36LXzRarDP8TU8K0REGpt6","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2014-06-10","https://i.scdn.co/image/ab67616d0000b2731cf7e27ac5a95d7069ffad98","1","9","230253","https://p.scdn.co/mp3-preview/d8b838faec1e500f9c974f9ab78d9993cfc4d6aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2019-08-15T23:59:28Z"
"spotify:track:3T76zPJz3tWL27FrjJe2ot","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:36LXzRarDP8TU8K0REGpt6","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2014-06-10","https://i.scdn.co/image/ab67616d0000b2731cf7e27ac5a95d7069ffad98","1","2","219400","https://p.scdn.co/mp3-preview/db9c14b8a71395ce6474c3cf5239cc8060f4fd5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:brenmiester","2019-08-15T23:59:40Z"
"spotify:track:33M9tGEQgX9lMHM7OOnxju","Just One Drink","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:36LXzRarDP8TU8K0REGpt6","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2014-06-10","https://i.scdn.co/image/ab67616d0000b2731cf7e27ac5a95d7069ffad98","1","6","155973","https://p.scdn.co/mp3-preview/bc4b52ead9c5a83c3e292785a441c20d3ffdc640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2019-08-15T23:59:47Z"
"spotify:track:1lFC3sMgOcDrVzNh8zXRnl","Monkey Gone to Heaven","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:6ymZBbRSmzAvoSGmwAFoxm","Doolittle","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1989-04-17","https://i.scdn.co/image/ab67616d0000b273d27159df96ec159cc7d70080","1","7","177466","","false","0","spotify:user:brenmiester","2019-08-16T00:00:05Z"
"spotify:track:0sk9SQJ17g7eUzJ2ObjKwR","Oh My Golly!","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","10","155160","","false","0","spotify:user:brenmiester","2019-08-16T00:00:10Z"
"spotify:track:4xljyiFc4EyztCfwNxs5ur","Tony's Theme","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","9","114960","","false","0","spotify:user:brenmiester","2019-08-16T00:00:15Z"
"spotify:track:3oqJ3POeLfa2TJh6BFLhPM","Gigantic","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","5","237706","","false","0","spotify:user:brenmiester","2019-08-16T00:00:23Z"
"spotify:track:1nc3cMQQoA6uOGgIrGjBIa","Broken Face","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","4","92640","","false","0","spotify:user:brenmiester","2019-08-16T00:00:28Z"
"spotify:track:3FzKPS0oVknVlCW3PhxIHl","Debaser","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:6ymZBbRSmzAvoSGmwAFoxm","Doolittle","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1989-04-17","https://i.scdn.co/image/ab67616d0000b273d27159df96ec159cc7d70080","1","1","173173","","false","0","spotify:user:brenmiester","2019-08-16T00:00:41Z"
"spotify:track:4VMlpGmGk1DqNeu9afJnuX","Sun","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1f6sJr8plfTWgdj2DVa67R","Beacon (Deluxe Version)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-09-03","https://i.scdn.co/image/ab67616d0000b27393bf05d2aaea2806a2b69f99","1","4","187720","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:3QNuzLtjHZ18EcNMbt6M91","Talk - Single Edit","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0po4dvervmBYcVIX0nMBo0","Talk","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-03-20","https://i.scdn.co/image/ab67616d0000b2736e4fdbe236a5e1b3b2b13ae9","1","1","216503","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:3VafM8eWIZACrfPf82oYt0","Cigarettes In The Theatre","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","1","213533","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:3XpeLnjCrtZ1lc7xh5KVL7","I Can Talk","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","6","175906","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:4RFOVoap9oSTovVmBFxIaJ","Undercover Martyn","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","7","166573","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:5uVM8EIOTi0vAOUa4aNdCy","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","8","189693","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:2XBcbELp9GyzFfEdNFpcpk","Dirty Air","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4aJSpKresEm4EVdy8J0OmP","Dirty Air","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-05-21","https://i.scdn.co/image/ab67616d0000b273959c7871166659f8a2a15d8a","1","1","243828","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:3sGcbp7o26YbKulyl0Fva9","Satisfaction Guaranteed","spotify:artist:536BYVgOnRky0xjsPT96zl, spotify:artist:4JWMsMMZQJX6ZqNMdBiN9I","Two Door Cinema Club, Mokoomba","spotify:album:0QQVbcKcQQP9YMmjSN0FxR","False Alarm","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-06-21","https://i.scdn.co/image/ab67616d0000b273472a9e0095d840092a3ccb41","1","3","227934","","false","0","spotify:user:brenmiester","2019-08-16T09:45:06Z"
"spotify:track:6BBfG9FiwJhRVMCd9IYl6c","In The Middle","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6xeFX3yRvaEV7ny5WKZ4cA","You - EP","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2017-08-11","https://i.scdn.co/image/ab67616d0000b27309815974458b8b0535b23a7d","1","1","181632","https://p.scdn.co/mp3-preview/50c01a68c49b96ab6f748d2e0d2ed19e504b9bb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:0QjbWPbHrhhr8oGVQDsH7Q","Upside Down & Inside Out","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:5WfWbupJOQNMh1ZqgZjHmm","Hungry Ghosts","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2015-09-18","https://i.scdn.co/image/ab67616d0000b27309a1c29898868292884280b2","1","1","187866","","false","0","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","3","179813","https://p.scdn.co/mp3-preview/7327e3ac55e460208a753ce81872321dc06b7603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:3y76fWBgje3pSPV3PFmVS3","A Good Idea At The Time","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","4","194626","https://p.scdn.co/mp3-preview/e115b5bd7f74815523ccbff6320bbf1a1587f79e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:5cY8y2XgOfkAh4kSWLFKkz","I Write Sins Not Tragedies","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:01hp4DvayKlnqUQrmk0vvz","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b273e8b923caee478adf4a5b56de","1","10","185586","https://p.scdn.co/mp3-preview/395e43133e23211c5c24e2fe4505e0b68f3ee494?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:6l6VorBrQut6Ee0p19lYvG","Not over You","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","spotify:album:7yKTHZCOlmTOmvama52jEc","Halloway","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","2016-10-14","https://i.scdn.co/image/ab67616d0000b2737f1a31ea35f126a345b8b974","1","2","193493","https://p.scdn.co/mp3-preview/fc4c73292d30825b1439013455dbb86fc0865ed3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:6q7Tz67loOULIPEXo941hk","Crush","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","spotify:album:6YCCXSCAnh4Ppzs8Hv3xXd","Crush","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","2018-06-15","https://i.scdn.co/image/ab67616d0000b2734e538dac22f7e959be6da222","1","1","216266","","false","0","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:0vI4E9advbgPGvRt7RImvK","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","spotify:album:6UARS7hsHtwdXPeNg9KGYe","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","2018-02-05","https://i.scdn.co/image/ab67616d0000b273a2d5d27511ec81b63e36fbef","1","1","182989","https://p.scdn.co/mp3-preview/21642c7131ceb3d9d5904f0210f3229952a8b9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","2","202333","https://p.scdn.co/mp3-preview/0e0951b811f06fea9162eb7e95e4bae4802d97af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","5","188493","https://p.scdn.co/mp3-preview/46c19d324587898577a1974b8bdc2d5db88a5c65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:22OqansuvEMQu9W0EfiGTI","We Don't Believe What's on TV","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","10","177200","https://p.scdn.co/mp3-preview/3d55d52793faa95c48489e57bfce921bdd30a597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:brenmiester","2019-08-16T09:46:22Z"
"spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1","Where Is My Mind?","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","spotify:album:2l7RPWC3E6eStJJLBsUeCI","Surfer Rosa (Remastered)","spotify:artist:6zvul52xwTWzilBZl6BUbT","Pixies","1988","https://i.scdn.co/image/ab67616d0000b2731a3903c1aa8122f7720f5d71","1","7","236973","","false","4","spotify:user:brenmiester","2019-08-16T09:52:57Z"
"spotify:track:1yjr0GeoqGPejLg5P9g8Qe","Fell In Love With a Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:5JyPtQWQrZ9csShZNUyXrO","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273744b1f1c507e8e622453e847","1","4","110093","","false","0","spotify:user:brenmiester","2019-08-16T10:05:22Z"
"spotify:track:6vluCORdF8bV6zhXfKyKBp","Blue Orchid","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:39CQ9tlFmcmE2pN6PkJWvZ","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273086f98344b4a2ff71f2622a8","1","1","158280","","false","0","spotify:user:brenmiester","2019-08-16T10:05:23Z"
"spotify:track:47wPvRG8FEwbZP22UBgTQr","Seven Nation Army","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:4bud6XY9UtafCOiYzv2vOl","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2003-04-01","https://i.scdn.co/image/ab67616d0000b273abb4d446afdadac590e2cefd","1","1","231920","","false","7","spotify:user:brenmiester","2019-08-16T10:05:25Z"
