"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6S5vOdiHINFBKLMsVszvAy","Cracker","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","1","186333","https://p.scdn.co/mp3-preview/161276b94c1d0b52cd64ddaa92aa2ea32321d13f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:5gLjlnYw4lujXbhzX41KV6","Glockenpop","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","2","199840","https://p.scdn.co/mp3-preview/b1c7b3dde950ca7498914ead27569d62f8ec91d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:2t5cAV9ypFGJUrj695nM5F","Shazam!","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","3","123813","https://p.scdn.co/mp3-preview/643f8a4d2d4f499d5548a1a1715dcb8f7cf9c7a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:7epIEt6tr8Xqc5Cy9SFUEN","Dinner Time","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","4","131186","https://p.scdn.co/mp3-preview/34722050e4514fc12d5cc4aeb00f42688cc1f502?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:7BBpE6I9Pj8kj0iIm8Y7cC","Plastic","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","5","151640","https://p.scdn.co/mp3-preview/34ca513b5509cf67ec0f94270b95ce2d2a14380d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:4LbOmCc71y3EHASuCARVbI","Daisy May","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","7","118453","https://p.scdn.co/mp3-preview/cbef81fc01b402a849dae30386c71a3a20002ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:3OwK09uJ2eg4zIu7n41jAU","White Trash Superstar","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","8","207493","https://p.scdn.co/mp3-preview/1b0575f01120367e978f539e99c9988ad2171ab7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:3O6EZggFTBSlluLzbN1V2W","Stevie","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","11","180493","https://p.scdn.co/mp3-preview/34dc2540c881864c66f5ddd210d89f0faf6dcc0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:3AyMbMWZYGiesBa8SDmS1P","Jellybean Drifter","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","12","165773","https://p.scdn.co/mp3-preview/23ea5e0b999ed525d9b16d1b8a382836c551a76e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:brenmiester","2020-08-01T05:58:16Z"
"spotify:track:1MKLNqOoIjRWJNbpwg2Uy0","King Of The Northern","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","13","132960","https://p.scdn.co/mp3-preview/600b73015c9dd8d4343b6b2df8e2e05038eae295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:brenmiester","2020-08-01T05:58:16Z"
