"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3ItCQd3vvharrdNrBzZuIY","Rebel Love Song","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","spotify:album:3iTUq3CfkKcD5ZN4zgcDIA","Set The World On Fire","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","2011-01-01","https://i.scdn.co/image/ab67616d0000b2732137863e1729227ec1e8786f","1","6","237173","https://p.scdn.co/mp3-preview/85939020c79011510de77c0a48604bd6495e8cf5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2019-06-17T16:21:59Z"
"spotify:track:17C4oPQ3sTpF11pi9yvGcs","Not The American Average","spotify:artist:1caBfBEapzw8z2Qz9q0OaQ","Asking Alexandria","spotify:album:57iXTZZW4VLkrBoErSsI5y","Stand Up And Scream","spotify:artist:1caBfBEapzw8z2Qz9q0OaQ","Asking Alexandria","2009-09-15","https://i.scdn.co/image/ab67616d0000b273f33d30f467a7998ecdfd00ab","1","9","279226","https://p.scdn.co/mp3-preview/139354496eb935af49fab7fda7d407c606149d38?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:brenmiester","2019-06-17T16:23:24Z"
"spotify:track:6tO1amT2NLvgsBzBhHOR1S","Ashley","spotify:artist:5ojhEavq6altxW8fWIlLum","Escape the Fate","spotify:album:56a9Tuww0ddc52DHYG61Ai","This War Is Ours (Deluxe Edition)","spotify:artist:5ojhEavq6altxW8fWIlLum","Escape the Fate","2010-04-27","https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662","1","3","207400","https://p.scdn.co/mp3-preview/6ff992e2a4e864233afee92bc4799c2d3c0e79c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2019-06-21T05:34:18Z"
"spotify:track:4wzjNqjKAKDU82e8uMhzmr","Face Down","spotify:artist:1SImpQO0GbjRgvlwCcCtFo","The Red Jumpsuit Apparatus","spotify:album:6TyPSzd5rA2rQ9yLJJ1Gg2","Don't You Fake It","spotify:artist:1SImpQO0GbjRgvlwCcCtFo","The Red Jumpsuit Apparatus","2006-01-01","https://i.scdn.co/image/ab67616d0000b273f98edbc89407338a90437d34","1","4","192000","https://p.scdn.co/mp3-preview/69881d9ea09f17c73d786aae481273888916523b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:brenmiester","2019-06-21T08:20:09Z"
"spotify:track:1yYE8EyuIV0rrvQ1bA2Fyf","Happy Song","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:7FqHuAvmREiIwVXVpZ9ooP","That's The Spirit","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-11","https://i.scdn.co/image/ab67616d0000b273736145b97bab8fa92cb6113f","1","2","239386","https://p.scdn.co/mp3-preview/c2c7652171ee1e34ddc6634cd339ce10a3425e6d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:brenmiester","2019-06-22T01:55:35Z"
"spotify:track:1nSSGcOnAk6LKSMInfzt52","The Depths","spotify:artist:4tususHNaR68xdgLstlGBA","Of Mice & Men","spotify:album:5PLgKITLdSYuh7OWpIC8nC","The Flood (Deluxe Reissue)","spotify:artist:4tususHNaR68xdgLstlGBA","Of Mice & Men","2011","https://i.scdn.co/image/ab67616d0000b273d87b1e844342432f66ef9e41","1","4","226506","https://p.scdn.co/mp3-preview/3ce7cde43ce13bd0c5a2a16bd57af462412fd012?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2019-06-23T16:49:55Z"
"spotify:track:1IT0WQk5J8NsaeII8ktdlZ","King For A Day","spotify:artist:4iJLPqClelZOBCBifm8Fzv, spotify:artist:3M9XAM57a4qFz3v6Lq27t2","Pierce The Veil, Kellin Quinn","spotify:album:661Hz0qJK8WIp7vAWsqKvk","Collide With The Sky","spotify:artist:4iJLPqClelZOBCBifm8Fzv","Pierce The Veil","2012-07-17","https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570","1","4","236293","https://p.scdn.co/mp3-preview/56496a2edc5c65af9c82504c40022f9200db0f72?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:brenmiester","2020-10-02T10:23:26Z"
"spotify:track:0WSa1sucoNRcEeULlZVQXj","Can You Feel My Heart","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:6IYPmM3xsOPL2XPSvf1ZAz","Sempiternal (Expanded Edition)","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2013-04-01","https://i.scdn.co/image/ab67616d0000b27360cf7c8dd93815ccd6cb4830","1","1","228146","https://p.scdn.co/mp3-preview/24c9fe39cdd30dfbaac134ffa1be9513c50ee4e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:brenmiester","2020-10-02T10:24:47Z"
"spotify:track:1wFRkVclQWfMQQcaVLjmBE","If I'm James Dean, You're Audrey Hepburn","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","spotify:album:0AMC1Y0J0a5yN7lkOSWrJr","With Ears To See And Eyes To Hear","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","2010-03-23","https://i.scdn.co/image/ab67616d0000b273d2cb1b09807037c68bab8b13","1","1","219106","https://p.scdn.co/mp3-preview/2c0435370e2d61ed5cb951a3dd3348d959d21d8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2020-10-02T10:25:03Z"
"spotify:track:0M3adYbGtyRHACP86dey1H","Throne","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:7FqHuAvmREiIwVXVpZ9ooP","That's The Spirit","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-11","https://i.scdn.co/image/ab67616d0000b273736145b97bab8fa92cb6113f","1","3","191520","https://p.scdn.co/mp3-preview/3387030a0dfcc81c3d75934c8e15385fb8f89a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:brenmiester","2020-10-02T10:25:06Z"
"spotify:track:0JJP0IS4w0fJx01EcrfkDe","Dear Maria, Count Me In","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","spotify:album:0H4ELcHequ3OligrjWfrZP","So Wrong, It's Right","spotify:artist:46gyXjRIvN1NL1eCB8GBxo","All Time Low","2007-09-25","https://i.scdn.co/image/ab67616d0000b273c8913cd7b91bb7f6bbbec305","1","6","182826","https://p.scdn.co/mp3-preview/ab48edf9ff294030c5371f0786c0304002511a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:brenmiester","2020-10-02T10:57:31Z"
"spotify:track:4OROzZUy6gOWN4UGQVaZMF","The Trooper - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:7I9Wh2IgvI3Nnr8Z1ZSWby","Piece of Mind (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1983","https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff","1","5","252733","https://p.scdn.co/mp3-preview/0a88f3e6d8e5dfe20807b9a4ee1cf1f30fa871d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:brenmiester","2020-10-05T04:49:22Z"
"spotify:track:6EPRKhUOdiFSQwGBRBbvsZ","Ace of Spades","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","spotify:album:3rxF05Aux0QTrN533Kjc91","Ace of Spades (Expanded Edition)","spotify:artist:1DFr97A9HnbV3SKTJFu62M","Motörhead","1980-11-08","https://i.scdn.co/image/ab67616d0000b273bb7d33186e4a26421c6a77ae","1","1","166920","https://p.scdn.co/mp3-preview/34cf36a576042c34fa6dee1a6c9da3dec4e54d62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2020-10-05T04:49:30Z"
"spotify:track:0EYOdF5FCkgOJJla8DI2Md","B.Y.O.B.","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:0cn6MHyx4YuZauaB7Pb66o","Mezmerize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2005-05-17","https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71","1","2","255466","https://p.scdn.co/mp3-preview/2f373f029e1110b19c265b8f4bc4d265e5fa9539?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:brenmiester","2020-10-05T04:49:50Z"
"spotify:track:6FUwPb4mGlUDbx42uspXaZ","Fuel","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:0Ip2GlQPoAIgdkqCO2YkMa","Reload","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1997-01-01","https://i.scdn.co/image/ab67616d0000b27306cb74d39d123ebe1b3c6631","1","1","269800","https://p.scdn.co/mp3-preview/6eefd2e01960b0ecf21c18437cdc3c7e2dee6409?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:brenmiester","2020-10-05T04:49:57Z"
