"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3jwiECaDUIu1ooyrH54Fhx","Showdown","spotify:artist:1ldNdtZX38LAsOk0ciLvb2","F.O.O.L","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","37","301609","","false","0","spotify:user:brenmiester","2018-08-29T09:59:30Z"
"spotify:track:0Yq6B3MV6j9nYJNaLFvZuF","Airglow","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","22","238429","","false","0","spotify:user:brenmiester","2018-08-29T09:59:30Z"
"spotify:track:45AN3fU6DQJ36GQurtBzFM","On My Way Up","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","17","196405","","false","0","spotify:user:brenmiester","2018-08-29T09:59:30Z"
"spotify:track:7Hbj2u6h9uMLdPRRuWRV8H","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","spotify:album:6BJICC5mfQzqiaco9AtYvy","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2017-06-21","https://i.scdn.co/image/ab67616d0000b2737979c3c98ba30749d85f1474","1","1","158894","","false","0","spotify:user:brenmiester","2018-08-29T09:59:30Z"
"spotify:track:3hXL0SIqbThIMYY5XCQx8U","Gravity","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:3hxMrdD0q0WQx33GHB5fph","Gravity","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","2018-08-28","https://i.scdn.co/image/ab67616d0000b273050afb02f84f0dbab8913b1a","1","1","213120","https://p.scdn.co/mp3-preview/9d6b8253bdf39156701c9205d2bdb022fe08d243?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:brenmiester","2018-08-29T09:59:30Z"
"spotify:track:0IGhAQUJN3OlVaWrMd50TV","Shapes & Shifts","spotify:artist:1hHhlYmo4C03IoCJ7RnpS2","Eminence","spotify:album:6O3kEpanMeIvOWbvanU42G","Universe EP","spotify:artist:1hHhlYmo4C03IoCJ7RnpS2","Eminence","2015-02-18","https://i.scdn.co/image/ab67616d0000b273f470b552cc406eb5690da876","1","3","270087","","false","0","spotify:user:brenmiester","2018-08-29T09:59:44Z"
"spotify:track:59OZiGqFfWmry6o9pTx8i8","Bruises","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:03JxDRu3gVW98sAknhq8dq","Bruises (Destinations)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2018-08-15","https://i.scdn.co/image/ab67616d0000b273e3ca4db54b7f4b0fb3ee2c65","1","1","220732","https://p.scdn.co/mp3-preview/d69cdeedbed9866e648c801dcdd45c6c7a1e3ae4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:brenmiester","2018-08-29T09:59:44Z"
"spotify:track:4Cw0SsOvntoDIbjkBRJZM7","Fault (feat. McCall)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:229NvsczXKwdH0DkPg4uwT","MYRNE, Grant, McCall","spotify:album:6BqhJwgu4KiAXqYjmrbmCi","Fault (feat. McCall)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:2Hchwjfl1DioXcIwbOJkus","MYRNE, Grant","2018-07-16","https://i.scdn.co/image/ab67616d0000b2732cbdf34feff5c1d5c5a921ea","1","1","264489","","false","0","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:6ltB18QeGtSeiE0zrR1z8p","Get Lemon","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","spotify:album:6PZpNMUB2xzgNosUVVXSG9","Disciple Alliance Vol. 4","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","2018-07-16","https://i.scdn.co/image/ab67616d0000b27339871ba27d171eb4ffdc5d03","1","1","231724","https://p.scdn.co/mp3-preview/b7c81fd16e6609da7c2028e4a8f58c25c4a0da3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:0cHonqFSxJYFkFQ6XSSXxA","5 Star Life","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:6D1IUsM14mLiDrBl3e7bu4","Pintxos","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2015-11-30","https://i.scdn.co/image/ab67616d0000b273ed0b75aea720680a78ef5b16","1","12","210130","https://p.scdn.co/mp3-preview/0e9bbed5885c50e899a24cf528abe6e7b515972c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:1svSariZ4DSG4O0pqpa0L1","Purple People Eater","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:7pYcXNtcVUEV2kHT3lQPcP","Purple People Eater","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2018-07-23","https://i.scdn.co/image/ab67616d0000b2732d1cea8c4f8e87e31c580f19","1","1","262242","https://p.scdn.co/mp3-preview/07592492e0f4894c7f45179c7030c3554b54cc41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:3w3VG7hwvhqTM5d17s4d62","500","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:0mnvX1IRbzH8saFUVigt1r","Hopeless Arguments","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2012-10-26","https://i.scdn.co/image/ab67616d0000b273e063c76e0f9ed8a2a1aa3596","1","3","108324","https://p.scdn.co/mp3-preview/61d54dce1bb71aa7b22424eac28f4c290fd65cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:0EuqL5Hc1Sm6tZue0UXhYX","Highroyds","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:4J2DGuw6IwLdEwQL94msiU","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738ed8466b86827be1104b410a","1","4","198786","https://p.scdn.co/mp3-preview/caab83378f3da069a5d55f38211fa883c53d0716?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:2wEjPgOCEczmjlvq60LyQi","Girls / Girls / Boys","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:1hxraaWEf3wFnJxADf8Dge","Too Weird to Live, Too Rare to Die!","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2013-10-04","https://i.scdn.co/image/ab67616d0000b2733d01f39642426b65217fbe21","1","6","206840","https://p.scdn.co/mp3-preview/22de23682f2d0454acbe237814dd075e4c1ad16c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:76vMKwFtdDDCLcM6zXybjB","Say Amen (Saturday Night)","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6ApYSpXF8GxZAgBTHDzYge","Pray for the Wicked","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2018-06-22","https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989","1","2","189186","https://p.scdn.co/mp3-preview/9ac903f206067e3d1e4d730530ec261463039542?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:6zRoOTthU4stLo88BcFWKg","Starship","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","spotify:album:3wihTA2rSNZJhBdhDOhV2C","Starship","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2017-03-29","https://i.scdn.co/image/ab67616d0000b2731358b4ba698904fc76ab24c2","1","1","213000","","false","0","spotify:user:brenmiester","2018-08-29T10:00:04Z"
"spotify:track:2WyOVDpENaCosxKSMuyGoA","What Are You Waiting For","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","spotify:album:2Q5OSZyMTWvG6ew0zMAc5B","What Are You Waiting For","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2018-03-22","https://i.scdn.co/image/ab67616d0000b2731a43447cb8acd6dc8a759a56","1","1","255937","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:697vKkzIgwsiA5xqzJ5Sqb","New Horizons","spotify:artist:0n8nGcgKnLHVv106g3AfnH","Protostar","spotify:album:3Zi0eAgBPwRiM95qIfQkxH","New Horizons","spotify:artist:0n8nGcgKnLHVv106g3AfnH","Protostar","2018-03-26","https://i.scdn.co/image/ab67616d0000b273956de88803b686c8fbffdee3","1","1","193240","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:4UG2NoFqNyEGq4IwGYZtLK","Shiawase","spotify:artist:06VibSJEr3GLxLBBZhRums","Dion Timmer","spotify:album:5vt8VtWXwURR2gcdj0jmUL","Shiawase","spotify:artist:06VibSJEr3GLxLBBZhRums","Dion Timmer","2018-05-22","https://i.scdn.co/image/ab67616d0000b273d649abc2990a5330052f0e58","1","1","217787","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:1OUxdf6HqjPvH99hnHqc8d","Silhouette","spotify:artist:7uGeDBa1LJ7T1X4fpl8mwk, spotify:artist:5mMt0V809N7Y5mOUYsmOW6","Bad Computer, Skyelle","spotify:album:2fASL1YowY9WeODhbCIUWF","Silhouette","spotify:artist:7uGeDBa1LJ7T1X4fpl8mwk, spotify:artist:5mMt0V809N7Y5mOUYsmOW6","Bad Computer, Skyelle","2018-05-15","https://i.scdn.co/image/ab67616d0000b27370c470137cda43294e121c82","1","1","264375","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","3","179813","https://p.scdn.co/mp3-preview/7327e3ac55e460208a753ce81872321dc06b7603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:3vCaDQO4JeBdy6u0b0JcHz","The Writing's on the Wall","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:5WfWbupJOQNMh1ZqgZjHmm","Hungry Ghosts","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2015-09-18","https://i.scdn.co/image/ab67616d0000b27309a1c29898868292884280b2","1","2","214706","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:0QjbWPbHrhhr8oGVQDsH7Q","Upside Down & Inside Out","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:5WfWbupJOQNMh1ZqgZjHmm","Hungry Ghosts","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2015-09-18","https://i.scdn.co/image/ab67616d0000b27309a1c29898868292884280b2","1","1","187866","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
"spotify:track:0jUIMCMXcQFtfoSpfBWs3m","The Other Day","spotify:artist:0ACEzksK2oPw72QtDMCUVV","Insan3lik3","spotify:album:7dArkHuO5wkus2TJTu6Ytx","Monstercat 007 - Solace","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-06-06","https://i.scdn.co/image/ab67616d0000b273da7770b79a66bc42de93d8e7","1","16","239731","","false","0","spotify:user:brenmiester","2018-08-29T10:00:26Z"
