"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ATe6SfYWIrsK7L7w7OmdN","Find That Someone","spotify:artist:5h4HpujvLoTaqy2tkrs2DC, spotify:artist:5z275L9haKWG328mm7UFd3","Televisor, Richard Judge","spotify:album:1wgp2985J4ih0t5s7TAxOF","Venture","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","2015-04-06","https://i.scdn.co/image/ab67616d0000b2733665853d5cc2dd2b4200497c","1","1","228000","https://p.scdn.co/mp3-preview/bc4e33bd7467e7e87e7b2ae1ac305a5d4c507abc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2020-12-07T06:48:44Z"
"spotify:track:3SAnARTfPnAP01H0SUJ5E0","What Do I Do","spotify:artist:1X6dfPmF8f5C5EW3WIGfvm","SJUR","spotify:album:5wqmBet4jp5iVhKvTxw7g3","What Do I Do","spotify:artist:1X6dfPmF8f5C5EW3WIGfvm","SJUR","2017-06-30","https://i.scdn.co/image/ab67616d0000b273d0c30f0b1e6728b99b4c1568","1","1","167767","https://p.scdn.co/mp3-preview/b3062efcdc035b3542689e0f4780b063f780fc25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-12-07T06:50:45Z"
"spotify:track:5DFm4edN1IlW5mf1kb6GT8","Love Me For Me","spotify:artist:7G8jUNhcaie5DslhcoCB9w","Carla Wehbe","spotify:album:4Hmg0LV2po4QdzWUjb8iD8","Love Me For Me","spotify:artist:7G8jUNhcaie5DslhcoCB9w","Carla Wehbe","2020-09-11","https://i.scdn.co/image/ab67616d0000b27382cd08f4c7bb7eb699e7ce04","1","1","195652","https://p.scdn.co/mp3-preview/e915068d75d675f14fe9b428a095394c53e64507?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:brenmiester","2020-12-07T07:21:17Z"
"spotify:track:3QC3zy7WN5VYdIsYXaU6Jb","Given Up","spotify:artist:64N3o9z76C2APyfgQV2HMp","Half an Orange","spotify:album:3tpV3cPFcQapyScxFcvr5i","Given Up","spotify:artist:64N3o9z76C2APyfgQV2HMp","Half an Orange","2019-02-08","https://i.scdn.co/image/ab67616d0000b2735311ba62edfb6e54de6e948a","1","1","233175","https://p.scdn.co/mp3-preview/cfc19041c76d02c9244aa3bba87f186d47a20063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:brenmiester","2020-12-07T06:49:52Z"
"spotify:track:63K5mPZcOvL2nRUcONJgks","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:5gJfcr0UWAk7lLNgiGhbZg","Grant, Jessi Mason","spotify:album:36QzfnYcqwGL4wWiWAYsEP","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2017-05-26","https://i.scdn.co/image/ab67616d0000b273ee5391ae5d1fa8f67877bc59","1","1","216017","","false","0","spotify:user:brenmiester","2020-12-07T06:50:00Z"
"spotify:track:2cybKdeHxC6nuAwMsmwieK","Bigger Picture","spotify:artist:0QaiCsyOUjBgLqsbABu07O, spotify:artist:4pxarLS5MpRdmkMZ0R3jzW","Puppet, Foria","spotify:album:46qweQvzWZLCrZKmm0C8Ve","Monstercat: Best of 2017","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-12-18","https://i.scdn.co/image/ab67616d0000b27390dc6871ac8056484e3cb5b8","1","16","193753","","false","0","spotify:user:brenmiester","2020-12-07T06:50:14Z"
"spotify:track:1sBrdUZ2abs5n0iSNYPppm","Spicy Boyfriend","spotify:artist:1DLKitfb8fshL0DtCecRpY","Shawn Wasabi","spotify:album:0G3cadEun2B0YKMAA0FdHb","Spicy Boyfriend","spotify:artist:1DLKitfb8fshL0DtCecRpY","Shawn Wasabi","2017-02-14","https://i.scdn.co/image/ab67616d0000b273aaa05f847a9aa0a0b609d5e7","1","1","178064","https://p.scdn.co/mp3-preview/eef9ec50f0a1520cc7b89ae0f7bcbd5b81f757c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2020-12-07T06:50:32Z"
"spotify:track:0OwhEqx9AoECkHrHjE7phU","What I've Waited for (feat. D. Brown)","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:2a3sneWxM2OyeqyutLzcTz","Vicetone, D. Brown","spotify:album:0nIciOz8mA31STfg1B6G14","What I've Waited For (feat. D. Brown)","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2014-12-08","https://i.scdn.co/image/ab67616d0000b273aa656d832df0970121b2cab4","1","1","221901","","false","0","spotify:user:brenmiester","2020-12-07T06:50:55Z"
"spotify:track:4FJQhrYrmnUnmbQyKlyHfq","Little Too Close","spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:6kuFWCCvd7bWB1PV0tJMN2","WRLD, Veronika Redd","spotify:album:7GtZPupXbxCbzZ2VHZzBKL","Chase It","spotify:artist:4VqBNQRr0nDN0trNUOn0co","WRLD","2015-08-24","https://i.scdn.co/image/ab67616d0000b27300f33a6e31f11e21c691068a","1","4","244889","https://p.scdn.co/mp3-preview/ce5a7bcf0e00764ff7962858434955b71da7f05d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2020-12-07T06:51:45Z"
"spotify:track:3Gj7XTHeMGahDBVuT9pbhh","Break The Silence","spotify:artist:4Mup4RsJSC8M36adeRrhgB, spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:4XU5f8nGiPMr6eetud6epC, spotify:artist:3gxGPuGK6DOpv7XVp8V6jG, spotify:artist:6kx1NiHogZzkSU7lHMc3Ow","Richard Caddock, WRLD, Nitro Fun, Slippy, Subtact","spotify:album:1FF07ue5fJ3LVIQmhuQs0s","Monstercat - 5 Year Anniversary","spotify:artist:4YwB41gFHCxY5bcNR3CcIH","Monstercat","2016-07-15","https://i.scdn.co/image/ab67616d0000b27345338ada9b3ae80cf3b2e477","1","8","272842","https://p.scdn.co/mp3-preview/7e01380a42a7504b059b081cb34311fb300424a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:brenmiester","2020-12-07T06:51:56Z"
