"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Pmo0mMgiyBCj1Zd7Axsi1","Sound System - 2007 Remaster","spotify:artist:18XRGxd1b484f2h06cwvJJ","Operation Ivy","spotify:album:2Rv1kIWFeIYeq8kAtdhY6m","Operation Ivy (2007 Remaster)","spotify:artist:18XRGxd1b484f2h06cwvJJ","Operation Ivy","1989","https://i.scdn.co/image/ab67616d0000b27336d7e05158cd52a1437dc4a1","1","2","134026","https://p.scdn.co/mp3-preview/bd80c04c7e8e9df2120451908fa6a630163e9dec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:brenmiester","2020-12-14T04:26:09Z"
"spotify:track:0ECIuwF7ZIoSOp3tPmcFql","Lickety Split","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:59okwv2nwCMtnXZ137Ab5m","Grand Slam","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","1999-01-01","https://i.scdn.co/image/ab67616d0000b27347010866341a98f9a3673f0d","1","16","165840","https://p.scdn.co/mp3-preview/faeba72b5302e78c1a83a53c9483bdd787bc633c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:brenmiester","2020-12-14T04:27:34Z"
"spotify:track:3EsjE6KcW1uv9cUy85T7Bz","Hear What They Say","spotify:artist:1oI7fQB3WliumtkbkYuaNz, spotify:artist:00FQDX3bcsSTPlkBckHyQe","Mélonade, Tsundere Alley","spotify:album:4yl50Sl53kSXEe9eEfdtFh","Splash!","spotify:artist:1oI7fQB3WliumtkbkYuaNz","Mélonade","2019","https://i.scdn.co/image/ab67616d0000b27304389921edda45a09dc4a50d","1","2","191274","","false","0","spotify:user:brenmiester","2020-12-14T04:28:18Z"
"spotify:track:4yPWiRV6FrQTGm6qBX0WUV","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Haywyre Remix","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX, spotify:artist:7aUSp5cOZlwEtd5zPC795k","Martin Garrix, Macklemore, Fall Out Boy, Haywyre","spotify:album:2vx3BtBMn8Ed3ygEg1OT2t","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Martin Garrix, Macklemore, Fall Out Boy","2019-07-12","https://i.scdn.co/image/ab67616d0000b27385df7b8e4cfe789fffe85364","1","3","229743","https://p.scdn.co/mp3-preview/8b6b0700f5e385851bb3883c85d2cc68a6541d18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2020-12-14T04:29:03Z"
"spotify:track:4fiOTntQKr24p07FvQDHZE","Raining Blood","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:5v5BfkxWDAKTkzrXl3H0mU","Reign In Blood (Expanded)","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1986-01-01","https://i.scdn.co/image/ab67616d0000b2731530f31c8d4197777b70ee5d","1","10","255186","https://p.scdn.co/mp3-preview/46d986d8b5a5712a076e99dba4c4c8d638a5f976?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2020-12-14T04:29:26Z"
"spotify:track:2DQlUfSpLxKLOtgntr0gCF","Wings of a Dove","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","18","179293","https://p.scdn.co/mp3-preview/d90df08a05a188ef5ea13cba19346b5ac2302dd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brenmiester","2020-12-14T04:30:03Z"
"spotify:track:49X0LAl6faAusYq02PRAY6","Lady - Hear Me Tonight","spotify:artist:0AkpPlFLnr0VQwZQeMGht0","Modjo","spotify:album:0vwDxngkhZuwNbcxzebCXI","Modjo (Remastered)","spotify:artist:0AkpPlFLnr0VQwZQeMGht0","Modjo","2001","https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7","1","3","307153","https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:brenmiester","2020-12-14T04:30:24Z"
"spotify:track:0jt6NEuzEY0OouXkwZHq5n","Creepin Up The Backstairs - Composite Edit (do not put on a/w)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","8","187160","https://p.scdn.co/mp3-preview/e4b991c108014b64cf1f2269e3464caf33aa1b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2020-12-14T04:30:43Z"
"spotify:track:0ley5WMA07RsAouQ2KfbhD","Woman","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","spotify:album:747qcmgpdnnIG6lIBwNKhO","Wolfmother","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733217cb59b28806950c7e1e25","1","3","176306","https://p.scdn.co/mp3-preview/a9c8d7e6509c78d661bb78859e89f837e075861a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-12-14T04:31:34Z"
"spotify:track:1yjr0GeoqGPejLg5P9g8Qe","Fell In Love With a Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:5JyPtQWQrZ9csShZNUyXrO","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273744b1f1c507e8e622453e847","1","4","110093","","false","0","spotify:user:brenmiester","2020-12-14T04:31:43Z"
