"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1gBSRQFmrPJAPqFWQXFRpg","Afterdark (feat. Aviella)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:5UA4NsiBgSQICPFMDKcPAe","MYRNE, Aviella","spotify:album:7MguvRwsRo92TJ3eW4QcHr","Afterdark (feat. Aviella)","spotify:artist:41DKMtAnhVo7aDeluAHDJg","MYRNE","2017-04-21","https://i.scdn.co/image/ab67616d0000b2738de71f75f15f3d7ad8f7dc5e","1","1","200000","","false","0","spotify:user:brenmiester","2018-02-28T10:53:57Z"
"spotify:track:7Hbj2u6h9uMLdPRRuWRV8H","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","spotify:album:6BJICC5mfQzqiaco9AtYvy","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2017-06-21","https://i.scdn.co/image/ab67616d0000b2737979c3c98ba30749d85f1474","1","1","158894","","false","0","spotify:user:brenmiester","2018-02-28T10:54:08Z"
"spotify:track:1YI9Ni8n102Dm49IX9O1oa","Paradise - Mark Villa Remix","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:0EJYJn2XaMcUMJHtduNwM2, spotify:artist:2AoeqcUs8DySgZRJ9yV4Ou, spotify:artist:5WClIOxkXF0aG93CLEC96i","Laidback Luke, Made In June, Bright Lights, Mark Villa","spotify:album:6VGUCq4uX9ign6cWZjzOEB","Paradise (Remixes)","spotify:artist:53cQZtWDwDJwVCNZlfJ6Qk, spotify:artist:0EJYJn2XaMcUMJHtduNwM2, spotify:artist:2AoeqcUs8DySgZRJ9yV4Ou","Laidback Luke, Made In June, Bright Lights","2017-07-21","https://i.scdn.co/image/ab67616d0000b273292b9cfa20445dd5f3ad8f53","1","3","194856","","false","0","spotify:user:brenmiester","2018-02-28T10:54:20Z"
"spotify:track:4Y2rpX5JYl36egnadIEp8e","Cheat Codes VIP","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","spotify:album:6f8gKUl7HwEWAwnkB8m9WB","Cheat Codes VIP","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","2017-12-25","https://i.scdn.co/image/ab67616d0000b27352b8dc0206809420770cea32","1","1","204382","","false","0","spotify:user:brenmiester","2018-02-28T10:54:32Z"
"spotify:track:30ETWOox7yYSY9Z5oo7kSH","Highroyds","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:3boV9pU91gp28FDTt6pw9C","Yours Truly, Angry Mob (Deluxe)","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738db5c7e44e14720d440eb4c4","1","4","198786","","false","0","spotify:user:brenmiester","2018-02-28T10:54:44Z"
"spotify:track:3uuWu7hU5Q1P9ehgVz6Qzf","Nightdrive","spotify:artist:6SU9yBr9EKXRCwLMWJElXT","10xx","spotify:album:1FfgiOWj5lkYOsArW4NqyH","Nightdrive","spotify:artist:6SU9yBr9EKXRCwLMWJElXT","10xx","2018-01-26","https://i.scdn.co/image/ab67616d0000b273516e535b1376efb0593ade5a","1","1","200113","https://p.scdn.co/mp3-preview/34c31408c3f68f41e29dc0560d1db5ac95edc231?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2018-02-28T10:54:53Z"
"spotify:track:2ScBfxLZWmJwfyEUQ9f2qt","Troll","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:1uQ3SMleuxGQbM35fXJxP0","Pegboard Nerds, RaceCarBed","spotify:album:4yQHbr0gXjHWwUqi3V47S6","Troll","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:1uQ3SMleuxGQbM35fXJxP0","Pegboard Nerds, RaceCarBed","2018-01-26","https://i.scdn.co/image/ab67616d0000b27352540feea55af869ec46d4dd","1","1","228851","https://p.scdn.co/mp3-preview/ecacf505ea17d05353f9fbfe86037666a5767375?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2018-02-28T10:55:07Z"
"spotify:track:6tKFctoX8SqcpDOS0UOvYo","Love Is Real","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:09zao87zFx7QoXv48k8Obi","Love Is Real","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2018-01-25","https://i.scdn.co/image/ab67616d0000b273d1f4d1a1b2ba779730aec43c","1","1","193720","https://p.scdn.co/mp3-preview/930dc6a3e1883c6de4b3ac26399dbcef422ef0ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2018-02-28T10:55:20Z"
"spotify:track:6MUqvjHsxLPSfqFRaww9KZ","Tom's Dog (asdfmovie5 theme)","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","spotify:album:37GEoUEng5BougpedfKSOs","Tom's Dog (asdfmovie5 theme)","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2012-05-11","https://i.scdn.co/image/ab67616d0000b27370d3b218cd946ff12844d2a1","1","1","170187","https://p.scdn.co/mp3-preview/cbe93fae62d48a6a82cc3a56d12baaef6b88fcf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2018-02-28T10:55:31Z"
"spotify:track:0vI4E9advbgPGvRt7RImvK","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","spotify:album:6UARS7hsHtwdXPeNg9KGYe","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","2018-02-05","https://i.scdn.co/image/ab67616d0000b273a2d5d27511ec81b63e36fbef","1","1","182989","https://p.scdn.co/mp3-preview/21642c7131ceb3d9d5904f0210f3229952a8b9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2018-02-28T10:55:47Z"
"spotify:track:6rppwKnmWkdXOdeyS9LCB7","Are We Flirting","spotify:artist:1FyulP4HDEpJ1YjAz9xxmY","Abbe May","spotify:album:1MAquiD2V9PBRpyqj8bPwx","Fruit","spotify:artist:1FyulP4HDEpJ1YjAz9xxmY","Abbe May","2018-02-02","https://i.scdn.co/image/ab67616d0000b27338ddbb0914579ac2d9adb1d7","1","9","183395","https://p.scdn.co/mp3-preview/52448b3cc220b245cdb7bf9e23fc730710958075?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","spotify:user:brenmiester","2018-02-28T10:56:01Z"
"spotify:track:7thQXyztY2g1hxv8elW4UP","Big Riddim Mariachi","spotify:artist:6SJnjpekgnONgNtxKeMP8m, spotify:artist:3V1h3kAdiVDBiwlY2i6dJz","Dodge & Fuski, 12th Planet","spotify:album:7HjEb7HP68bpVclylWutsl","All Killer No Filler EP","spotify:artist:6SJnjpekgnONgNtxKeMP8m","Dodge & Fuski","2017-03-13","https://i.scdn.co/image/ab67616d0000b273ebab9c0aa5a64e8461217485","1","1","154599","https://p.scdn.co/mp3-preview/e53d00d51dbc105c59dc05a8d08db6ad109b348b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:brenmiester","2018-02-28T10:56:15Z"
