"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5gN9Fj3TCrKP1WLZmKQO87","Aggro - US Version","spotify:artist:01ZP85CNi7Y9t1e0one46k","The Enemy","spotify:album:2m6EWiiV8ztrN4sGPwpTn5","We'll Live and Die In These Towns (US version)","spotify:artist:01ZP85CNi7Y9t1e0one46k","The Enemy","2007-07-09","https://i.scdn.co/image/ab67616d0000b27352e11bdb1ea1925246abf144","1","1","204000","https://p.scdn.co/mp3-preview/074ce214c70a7b3aaf7e39f685c0ac322907e06c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2020-12-14T04:38:25Z"
"spotify:track:7AJaLDZCZuhsk2ReaqBpg4","My People","spotify:artist:1zTAQ6zkGz2L2i6lfR30EX","The Presets","spotify:album:3gHuqLrIkfxDHXE29JGf5Y","Apocalypso (Deluxe)","spotify:artist:1zTAQ6zkGz2L2i6lfR30EX","The Presets","2008-04-12","https://i.scdn.co/image/ab67616d0000b273c500ca56d87a2f6b01d8ae7c","1","2","270520","https://p.scdn.co/mp3-preview/251cf184984eb26163f917404a6567a236a77170?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2020-12-21T06:53:03Z"
"spotify:track:7uSsHbBFFAnkRQR1rDwP3L","Black Betty - Edit","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","spotify:album:5WqHoLszhaCZHgtTebMx8X","Tonight Alright","spotify:artist:6P7kkhED6EPrfoZuxz20Fo","Spiderbait","2004-03-29","https://i.scdn.co/image/ab67616d0000b273e49d8e4b88b70ac7fc3cc31c","1","3","205973","https://p.scdn.co/mp3-preview/c1eb78148a323abf0fe19545fb45d4e33e385bbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:brenmiester","2020-12-21T06:53:30Z"
"spotify:track:5qxChyzKLEyoPJ5qGrdurN","No Sleep Till Brooklyn","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:11oR0ZuqB3ucZwb5TGbZxb","Licensed To Ill","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1986-11-15","https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac","1","8","246933","https://p.scdn.co/mp3-preview/eb4e263e4242c4415367450c215a9e7d81356bce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:brenmiester","2020-12-21T06:54:34Z"
"spotify:track:5fKZJHzJ9d3MADArbm9muW","Mountain Song","spotify:artist:02NfyD6AlLA12crYzw5YcR","Jane's Addiction","spotify:album:4DVBJPJyizvHfJQt5pYaCa","Nothing's Shocking","spotify:artist:02NfyD6AlLA12crYzw5YcR","Jane's Addiction","1988-08-23","https://i.scdn.co/image/ab67616d0000b2738765ac8eae3b054a1750419d","1","7","242720","https://p.scdn.co/mp3-preview/a7aeb438273cf9a16c7dee6820716412a3ffdc51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:brenmiester","2020-12-21T06:55:16Z"
"spotify:track:0vDbPNJToCssVuKVaRXz6o","Do What You Want","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","2","186013","https://p.scdn.co/mp3-preview/e7fa59356d3f6da6422bab0dcebba0c2d7b86622?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:brenmiester","2020-12-21T06:58:35Z"
"spotify:track:6q0HeADAxsP27jDJQSKaCB","I Predict A Riot","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:04sr0EUQWLrByyOKYZNS2K","Employment","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2005-01-01","https://i.scdn.co/image/ab67616d0000b273dcefb2aca59f3ed2e7496d58","1","2","233186","","false","0","spotify:user:brenmiester","2020-12-21T06:58:51Z"
"spotify:track:5rTIpPWeO0IL4HWlGWrz5G","Brianstorm","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:6rsQnwaoJHxXJRCDBPkBRw","Favourite Worst Nightmare (Standard Version)","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2007-04-24","https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90","1","1","170253","https://p.scdn.co/mp3-preview/e317a7d7c8ee0efe58a857cc5af69e0c78b874ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2020-12-21T06:59:10Z"
"spotify:track:6y20BV5L33R8YXM0YuI38N","No One Knows","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:4w3NeXtywU398NYW4903rY","Songs For The Deaf","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2002-01-01","https://i.scdn.co/image/ab67616d0000b2739eec33b045d88f87b9b06e67","1","2","278746","https://p.scdn.co/mp3-preview/0b411b03ea66b6edf136f95cc2950034ddede3e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:brenmiester","2020-12-21T07:10:06Z"
"spotify:track:6hNrg9cIjyWuklYGWIduy5","Your Racist Friend","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","spotify:album:7FwAtuhhWivxvK4aPgyyUD","Flood","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","1990-01-02","https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539","1","6","175426","https://p.scdn.co/mp3-preview/f8fcc3c7cb0f20d23eeeafaa6a727fc81e5e3a74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2020-12-21T07:04:04Z"
