"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2iFeOCVwYZYPogys0dDfR6","Devotion","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","14","316190","","false","0","spotify:user:brenmiester","2019-03-11T13:22:44Z"
"spotify:track:1EmimnysAUBhiy8rDbNN01","Default","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","spotify:album:1in9OlbNsLoJ8obUGhktxa","Django Django","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","2012-01-30","https://i.scdn.co/image/ab67616d0000b273dcd678d0ffcaf5fc2cf02e2f","1","3","185640","https://p.scdn.co/mp3-preview/5f3b41f82bcc22a0b9cabd6060725676810715aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2019-03-11T13:23:24Z"
"spotify:track:6myDPrp86x4Lhyp5aqU0EV","Cosby Sweater","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:7Lp5k5j4kHtTT8zOpJkfUN","Walking Under Stars","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2014-08-08","https://i.scdn.co/image/ab67616d0000b273b7afd289a9997752ee1fd1f6","1","3","217720","https://p.scdn.co/mp3-preview/40db6624cdda628de27aced87380d63dd256b85d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:brenmiester","2019-03-11T13:23:46Z"
"spotify:track:3rsq3qtqNBId48c0IVraTS","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-03-11T13:23:52Z"
"spotify:track:69h2mpzNUmdEg5egeNa1ki","Henrietta","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","1","212493","https://p.scdn.co/mp3-preview/42b24f8c48f900ab5e847da453dc726e3aed97c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2019-03-11T13:24:10Z"
"spotify:track:2yoCk1xYdULGPV1143r7CB","Joker And The Thief","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","spotify:album:747qcmgpdnnIG6lIBwNKhO","Wolfmother","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733217cb59b28806950c7e1e25","1","6","280466","https://p.scdn.co/mp3-preview/b47ebb3dc946f03c445e7a554ba15c11fd477bee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:brenmiester","2019-03-11T13:24:16Z"
"spotify:track:5IwUFTiNkarb5HEtNRtRtc","mother tongue","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:04mkS7FooK8fRbB626T9NR","amo","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2019-01-25","https://i.scdn.co/image/ab67616d0000b27349e3b7e85829da2fbc68bc46","1","11","217424","https://p.scdn.co/mp3-preview/4cd37928b64b792ecadd9fa4a58fc4c429f20c7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2019-03-11T13:25:06Z"
"spotify:track:3y76fWBgje3pSPV3PFmVS3","A Good Idea At The Time","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","4","194626","https://p.scdn.co/mp3-preview/e115b5bd7f74815523ccbff6320bbf1a1587f79e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2019-03-11T13:25:20Z"
"spotify:track:64YccwJHPzVcEhQJTRkofX","Juliet","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:6pw4nmjxQHpyKWUBQi4SSz","CloudNone, Matt Van","spotify:album:7zG41ZT7fCLWXVeDe9C2HC","Midnight Underground","spotify:artist:49vNfTzZU1nXv2xO34z5RY","CloudNone","2019-02-26","https://i.scdn.co/image/ab67616d0000b27316fff3ff162e5ef90e2279c3","1","5","236250","https://p.scdn.co/mp3-preview/bf226da3dd0ecb26c0be0836b61ca903c851da15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:brenmiester","2019-03-11T13:26:03Z"
"spotify:track:3cZt6DR3olI5DVXTCrfp3U","Indie Girl","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","5","178750","https://p.scdn.co/mp3-preview/0c7eabb69cfecd26a953d9c9f120dc4ff2f37ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brenmiester","2019-03-11T13:26:25Z"
