"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1qIf5eSO5cqHPXpTmQ4xR2","Hello","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","1","17902","","false","0","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:1on9OR0dUErtHv0FCTRUMn","Bokeh","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","2","123640","https://p.scdn.co/mp3-preview/6818185063d3c69c9ce460b0ea1c978ceee2dd3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:2zyW45G21tL5vnJrbkS5DA","The Block","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","3","66960","https://p.scdn.co/mp3-preview/29fa4fca4463c516fe0c53f2be4d9cddac5ca8b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:0fbkYdyWdXJYUx6NmcGbnR","Harvey","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","4","100909","https://p.scdn.co/mp3-preview/53aff956104d26d52cac445d6b5ed2f70c3af8e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:64N3PoCjl1bDFrd7T71e9S","The Pier","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","5","104701","https://p.scdn.co/mp3-preview/ac557ef29c8abfbe0a37e2c82a26b741f3d3bcf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:0bIzsr0eq81Vf8TpLyBP4b","Doesn't Matter","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","6","160000","https://p.scdn.co/mp3-preview/fd19ac02b2c93e35e9a2e99d96f9c05b650a9d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:5sP9Kmh6IakPS9J69UvosD","Early Lull","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","7","109462","https://p.scdn.co/mp3-preview/8bed012448559089b52dc9166e760894f6a8cf4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:0luHaE8JjOZEDzSEh2ODA4","The Cave","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","8","53835","https://p.scdn.co/mp3-preview/4f0e520aec163093fe310f7aedcedf404284b17b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:6M6zr9L9id6tVnXuBJAMQi","The Anchor","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","9","109923","https://p.scdn.co/mp3-preview/645fef4cda0bf58be4b19889baccca35a6a6bf5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:1iqGGd3dlwxRJUSsFKOrmH","Strummy","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","10","47161","https://p.scdn.co/mp3-preview/17a0ccc6e531a3a5edbf353ea7df6ca3424998f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:5CymhCPGxVm5q1z7C5FfJh","Day Cruiser","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","11","113531","https://p.scdn.co/mp3-preview/b1adffc331840992eed25852831531516a8929f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:4mnwHTs0JYAKxPCOwrDWpi","Moss","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","12","28734","","false","0","spotify:user:brenmiester","2018-07-16T12:35:26Z"
"spotify:track:1EgQQzb9Uz1xNiKYGaVlw7","Slow Tape","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:4FbbUc3pbaSz6KnYKvLezr","Lo-Fi","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-05-25","https://i.scdn.co/image/ab67616d0000b273e96d61f1a2214dcca7643184","1","13","111521","https://p.scdn.co/mp3-preview/1365a7ce65f624cba1be69114c13ed2aa61a8001?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:brenmiester","2018-07-16T12:35:26Z"
