"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4RWeizdES94TbsDWSrQdLU","Isometric (Intro)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","1","80560","https://p.scdn.co/mp3-preview/c4df4868c36b299463b75d8f533ff850708513cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:4PTPZeJlK1rYlYr6bf11hk","You're On (feat. Kyan)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:1fpemL1wk3ZyXVfpzlVEkL","Madeon, Kyan","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","2","192720","https://p.scdn.co/mp3-preview/b9e535e749025a4bee3a4c269bb1fc7a43f33fd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:43HB8rqTgyyvG74mMAHXnL","OK","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","3","181760","https://p.scdn.co/mp3-preview/f4f884c30ff78976d16b228d749a4a204bcf0eea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:1UCDE2UIE5cC6B1o0nsrSv","La Lune (feat. Dan Smith)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:2M2MXUELmMkH9g3bjOMEyx","Madeon, Dan Smith","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","4","219840","https://p.scdn.co/mp3-preview/6fe270398ba0a769a38e75c2b24fc8dca9f10d90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:3rsq3qtqNBId48c0IVraTS","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:7vkPu9wwdUpB6dPmWBNcPv","Beings","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","6","215440","https://p.scdn.co/mp3-preview/f6b48db256f0af8f3c8c6134d4622dd7e897f11e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:2NRKqJK2nFpr0VHn74EwhV","Imperium","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","7","198853","https://p.scdn.co/mp3-preview/d2a2d91e01e4de425f58e85ac691ce1718c50dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:058WYdKjtPVuahMU1ey9DS","Zephyr","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","8","220373","https://p.scdn.co/mp3-preview/c8925851386f06c7474f16670988627e5498279d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:71SDRIbBoAGYgvagVL9KRb","Nonsense (feat. Mark Foster)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:01HaDEWYoJwaJcMmZFxb6n","Madeon, Mark Foster","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","9","225786","https://p.scdn.co/mp3-preview/f54cc4bf079e0ed5c606b22a48292cf0ba8fdfc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2020-02-04T01:26:10Z"
"spotify:track:4B59CsEpwMFAOQXu7snoJF","Innocence (feat. Aquilo)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:26GHRG8x1F4AzbCKzUaIbw","Madeon, Aquilo","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","10","224306","https://p.scdn.co/mp3-preview/098939c948dd2adde08376c74fcdf731d580fdda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:brenmiester","2020-02-04T01:26:10Z"
