"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7scsnnMdMA2EbvD8ZrTTsa","Looking For Love","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6QTR0lSUsAHbwF4zHop1DR","After Dark 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-05-17","https://i.scdn.co/image/ab67616d0000b273466a3373f31d394e2403bbbc","1","5","330906","","false","0","spotify:user:dewanderer","2013-11-10T01:49:16Z"
"spotify:track:0nSEZamLD7UwRiqUpyws6o","Cherry","spotify:artist:4tOVIRjlWWfR1RrAxyRqTE","Chromatics","spotify:album:6QTR0lSUsAHbwF4zHop1DR","After Dark 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-05-17","https://i.scdn.co/image/ab67616d0000b273466a3373f31d394e2403bbbc","1","10","272946","","false","0","spotify:user:dewanderer","2013-11-10T01:49:28Z"
"spotify:track:5mEoquFcbS0N4XBMopm03X","Axis","spotify:artist:2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","spotify:album:60xS3EDuOFXLMJLSjwSUZa","Electric","spotify:artist:2ycnb8Er79LoH2AsR5ldjh","Pet Shop Boys","2013-07-15","https://i.scdn.co/image/ab67616d0000b27325228b627b2a9104d1d44188","1","1","332560","","false","0","spotify:user:dewanderer","2013-11-10T01:50:05Z"
"spotify:track:7GlQWhzuNV0mHMHf8CS4PM","Loss For Words - Vector Lovers Remix","spotify:artist:46TYNnrpqzYjm5HjaMBVhj","Solvent","spotify:album:6i1tLT3IRolk2DDzJLcj3b","Loss For Words","spotify:artist:46TYNnrpqzYjm5HjaMBVhj","Solvent","2010-04-20","https://i.scdn.co/image/ab67616d0000b2730838bf393f2e19a3dd820abc","1","3","313269","","false","0","spotify:user:dewanderer","2013-11-10T01:56:45Z"
"spotify:track:6mt99V7JMpSsVAncEAp4sV","Kissed You By The Fountain - 2011 Remaster","spotify:artist:2LK47LL5KdPAUJKFffzp9B","Vector Lovers","spotify:album:2TVzGGiNCrkuIJpZHBRpP9","Electrospective","spotify:artist:2LK47LL5KdPAUJKFffzp9B","Vector Lovers","2011-03-28","https://i.scdn.co/image/ab67616d0000b2732d93938f0baa4ee1b79de800","1","10","199245","","false","0","spotify:user:dewanderer","2013-11-10T01:56:59Z"
"spotify:track:0ZNDPwrO9IwIJYdRchhC5n","Afterglow","spotify:artist:7lbp0JENEyGMN7LgqF25Yq, spotify:artist:5NkUpXWkeXspvu7iQQOHhP, spotify:artist:6fy0RqV5OGAoGKVtbEvW6T","Phaeleh ft. Soundmouse, Phaeleh, Soundmouse","spotify:album:5N8eVuRO65PjOdXfZCKdB8","Afterglow","spotify:artist:5NkUpXWkeXspvu7iQQOHhP","Phaeleh","2010-09-27","https://i.scdn.co/image/ab67616d0000b273375cf3eb7d77faccb92b87e5","1","1","283319","","false","0","spotify:user:dewanderer","2013-11-10T01:58:34Z"
"spotify:track:2GIfOOa8hAywfzZptFz3xK","Nightcall","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","spotify:album:55U1DpuCIiwOJHwYLU1Qe4","Nightcall","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","2010","https://i.scdn.co/image/ab67616d0000b27370ef0121b4602f45879dcc89","1","1","258413","","false","0","spotify:user:dewanderer","2013-11-10T02:08:35Z"
"spotify:track:5WsJ2FGI4e9JWKb6TCG3kL","ProtoVision","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","spotify:album:3bRM4GQgoFjBRRzhp87Ugb","OutRun","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731c08bca073e89ae32c68ffaa","1","3","205426","https://p.scdn.co/mp3-preview/7c7879f7561da7263f314217f5f93b804d377964?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:dewanderer","2013-11-10T02:09:03Z"
"spotify:track:5RxJENtSzEkPr6N6476Xtx","Wayfarer","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","spotify:album:3wke2l2r3BQ9YJ75x5A1DK","1986 - EP","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","2007-03-05","https://i.scdn.co/image/ab67616d0000b273499d8b3a9695452d1d7bd3c0","1","1","269720","https://p.scdn.co/mp3-preview/914d8d60147fe8e2e5d0ae7411b6d753baf551fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:dewanderer","2013-11-10T02:09:10Z"
"spotify:track:5MOwFMdgsaysrVPcE7Flnj","Testarossa Autodrive","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","spotify:album:3bRM4GQgoFjBRRzhp87Ugb","OutRun","spotify:artist:0UF7XLthtbSF2Eur7559oV","Kavinsky","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731c08bca073e89ae32c68ffaa","1","7","217720","https://p.scdn.co/mp3-preview/0541ee247dabbc4335a06b6456f9d11d06f9095a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:dewanderer","2013-11-10T02:09:24Z"
