"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1a7iYgTRZIvsgmLzFbR7f2","Urges - The Kite String Tangle Remix","spotify:artist:0M7GyeyRi2fG8c1LdP4jhi, spotify:artist:3D6cosC5ZOLCpRxt6T3XS7","Lastlings, The Kite String Tangle","spotify:album:1t88Cx6dxGgC8tVjiHMIsB","Urges (The Kite String Tangle Remix)","spotify:artist:0M7GyeyRi2fG8c1LdP4jhi, spotify:artist:3D6cosC5ZOLCpRxt6T3XS7","Lastlings, The Kite String Tangle","2017-04-10","https://i.scdn.co/image/ab67616d0000b2738f8705f0baf7fedffeeac56b","1","1","198000","https://p.scdn.co/mp3-preview/0733bc609acca02c5cf236fc71b27f9513eb3e8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2019-02-24T14:33:11Z"
"spotify:track:2TqufSS0yIHjfNQe5rkpZM","Worship","spotify:artist:2SrWifjYv7b5tR8EzEmn1x","Golden Features","spotify:album:6XNdx4uLxvGHGzhMR7LfjL","Worship","spotify:artist:2SrWifjYv7b5tR8EzEmn1x","Golden Features","2018-06-12","https://i.scdn.co/image/ab67616d0000b2735dbd13d9786507e97f45ceb5","1","1","244007","","false","0","spotify:user:brenmiester","2019-02-24T14:33:27Z"
"spotify:track:74cvkvTVxAXCew97vBnYiy","Notorious","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","spotify:album:1ZaudPRp3OGpMml9UjuVRx","Notorious","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","2016-08-24","https://i.scdn.co/image/ab67616d0000b273fd6a92dc492a84439b53f251","1","1","271219","https://p.scdn.co/mp3-preview/6fa6580f585f12c527e8ddeaafd92269503a86bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:brenmiester","2019-02-25T01:59:07Z"
"spotify:track:4gRAniZdYF2zVrDUsNC9tU","raingurl","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","spotify:album:3YtDhWqQOTOT6XD2DQHpBr","raingurl","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","2017-10-30","https://i.scdn.co/image/ab67616d0000b273df583c7001dc1d0d548867f4","1","1","237231","","false","0","spotify:user:brenmiester","2019-02-25T02:03:15Z"
"spotify:track:4fHHSFn4eB1cxseLlNNzS9","Do You?","spotify:artist:2SrWifjYv7b5tR8EzEmn1x","Golden Features","spotify:album:4q7ypBFqg35EiCWDbXsK8C","XXIV","spotify:artist:2SrWifjYv7b5tR8EzEmn1x","Golden Features","2015-06-19","https://i.scdn.co/image/ab67616d0000b273e7f99997f925bb973a6dd736","1","4","297903","https://p.scdn.co/mp3-preview/fc9c07066aa45ddd862cf74fa3212892c7aeb1cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:brenmiester","2019-02-25T02:09:29Z"
"spotify:track:56Hg758uJVIvh1WRua0Gr0","Pregnant","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","spotify:album:4nyy0MMHcXWLsF5QGJhlN9","Pregnant","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","2015-08-20","https://i.scdn.co/image/ab67616d0000b273f8605683dbb98d4d618b0872","1","1","257931","","false","0","spotify:user:brenmiester","2019-02-27T02:42:39Z"
"spotify:track:6Fu4bDzj4txJGXVyJt4Bpx","Diamonds","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","spotify:album:4f746EVmiJShOnq4HJ75rS","Diamonds","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","2016-06-21","https://i.scdn.co/image/ab67616d0000b2736a6941f23058a754d2c29c31","1","1","250560","https://p.scdn.co/mp3-preview/23bc59e1e6e6b956192dbfe66ec0769e714e8edb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:brenmiester","2019-04-10T13:27:30Z"
"spotify:track:4l3ivfobBF7FKx6cfm8upq","//DDoS","spotify:artist:0y42IQBDFigO5mmEd1bGQG","i_o","spotify:album:6OppzYfRj99miF4k8vLmLy","ANALOG//DDoS","spotify:artist:0y42IQBDFigO5mmEd1bGQG","i_o","2018-02-20","https://i.scdn.co/image/ab67616d0000b273f14291009ba2fa80dfdf390a","1","2","232499","https://p.scdn.co/mp3-preview/c8ff06bd00d5d43f4a697e5948e039d84b89531b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2019-05-22T07:09:49Z"
"spotify:track:46rZgRYU1H5Xnv0n75OGis","Deep Down Low","spotify:artist:0deIjoDjl9g9Zpw0sCIOHh","Valentino Khan","spotify:album:67bF4s11NHmoi7cnwJcEMM","Deep Down Low","spotify:artist:0deIjoDjl9g9Zpw0sCIOHh","Valentino Khan","2015-07-10","https://i.scdn.co/image/ab67616d0000b2737498b3b158f4dc959b3aacd0","1","1","190476","https://p.scdn.co/mp3-preview/ed34266afc277c419c8ee6389f1161f3b8238304?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2019-08-01T05:57:23Z"
"spotify:track:4b5uAEJFERLWCWLECERrj5","Heaven","spotify:artist:5uiDE9y1o7EEyDbNBo6vl9","Drezo","spotify:album:40TqxwN6NvOOjuQ8XvD7RB","Heaven","spotify:artist:5uiDE9y1o7EEyDbNBo6vl9","Drezo","2015-08-19","https://i.scdn.co/image/ab67616d0000b273490e87fdf14d2f84b23fb37c","1","1","265312","","false","37","spotify:user:brenmiester","2019-08-01T06:03:22Z"
"spotify:track:4wtyVaBlDmssq5sj1cwF9S","Prophecy","spotify:artist:1KpCi9BOfviCVhmpI4G2sY, spotify:artist:7w1eTNePApzDk8XtgykCPS","Tchami, Malaa","spotify:album:3JIAxAMIlK7s9mpdPnW6el","Prophecy","spotify:artist:1KpCi9BOfviCVhmpI4G2sY, spotify:artist:7w1eTNePApzDk8XtgykCPS","Tchami, Malaa","2016-09-20","https://i.scdn.co/image/ab67616d0000b2739700ff26985084da231b722b","1","1","278400","","false","0","spotify:user:brenmiester","2020-02-08T05:40:37Z"
"spotify:track:2GnA00tHtT8aUT2wyVdIde","Drop That","spotify:artist:29DWvZyWy1yvU8jpIePBYi","Loge21","spotify:album:41sOSBQ2bPlfOGmk43H0ig","Drop That","spotify:artist:29DWvZyWy1yvU8jpIePBYi","Loge21","2016-05-03","https://i.scdn.co/image/ab67616d0000b27320f1305731b3cffb6029f5a4","1","1","241935","https://p.scdn.co/mp3-preview/3eba65574a013550ce59f1d108de99b348fb79fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:brenmiester","2020-02-08T05:40:47Z"
"spotify:track:0m4donue5KgOq9D9s6wfTu","Horse","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","spotify:album:0z5OpRRF8NPklLH8p1T3fo","Horse","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","2019-04-17","https://i.scdn.co/image/ab67616d0000b273fcdcb662bbde2f86d5e99f8b","1","1","173588","https://p.scdn.co/mp3-preview/a96ff39f2b2de50173612d3edf51b26a7a6b7af3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2020-02-08T05:40:58Z"
"spotify:track:7IM73yy9leN8ftZsOVmVTO","I Want You","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE","Chris Lake","spotify:album:0SEsqtMQGv94fUdryIBtpF","I Want You","spotify:artist:5Igpc9iLZ3YGtKeYfSrrOE","Chris Lake","2017-03-22","https://i.scdn.co/image/ab67616d0000b273284f35ec20aacd2aac2c0b21","1","1","248006","https://p.scdn.co/mp3-preview/710bf0d07bd0d341b0707cf608b06cee0994696c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2020-02-08T06:55:28Z"
"spotify:track:0oUTyBEY3NQzmu2VuoKpSH","Bass Inside","spotify:artist:6EqFMCnVGBRNmwPlk2f3Uc","AC Slater","spotify:album:2EIMq4BGKqgFQnZqBns0Ki","Bass Inside","spotify:artist:6EqFMCnVGBRNmwPlk2f3Uc","AC Slater","2016-04-06","https://i.scdn.co/image/ab67616d0000b273aefbaf3da7aaaf411bf7b76f","1","1","264000","https://p.scdn.co/mp3-preview/6963f40f4fac0c846988b08e5cb7bc433f1eae2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2020-02-08T06:55:33Z"
