"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0M0qBmQ9ffPd7QRLhxIiYS","Hang Up","spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:4dRRQxDsUXpBkGqjS7vNcO","WRLD, Savoi","spotify:album:1TdTdDMA6iLzP2wPCPO3qK","Hang Up","spotify:artist:4VqBNQRr0nDN0trNUOn0co","WRLD","2018-04-06","https://i.scdn.co/image/ab67616d0000b273cbb2b9ef837e74dfd4bd043b","1","1","199500","","false","0","spotify:user:brenmiester","2019-01-11T12:38:39Z"
"spotify:track:4wLfRv7Og2J02JLayZIYph","Some Kind of Magic (feat. MYZICA)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:6mE4w8P7BX8CrhM1QmpYaC","LVTHER, Myzica","spotify:album:7fyHjUeUewEqqvTol9QQx9","Some Kind of Magic (feat. MYZICA)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2016-03-30","https://i.scdn.co/image/ab67616d0000b27346fcb79f95f83b547f4d7000","1","1","194290","","false","0","spotify:user:brenmiester","2019-01-11T12:34:24Z"
"spotify:track:6k7wBCUsG2oGb8PT0WZL6n","Matches (feat. Aaron Richards)","spotify:artist:7xYcJfhrRx9Iv8smhoEibc, spotify:artist:0FvgCHaMG7KL6M83yJuhmL, spotify:artist:635Ty89ihpkpWMkLQ7dlsp","Ephixa, Stephen Walking, Aaron Richards","spotify:album:1cEfEkMiLBiwCIydfzH3tj","Matches (feat. Aaron Richards)","spotify:artist:7xYcJfhrRx9Iv8smhoEibc, spotify:artist:0FvgCHaMG7KL6M83yJuhmL","Ephixa, Stephen Walking","2016-07-04","https://i.scdn.co/image/ab67616d0000b273c174da5efef0970ef775d72e","1","1","233454","","false","0","spotify:user:brenmiester","2019-01-13T04:18:50Z"
"spotify:track:58Kn143bgkL7d25m2bB3hp","Killing Giants (feat. Richard Caddock)","spotify:artist:0QaiCsyOUjBgLqsbABu07O, spotify:artist:2Rq0zkoY2vpLxo716BKKtx, spotify:artist:4Mup4RsJSC8M36adeRrhgB","Puppet, Murtagh, Richard Caddock","spotify:album:6Nh2zD0woxs8puvV08poRg","Monstercat 029 - Havoc","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-11-18","https://i.scdn.co/image/ab67616d0000b2739f7beb2166f2b34aa13ee01c","1","10","241911","","false","0","spotify:user:brenmiester","2019-01-11T13:01:41Z"
"spotify:track:0NuZtgg8ZvqlwnJ9K6COeF","Love Back on (feat. Emelie Cyréus)","spotify:artist:13H2PbDHYtjo8v0R8HMAao, spotify:artist:0sbkGGlLYmgOzcxRqd257O","Summer Was Fun, Emelie Cyréus","spotify:album:5rAv4l6NxyHnRO0HqeRqeu","Love Back On (feat. Emelie Cyréus)","spotify:artist:13H2PbDHYtjo8v0R8HMAao","Summer Was Fun","2017-07-17","https://i.scdn.co/image/ab67616d0000b273581d8d59170c53b4eac7b07f","1","1","211267","","false","0","spotify:user:brenmiester","2019-01-19T05:53:53Z"
"spotify:track:63K5mPZcOvL2nRUcONJgks","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:5gJfcr0UWAk7lLNgiGhbZg","Grant, Jessi Mason","spotify:album:36QzfnYcqwGL4wWiWAYsEP","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2017-05-26","https://i.scdn.co/image/ab67616d0000b273ee5391ae5d1fa8f67877bc59","1","1","216017","","false","0","spotify:user:brenmiester","2019-01-19T05:57:11Z"
"spotify:track:7ctwZqOpwIZT5HjCUyMJ2Q","Trippin","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","spotify:album:1JnR4e30rdnaMR4qutdMoL","Trippin","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","2018-08-17","https://i.scdn.co/image/ab67616d0000b273071a8583f9b9e04af62b34d5","1","1","211956","https://p.scdn.co/mp3-preview/1882bf02ae283dff42114b5e8ebb3d49e69b428c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2019-01-11T12:33:40Z"
"spotify:track:5BIjJP1zlOa3iY65RSkXkr","Nevada (feat. Cozi Zuehlsdorff)","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","Vicetone, Cozi Zuehlsdorff","spotify:album:6Xv7zgkIswLSsnqmYeo8OL","Nevada (feat. Cozi Zuehlsdorff)","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2016-06-24","https://i.scdn.co/image/ab67616d0000b273e2f355c4e15246ae2bdbaa3b","1","1","208561","","false","0","spotify:user:brenmiester","2019-01-19T05:47:35Z"
"spotify:track:2TsMgZTaacXikcOAEezzyk","The Girl (feat. Cozi Zuehlsdorff)","spotify:artist:1kgxTtyF91VaqLD3J6Krd5, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","Hellberg, Cozi Zuehlsdorff","spotify:album:7u99WBfuzSOlISWMJQIhxf","The Girl (feat. Cozi Zuehlsdorff)","spotify:artist:1kgxTtyF91VaqLD3J6Krd5","Hellberg","2015-03-16","https://i.scdn.co/image/ab67616d0000b2738c11ec040af15e87f3572af1","1","1","265659","","false","0","spotify:user:brenmiester","2019-01-19T05:50:16Z"
"spotify:track:09edNQtNjT9SIgcrVO50fP","Home (feat. Richard Caddock)","spotify:artist:0IYI04P2UzxwxJxvdvKk7P, spotify:artist:4Mup4RsJSC8M36adeRrhgB","Laszlo, Richard Caddock","spotify:album:730Wk0Nw12VB8QtYa0rLQU","Home (feat. Richard Caddock)","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","2015-12-16","https://i.scdn.co/image/ab67616d0000b2738e5978abb4d8f083b70654a7","1","1","292432","","false","0","spotify:user:brenmiester","2019-01-19T05:55:54Z"
