"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3JfBc3WsYG7nPEsKm7osEA","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","1","201440","https://p.scdn.co/mp3-preview/509eeaab742b04fcd1a1ff8041c8a389ab7800a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:2XMuWWO6xLSAEUriBk3Bsn","Buggy","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","2","309960","https://p.scdn.co/mp3-preview/81d601d538ce208bcf017d7aef9127a6eb93b9c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:2s7wFIfWjCDkGGmwrIEmob","Up","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","3","114440","https://p.scdn.co/mp3-preview/63ebc8f5bd2fedeeb19ac90e106f98c67479d325?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:7fOGna6hi3XhWOduBt7rUw","Peach","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","4","350853","https://p.scdn.co/mp3-preview/b0c72f38bee4f7eca3f8cc4d2cff089990a95ebb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:63Dn9d8uDNXsICpJsatg7Z","Chooby","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","5","137066","https://p.scdn.co/mp3-preview/4ef5d162643180506136df7119a71e156387dd99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:1kVzztlx65hiTrNB4EBKHR","Pectina","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","6","198040","https://p.scdn.co/mp3-preview/c2ee9041abe68388622056cf787080e936d75d2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:4mSM4t6z7ZeDVnL090Ov7D","Tuner","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","7","193346","https://p.scdn.co/mp3-preview/4f8240f0e7a8c7580323a232370cfaf6573475e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:5S9PFIRStUhrBpc9bU3fTn","Kikik","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","8","185573","https://p.scdn.co/mp3-preview/6f35a89472ce94ef0d397d524cfc996fef9c0ef1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:13Zhw41hJem5jrwIBNEmKe","Flavia","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","9","243360","https://p.scdn.co/mp3-preview/eb500387e5e9fec08b3f02808be73f487afc617e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
"spotify:track:6wZ7fEDGwoE9ME6pIbJlJX","Scratch","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","spotify:album:3OJq5wklHf5lROlLuhJzVm","Bounce","spotify:artist:3CgUi695MZp25YK1JpB66K","Dim Dim","2005-08-30","https://i.scdn.co/image/ab67616d0000b273cb371795e0c0805a0267b3d0","1","10","146440","https://p.scdn.co/mp3-preview/125692bede508798c027e0a276c475d57319baa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:brenmiester","2017-06-18T01:50:52Z"
