"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:local:underscores::entertainment+%28live+mashup%29:236","entertainment (live mashup)","","underscores","","","","","","","0","0","236000","","false","0","spotify:user:brenmiester","2018-05-26T05:10:36Z"
"spotify:track:2NjYndZ70KjfYTdDCZEw0F","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84, spotify:artist:0PqgxdVGANnDuXv1YPCBnV","Brandyn Burnette, dwilly, Kayo Genesis","spotify:album:4KczjkB8NSfRwuCG5l1Ru4","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84","Brandyn Burnette, dwilly","2018-04-10","https://i.scdn.co/image/ab67616d0000b27364f95ae12fddd878f6915a93","1","1","183652","","false","0","spotify:user:brenmiester","2018-05-26T05:10:52Z"
"spotify:track:1kQFOZpIahntFuje6VQn4t","Time Goes By","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","spotify:album:1mpTEP887jJDnfz6bL0c4o","Time Goes By","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","2018-05-24","https://i.scdn.co/image/ab67616d0000b273a0b1da59d27aa0c04738bb44","1","1","206250","","false","0","spotify:user:brenmiester","2018-05-26T05:11:07Z"
"spotify:track:2a0u9xfapgvsU4qGwHOTxL","Toothless Hawkins (And His Robot Jazz Band)","spotify:artist:2g1JSu9UfRcQQYb3b03Km7, spotify:artist:5RKCVcnmcgyhFf85I4Ry9O","Varien, Razihel","spotify:album:3WMELssaZMsFbItfy1XnRe","Monstercat 013 - Awakening","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-06-10","https://i.scdn.co/image/ab67616d0000b273897ec184e6b6c07931d2fde9","1","26","240577","","false","0","spotify:user:brenmiester","2018-05-26T05:11:22Z"
"spotify:track:3CCIRs4SuobzpXYzoB3Bvy","Cascade","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg, spotify:artist:5DygptUY6coQHpmgFfISzQ, spotify:artist:1TVDml0EOLsjUxBCFzqWes","MUZZ, A.M.C, Turno","spotify:album:34UYEHfEfSBv2epPuAYw19","The Cascade EP","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2018-05-14","https://i.scdn.co/image/ab67616d0000b2734a37cc7b3f383645b8cd02f4","1","5","374100","","false","0","spotify:user:brenmiester","2018-05-26T05:11:50Z"
"spotify:track:49UyrgJ1MPdRF254oliarG","New Age","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg, spotify:artist:4BKyei61gtyDFxlKhcvBJJ","MUZZ, Celldweller","spotify:album:34UYEHfEfSBv2epPuAYw19","The Cascade EP","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2018-05-14","https://i.scdn.co/image/ab67616d0000b2734a37cc7b3f383645b8cd02f4","1","1","334720","","false","0","spotify:user:brenmiester","2018-05-26T05:11:59Z"
"spotify:track:7CxcY2dpoGENycfAjkC2Hj","About U","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:2aDShFDjvKxrb7FKzUvkz6","Aiobahn, Vin","spotify:album:7qxaogGvgamZQp57y4nYF3","About U","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:2aDShFDjvKxrb7FKzUvkz6","Aiobahn, Vin","2018-05-25","https://i.scdn.co/image/ab67616d0000b2732392712a36649290e78ff376","1","1","175476","","false","0","spotify:user:brenmiester","2018-05-26T12:40:12Z"
"spotify:track:4PzxiUY6lzHtBU3crMkiE4","The Mob","spotify:artist:0qPGd8tOMHlFZt8EA1uLFY","RIOT","spotify:album:1laYE7gQDDx4vV5Jjnyi7c","The Mob","spotify:artist:0qPGd8tOMHlFZt8EA1uLFY","RIOT","2018-06-04","https://i.scdn.co/image/ab67616d0000b2735f80a36ea5d4c3f3e0789d93","1","1","330000","","false","0","spotify:user:brenmiester","2018-06-06T05:29:02Z"
"spotify:track:7yKW2TBoNWCQFqJ8p55Etd","Cantina","spotify:artist:3HqP3nd8WI0VfHRhApPlan","Trinix","spotify:album:21UJQBAglg87IXqH00J6tH","Cantina","spotify:artist:3HqP3nd8WI0VfHRhApPlan","Trinix","2016-01-12","https://i.scdn.co/image/ab67616d0000b27333ae4fce7669a7da4e3f7b12","1","1","185600","","false","0","spotify:user:brenmiester","2018-06-09T15:32:42Z"
"spotify:track:24hYr62Cz2iA3OOef8mykI","The Island, Pt. 1 (Dawn) - Skrillex Remix","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B, spotify:artist:5he5w2lnU9x7JFhnwcekXX","Pendulum, Skrillex","spotify:album:582DszgyCd6TSUXhBUNNZX","The Island, Pt. 1 (Dawn) [Skrillex Remix]","spotify:artist:7MqnCTCAX6SsIYYdJCQj9B, spotify:artist:5he5w2lnU9x7JFhnwcekXX","Pendulum, Skrillex","2018-06-08","https://i.scdn.co/image/ab67616d0000b2736402ae5d1b680facfc54241d","1","1","209583","https://p.scdn.co/mp3-preview/817bb454c283606c2029be7857dc23aeccc1ead3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2018-06-12T06:54:44Z"
"spotify:track:6BGEhol7XQqvFjN6HtCI3R","Sweets (Soda Pop)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:4QJxJr1o1REeaNrgMMx4gl","Sweets (Soda Pop)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2015-01-16","https://i.scdn.co/image/ab67616d0000b2735f0a7adf1eb911ceb78f7349","1","1","295311","https://p.scdn.co/mp3-preview/1c307f740dd06bac041967c9d83748222997c529?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:brenmiester","2018-06-12T10:17:00Z"
"spotify:track:3SJj3KLhviV4RLBSaAjFnw","THE DROP - Stonebank Remix","spotify:artist:5nd7jnne7zbsV2J5jBKNOY, spotify:artist:4lC8Q0azW5ij2e1skZo377","Gammer, Stonebank","spotify:album:2PjrwFZGPy7zjn2x71xQm4","THE DROP (Remixes Pt. 1)","spotify:artist:5nd7jnne7zbsV2J5jBKNOY","Gammer","2018-07-03","https://i.scdn.co/image/ab67616d0000b273726e5acd767f3e16f0d1b2bf","1","4","234375","","true","0","spotify:user:brenmiester","2018-07-05T07:24:41Z"
