"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Wavny2SgrH8U2iq0H2iDt","Maths","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","spotify:album:5PqkiuL5t7vPZKREB00zPO","> album title goes here <","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2012-01-01","https://i.scdn.co/image/ab67616d0000b273e87fc9dee06ae964efd36bea","1","6","414578","https://p.scdn.co/mp3-preview/0b028e3702127ce2a7719acae420750506cc5b0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:brenmiester","2017-08-30T00:10:52Z"
"spotify:track:7DPpdwFmXrmtSFhMfMhy80","Ghosts 'n' Stuff","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:2SNg8nqwOHF1eZgRnL9zes","deadmau5, Rob Swire","spotify:album:77pjtGdQsFAJ8eV6pV2ZZz","For Lack Of A Better Name","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2009-01-01","https://i.scdn.co/image/ab67616d0000b2730747c05f0574ad949a5bcc2b","1","3","327733","https://p.scdn.co/mp3-preview/79be4faffaa3bc585a05273d8f53c410568bc007?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2017-08-30T00:11:03Z"
"spotify:track:3gCY4LWTBNKqMz4CJz1JQj","Moar Ghosts 'n' Stuff","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","spotify:album:77pjtGdQsFAJ8eV6pV2ZZz","For Lack Of A Better Name","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2009-01-01","https://i.scdn.co/image/ab67616d0000b2730747c05f0574ad949a5bcc2b","1","2","298173","https://p.scdn.co/mp3-preview/ddca5024d0daff619c20ca10b342e1d665ebf8f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2017-08-30T00:11:09Z"
"spotify:track:6QrCWeyhXjDg6yj72ixnPR","Never Looking Back","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","spotify:album:0cF8euxzQ9M2sskIoRO7bC","Never Looking Back","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2016-05-09","https://i.scdn.co/image/ab67616d0000b273c30ab7138ff6f31c829f1afc","1","1","257250","","false","0","spotify:user:brenmiester","2017-08-30T00:11:19Z"
"spotify:track:2jUHaimWu88ZotFvwZ5ZJO","Talk About It (Virtual Riot Remix) [feat. Desirée Dawson]","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:1BeMe0yy4Sqo29rnqkZ1tc","Pegboard Nerds, Virtual Riot, Desiree Dawson","spotify:album:6tzXTZnVStL7HD0gIQWeJF","Nerds by Nature (The Remixes)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2017-05-16","https://i.scdn.co/image/ab67616d0000b2732605eb116b9d79e0c8f8a011","1","2","202758","","false","0","spotify:user:brenmiester","2017-08-30T00:11:24Z"
"spotify:track:6Ehy8wRUYjAZcMMRCxMZVM","Moving On","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","spotify:album:7I7NCQhfXE7ZytG1WsX2vq","Moving On","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","2017-05-05","https://i.scdn.co/image/ab67616d0000b273779b026a1fd1aa96c6deac6d","1","1","179154","https://p.scdn.co/mp3-preview/6753c3f099f3ec08bdcac335dc39a43d28777f0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2017-08-30T00:11:28Z"
"spotify:track:5N2mgHvrkA9tZjxAxprC2L","Tico","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:2KE7WuzEivNrolaBpPn47a","Grand Central","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-03-24","https://i.scdn.co/image/ab67616d0000b2735b1981768f6549971cf9b8ba","1","1","228462","https://p.scdn.co/mp3-preview/f7fd3e7d7c6ed24da4ac77a1fcfbecf16810cb55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2017-08-30T00:11:34Z"
"spotify:track:0HUGkXVSRaLwRlhSRZzvOu","Waist Time","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3SvCpwSeoWCcjfo8zjPZKB","Diplo, Autoerotique","spotify:album:5zW65LLoUWrZi7R7JFuadR","Waist Time","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3SvCpwSeoWCcjfo8zjPZKB","Diplo, Autoerotique","2017-01-13","https://i.scdn.co/image/ab67616d0000b27355ba9d7ca8742dca022431c1","1","1","198750","https://p.scdn.co/mp3-preview/28677a2b9c8e99e7100b25e020fe43497b6d6a1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:brenmiester","2017-08-30T00:11:40Z"
"spotify:track:5i7fZq3chLyCHo3VeB6goD","First of the Year (Equinox)","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","spotify:album:7ltvnXQCjQRwTlMy55XcCz","More Monsters and Sprites EP","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2011-06-07","https://i.scdn.co/image/ab67616d0000b273d3004c7f9c57d391bbdb0850","1","1","261517","https://p.scdn.co/mp3-preview/717e36da79db34974f0b79d810b2945ea4006a1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2017-08-30T00:11:51Z"
"spotify:track:3gxSVaGFIDo7emWWxA04y1","Illmerica","spotify:artist:3534yWWzmxx8NbKVoNolsK","Wolfgang Gartner","spotify:album:3ki4NIpthmwkIgQIH8y09h","Weekend In America","spotify:artist:3534yWWzmxx8NbKVoNolsK","Wolfgang Gartner","2011-01-01","https://i.scdn.co/image/ab67616d0000b273def90d426bd0090bc8d4514b","1","10","337700","https://p.scdn.co/mp3-preview/5d8cc28566294acb51129556c9d9f579735aeb09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2017-08-30T00:11:59Z"
