"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4gH12KjwxV1h5z3Lq5OdJN","All the Ladies","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:4W991QdgKWX4TO864ypInA","Fatboy Slim, Eats Everything","spotify:album:1w1UECYYfHeqLXGUuWR9Mg","All the Ladies","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:4W991QdgKWX4TO864ypInA","Fatboy Slim, Eats Everything","2020-03-13","https://i.scdn.co/image/ab67616d0000b273d56a2b46dc4c2d5d67ea0eae","1","1","247607","https://p.scdn.co/mp3-preview/545dc09476d8f89a8edbd629b220eff51a0d7d76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:12178968385","2020-03-13T17:07:30Z"
"spotify:track:3TyVPseqQvhSMFdif2AbMg","All the Ladies - 12"" Version","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:4W991QdgKWX4TO864ypInA","Fatboy Slim, Eats Everything","spotify:album:1w1UECYYfHeqLXGUuWR9Mg","All the Ladies","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:4W991QdgKWX4TO864ypInA","Fatboy Slim, Eats Everything","2020-03-13","https://i.scdn.co/image/ab67616d0000b273d56a2b46dc4c2d5d67ea0eae","1","2","390813","https://p.scdn.co/mp3-preview/e3edf50bd19e9038bbff4357c017af9a40fed445?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:12178968385","2020-03-13T17:07:30Z"
"spotify:track:68PD93zd4LzpxMWDxs5ugh","Eat Sleep Rave Repeat","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:1TRFAJu3Cw64APToZaGk9D","Fatboy Slim, Riva Starr","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","1","346533","https://p.scdn.co/mp3-preview/2e9c5bfcd193bfa6fd7b6510792178a67f4c9f6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:7eL3iZG1VteN4ghOcpIZTr","Alright","spotify:artist:42tlZWSz1V6Rsqds29GcRo, spotify:artist:2dQgOfBP52UwjegY8FwJAY","Tommie Sunshine, The Partysquad","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","2","247706","https://p.scdn.co/mp3-preview/f28bc83e9438be2c4bcf44cbd1594545fe8cda3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:5za7Xkk1cBAwHlCIX2S4X2","Rhino","spotify:artist:52v3o293WmEA5vrvdk3aqN","Sound Of Stereo","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","3","210413","https://p.scdn.co/mp3-preview/6089d8b4a28ce4a628382f6ed1413513afef28dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:4I4YlUbxwHNCltjnEASfrB","Guataqui - Pedro Carrilho Remix","spotify:artist:469i06JRRM2Wc6Y8rEIrlQ, spotify:artist:3Jy0sssrpZX9MQYDfxyE3J, spotify:artist:2vGRgVlsY6BB9PyESPm6IH, spotify:artist:0nGAfMW3NzKeoFbNbq2N2s","Funky Ro, David Milano, Martina Camargo, Pedro Carrilho","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","4","239680","https://p.scdn.co/mp3-preview/dcec7110685199e166c288ae4ab2c96b646a7ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:2GqvrZ9s76qmrX2CpcCpbc","Troubleman","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ, spotify:artist:4B89AwyA8INUrw8MSZikB2","Roger Sanchez, GTO","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","5","390480","https://p.scdn.co/mp3-preview/ea4d4526c52e4386c3c41149c239e59ad0fc315a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:7cx38PQeYms6sGb0IcA9ZL","Ragga MC 2012 - Superfunk Reboot Remix","spotify:artist:1CbopBMbfM0ned5OAsTkv4","Superfunk","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","6","225173","https://p.scdn.co/mp3-preview/6c2d788e1a3c276dda902258852fdcb7d90bb9d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:6ytw2HAOeiW2FlkgPPRGXy","This","spotify:artist:0sPG1Yn8sWnhwDHsUbrU0F","Federico Scavo","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","7","60466","https://p.scdn.co/mp3-preview/ebcfa32281571207314a367d839d2dcc300b78d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:12178968385","2020-03-13T17:07:43Z"
"spotify:track:2SCWQYIvkUqVH14K2B4OUU","Sinner Winner - Acappella Version","spotify:artist:4rC8J4M4aOqsQSCP4yoyJI","Felix Da Housecat","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","8","224160","https://p.scdn.co/mp3-preview/549b9e4779517a058488a7922c4bc8f4d68eecf9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:12178968385","2020-03-13T17:07:43Z"
