"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:04vGT4j9W8RWBRmIgHJsIL","Sparky (Original)","spotify:artist:2OdUBrq8S4T9JBgdllvvuD","Luanmer","spotify:album:548ClvNMwySekhhDeV8nn5","Sunrise","spotify:artist:2OdUBrq8S4T9JBgdllvvuD","Luanmer","2021-09-03","https://i.scdn.co/image/ab67616d0000b2733cdb63f45bb7abec86caa773","1","5","148369","https://p.scdn.co/mp3-preview/94f74b4fa70d66bcfa68f0a267992a03dd480c54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:05Jt5VDLzONX0wNK7v6B1U","Dizzy Dream","spotify:artist:0CxvNc5GFnCv9UXiu5mreJ","Rhodes Rodosu","spotify:album:4g3u7WfYQsbQ5UTCwCgudZ","Dizzy Dream","spotify:artist:0CxvNc5GFnCv9UXiu5mreJ","Rhodes Rodosu","2021-10-15","https://i.scdn.co/image/ab67616d0000b2733685cade586af85b2fa3c7f3","1","1","170847","https://p.scdn.co/mp3-preview/b142cbefedbdbb66b9cf804f0ea51832c1f6aa07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:0E2A3EhNsvWYWVqSaqisep","Positive","spotify:artist:16OzAoywRbXAPzxftV0XLk","Shiruetto","spotify:album:7gKWbapL9jZogKY9aRcVTU","Positive","spotify:artist:16OzAoywRbXAPzxftV0XLk","Shiruetto","2021-10-18","https://i.scdn.co/image/ab67616d0000b273868ce800cbc354d5caf9cd8e","1","1","217500","https://p.scdn.co/mp3-preview/0ae6d05c8d83f7d367ebba366db32698d43ac03d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:0lw3knZRdxe0G1cNwygFpE","Work","spotify:artist:5PyZeODg7q5TGXZfuQEcOj","BarbWalters","spotify:album:1GVK99mJzcFawdSI2GgR2l","Work","spotify:artist:5PyZeODg7q5TGXZfuQEcOj","BarbWalters","2021-09-22","https://i.scdn.co/image/ab67616d0000b27342d2c6b692505fd25430b711","1","1","201270","https://p.scdn.co/mp3-preview/de9ab91cb3bf76acd402840bc5a3a2cd103d019a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:0d6f1v0p8EHAfBpK7hb4Sa","High Roller","spotify:artist:5nCSKWO1cpFa0U4YTS5AJQ","Remlarr","spotify:album:4b8haSNizz3sbdzDOUFD9m","High Roller","spotify:artist:5nCSKWO1cpFa0U4YTS5AJQ","Remlarr","2021-08-18","https://i.scdn.co/image/ab67616d0000b27344ed358a98e53397566dd83d","1","1","197073","https://p.scdn.co/mp3-preview/1309bae3c91964231ef3ec9e8b80ea17fc603ee6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:3XfKumvamwW49nvWeOAYex","バイ少女時代","spotify:artist:6mDNmNWQKIKUWljumIkr9J, spotify:artist:5sslm1HcMsBXOetapPkm7S","yuugen, Brayan Rojitas","spotify:album:5ztplMUYXwzrs5hUEIu7Mn","バイ少女時代","spotify:artist:6mDNmNWQKIKUWljumIkr9J, spotify:artist:5sslm1HcMsBXOetapPkm7S","yuugen, Brayan Rojitas","2021-10-15","https://i.scdn.co/image/ab67616d0000b273f1c845d6be9a47c0d277f341","1","1","259855","https://p.scdn.co/mp3-preview/956900f0c19adacb83b9f3f0e576113b66d1e136?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:3SFNgDdQVYzNH62Zbohj6F","Wonka Street","spotify:artist:4SO5n5ed18AAFhbndSQWsv","Iden Kai","spotify:album:1IYQerHJtwu11J1oHHBelY","Wonka Street","spotify:artist:4SO5n5ed18AAFhbndSQWsv","Iden Kai","2021-10-01","https://i.scdn.co/image/ab67616d0000b2731e371d0e83e7df46f7a88bcf","1","1","234151","https://p.scdn.co/mp3-preview/3f632cf2905202165841d9a7c129f14dd24f7798?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:5c4sloOCCbkM83InSSd6AA","Fuel injection","spotify:artist:38e0A9WK9vzXVSHfCmbFk6","Cape Coral","spotify:album:0gcoRttiA8lWXqI3Y8C40p","TELESEX555","spotify:artist:38e0A9WK9vzXVSHfCmbFk6","Cape Coral","2021-07-30","https://i.scdn.co/image/ab67616d0000b2739a1e372f5d4a5fb943479e0a","1","1","136173","https://p.scdn.co/mp3-preview/e8693a0dd408b9e1eb1930f585ba8828cecee68c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:0NiqOau8wSmdeuOXbsdSyv","みずいろの雨 - Night Tempo Showa Groove Mix","spotify:artist:76B4kqqCUdVdAo9AG5LNWF, spotify:artist:6ooFYQBSq3sFEipwHfw5gr","Night Tempo, Junko Yagami","spotify:album:3TsSsK2Ot8MCKB0RhjpYSN","八神純子 – Night Tempo presents ザ・昭和グルーヴ","spotify:artist:76B4kqqCUdVdAo9AG5LNWF, spotify:artist:6ooFYQBSq3sFEipwHfw5gr","Night Tempo, Junko Yagami","2021-10-22","https://i.scdn.co/image/ab67616d0000b27357fadbd2d3b896bf102ab8a0","1","2","240666","https://p.scdn.co/mp3-preview/b34afce62d44f5219360a3f8d944805af26c4e9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-10-26T00:16:19Z"
"spotify:track:0oGEkRNd79fARgvmCKjbHU","TIMERIDER 1983","spotify:artist:062uQ72ll9bM17kdNwzFaw","Adrianwave","spotify:album:7MxdhXIE5rFdlrk6JaYzVK","TIMERIDER 1983","spotify:artist:062uQ72ll9bM17kdNwzFaw","Adrianwave","2021-09-21","https://i.scdn.co/image/ab67616d0000b273c9689a16dca780c2c86ff1d9","1","3","188642","https://p.scdn.co/mp3-preview/dbdb6b1959346146d722f7d3d243442bf265252d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-10-26T00:16:19Z"
