"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4j8gmCSLLy0TSFg2brV01g","Taxi Cab","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:1Fexc96V24RL17Ko9VXUOM","Twenty One Pilots","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2009-12-29","https://i.scdn.co/image/ab67616d0000b2734f5687326079d90e731a10a6","1","12","285733","https://p.scdn.co/mp3-preview/f848cb45f36d7da1ea0a0316bb89c26235f9b8d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:brenmiester","2019-05-06T15:38:19Z"
"spotify:track:6rNQZNLx8kgHpzrG4tG8Y7","Eat That Up, It's Good For You","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","9","223906","","false","0","spotify:user:brenmiester","2019-05-06T15:38:26Z"
"spotify:track:76qHqnhdALHDcz3LcJeo7l","Cigarettes In The Theatre","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","1","213533","","false","0","spotify:user:brenmiester","2019-05-06T15:38:33Z"
"spotify:track:0kTbREZYbWCr8yLwcLH3NT","You Are Not Stubborn","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","10","190573","","false","0","spotify:user:brenmiester","2019-05-06T15:38:47Z"
"spotify:track:2i63MeQVdPuLvDH4EdaqXO","Undercover Martyn","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","7","166573","","false","1","spotify:user:brenmiester","2019-05-06T15:38:52Z"
"spotify:track:1qfYG2JrchEyJiqKnkE7YQ","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","8","189693","","false","2","spotify:user:brenmiester","2019-05-06T15:38:58Z"
"spotify:track:0R91pCwK7raH435DEwVmUP","Talk - Single Edit","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4iD7DpdWTouqXzS31tvJcV","Satellite","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-04-24","https://i.scdn.co/image/ab67616d0000b273a4cba7e0e2786653d9d7b6cc","1","2","216503","","false","0","spotify:user:brenmiester","2019-05-06T15:39:04Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","5","188493","https://p.scdn.co/mp3-preview/46c19d324587898577a1974b8bdc2d5db88a5c65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2019-05-06T15:39:15Z"
"spotify:track:4VMlpGmGk1DqNeu9afJnuX","Sun","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1f6sJr8plfTWgdj2DVa67R","Beacon (Deluxe Version)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-09-03","https://i.scdn.co/image/ab67616d0000b27393bf05d2aaea2806a2b69f99","1","4","187720","","false","0","spotify:user:brenmiester","2019-05-06T15:39:28Z"
"spotify:track:2XBcbELp9GyzFfEdNFpcpk","Dirty Air","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4aJSpKresEm4EVdy8J0OmP","Dirty Air","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-05-21","https://i.scdn.co/image/ab67616d0000b273959c7871166659f8a2a15d8a","1","1","243828","","false","0","spotify:user:brenmiester","2019-05-22T01:23:30Z"
