"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3lzX0mU3pfXOQRnH0ryZJR","8 now","spotify:artist:41f6TKH0EoBnj3N4xIp26g, spotify:artist:3YOvdmjSEwOqRAJ0ttfwCx, spotify:artist:04Y5zXsFqYRzDr6tMXj6aL","food house, Gupi, Fraxiom","spotify:album:3JBuWWY8OCHXMcQz5xxxCr","food house","spotify:artist:41f6TKH0EoBnj3N4xIp26g, spotify:artist:3YOvdmjSEwOqRAJ0ttfwCx, spotify:artist:04Y5zXsFqYRzDr6tMXj6aL","food house, Gupi, Fraxiom","2020-10-29","https://i.scdn.co/image/ab67616d0000b2731812ebf4481cd0142857f85b","1","3","209295","https://p.scdn.co/mp3-preview/a0581fa625e748f856a821e83aabc260e245bfa4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:12159652660","2021-03-24T03:17:37Z"
"spotify:track:0hfjiQ13PQ4TcHOXyi1NWx","Rich Bitch Juice - Laura Les Remix","spotify:artist:5HvKzBgj4yphQfBJjBJrhL, spotify:artist:3sklFG9fuDAq3vbIZlkNH6","Alice Longyu Gao, Laura Les","spotify:album:2I6rSGR9i4vBsefiCbN559","Rich Bitch Juice (Remixes)","spotify:artist:5HvKzBgj4yphQfBJjBJrhL","Alice Longyu Gao","2020-04-16","https://i.scdn.co/image/ab67616d0000b2733f3966f0b51fa261891ddf89","1","2","140563","https://p.scdn.co/mp3-preview/abcc2c38b22595afccb1062f515a26ba931a8647?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:12159652660","2021-03-24T03:18:09Z"
"spotify:track:60HMGrpUYomIJPbdqEedKM","クルクル ミラクル","spotify:artist:27trVEYHShFRolUZEP29KC","Tomoe Shinohara","spotify:album:3RUpnZUCtr9cBQxcrkogAZ","クルクル ミラクル","spotify:artist:27trVEYHShFRolUZEP29KC","Tomoe Shinohara","1996","https://i.scdn.co/image/ab67616d0000b27383818fc4ade7ad875c6b9b88","1","1","245600","https://p.scdn.co/mp3-preview/65f888a1fa45e994380ab59e31aa827d5fb2fcbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:12159652660","2021-03-24T03:20:24Z"
"spotify:track:7pUfu9rCx1jvXjvcx6BJqq","Set you Free","spotify:artist:3JByu9VCNA1Rs6puGfRupj","Denki Groove","spotify:album:60lf7S1igkBqukiPad63Mg","Set you Free","spotify:artist:3JByu9VCNA1Rs6puGfRupj","Denki Groove","2020-08-24","https://i.scdn.co/image/ab67616d0000b27375a5ab69e0310beb1c381953","1","1","258035","https://p.scdn.co/mp3-preview/7d6d5c137420eb557af84db364a673c27b24ec6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:12159652660","2021-03-24T03:23:26Z"
"spotify:track:05zWAuGGJ41h6rrN21WjKj","Only to Trip and Fall Down Again","spotify:artist:1SETr6LqWZXbJyEDVe6xDc","Katie Dey","spotify:album:4mli4JVGFBJBLEAzCHdMzs","Flood Network","spotify:artist:1SETr6LqWZXbJyEDVe6xDc","Katie Dey","2016-08-12","https://i.scdn.co/image/ab67616d0000b27300fd621dcbb9de1447e4c54b","1","13","159030","","false","10","spotify:user:12159652660","2021-03-24T03:14:48Z"
"spotify:track:7zrGWnq1T75btvof8h4i9n","Bouncehouse","spotify:artist:6R1kfr0GIWnwxY4zW11Vag, spotify:artist:1wpftBruYql3kTa4Px6kze","Frost Children, Glitch Gum","spotify:album:3N8ZiCYQK8djGIlLZH6huY","Bouncehouse","spotify:artist:6R1kfr0GIWnwxY4zW11Vag, spotify:artist:1wpftBruYql3kTa4Px6kze","Frost Children, Glitch Gum","2021-03-03","https://i.scdn.co/image/ab67616d0000b273b5bd6da4ce084674c76cd858","1","1","193596","https://p.scdn.co/mp3-preview/ced6dcf502581c7cd8ca473ee21be91becf9a705?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","spotify:user:12159652660","2021-03-24T03:25:45Z"
"spotify:track:0Ln29RgpKG8QvpECfW5n1j","I’m Downright Amazed At What I Can Destroy With Just A Hammer","spotify:artist:4I6LjrgKVERp2HF7y5LbkF","Atom And His Package","spotify:album:6qlgab1OZOy1SKldK9yCqB","Attention! Blah Blah Blah","spotify:artist:4I6LjrgKVERp2HF7y5LbkF","Atom And His Package","2003-02-11","https://i.scdn.co/image/ab67616d0000b273c459a6a87f12e2dc4a85edb0","1","9","146800","https://p.scdn.co/mp3-preview/b17cbfedd95eee908b45a13c1b5fad4cdd66e7a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:12159652660","2021-03-24T03:20:43Z"
"spotify:track:1toNKayLMeCcVlsLGXJl7n","Haunted","spotify:artist:3sklFG9fuDAq3vbIZlkNH6","Laura Les","spotify:album:2iguPTaSTwtx4MiAkj6w5O","Haunted","spotify:artist:3sklFG9fuDAq3vbIZlkNH6","Laura Les","2021-03-12","https://i.scdn.co/image/ab67616d0000b273e189a58c143802bd6c85ed94","1","1","102007","https://p.scdn.co/mp3-preview/0e5d6197b01ef185ebf851c91613335423b42208?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:12159652660","2021-03-24T03:16:44Z"
"spotify:track:25fsQtA00fJU88nJHwDBRJ","BL!NK","spotify:artist:6R1kfr0GIWnwxY4zW11Vag","Frost Children","spotify:album:0ssY9iMZseJwiwdstKrpgH","BL!NK","spotify:artist:6R1kfr0GIWnwxY4zW11Vag","Frost Children","2020-11-19","https://i.scdn.co/image/ab67616d0000b273ea3cf5f6149bd15ebcc5eba8","1","1","254482","https://p.scdn.co/mp3-preview/8589b8426691924d1bc8df53ce9dcfccef433896?cid=9950ac751e34487dbbe027c4fd7f8e99","true","15","spotify:user:12159652660","2021-03-24T03:26:38Z"
"spotify:track:6UYJYgY8VRo6mKrhgTe1CF","Cigarette Ahegao","spotify:artist:3u6lPufHw4Oww6D88rv6sB","Penelope Scott","spotify:album:0G2RxSCixG5Nl6jpjwiw2g","Public Void","spotify:artist:3u6lPufHw4Oww6D88rv6sB","Penelope Scott","2020-09-25","https://i.scdn.co/image/ab67616d0000b273512ced983959d4b2e259e907","1","1","183992","https://p.scdn.co/mp3-preview/a64a123c3ce4ed4d61a79dd06e4d898edd18f10b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:12159652660","2021-03-24T03:23:38Z"
