"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6AWg1sqxbomlCKkmLmqIEs","High Five!","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:6HopsfGDyRyhwHRZCELb06","Throwdown","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2014-07-15","https://i.scdn.co/image/ab67616d0000b273521b63e4c4c9195951375426","1","1","243874","https://p.scdn.co/mp3-preview/a4f7bb8cf58cc9bde77032fbc2d7368684181308?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2017-10-23T02:55:24Z"
"spotify:track:28dEwbbopbWXaXb6cKJuEr","Throwdown","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:6HopsfGDyRyhwHRZCELb06","Throwdown","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2014-07-15","https://i.scdn.co/image/ab67616d0000b273521b63e4c4c9195951375426","1","2","212129","https://p.scdn.co/mp3-preview/9b11a9a9c78fbff025d8c8c97fe0860563e372cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2017-10-23T02:55:41Z"
"spotify:track:5hPWHC0L6z0KLET5rRkpTR","Better Now - Original Mix","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:2I28cKtdfuU2OJ9smCfKvS","Turn It Up","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2014-03-24","https://i.scdn.co/image/ab67616d0000b27394f95ef696e97e729a442ff4","1","4","311379","https://p.scdn.co/mp3-preview/892472f06c23409336cb7b145781b9639028277a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2017-10-23T02:55:59Z"
"spotify:track:1szoFOSXpcTLXW0kiD1cbM","Disconnected","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:1PkGh20XlUS2xwx2kntskO","Monstercat Best of Electro, Vol. 1.","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-05-28","https://i.scdn.co/image/ab67616d0000b27382ec3b432bdc0ed45f8f0632","1","1","241875","","false","0","spotify:user:brenmiester","2017-11-14T08:40:32Z"
"spotify:track:5sXDrbX0T45lv8elWcVUnc","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377, spotify:artist:1U6FdBYgMkeRjQFuTF5JYr","Stonebank, EMEL","spotify:album:5OaNOSEdEXKJls5c0A5eSx","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2015-01-05","https://i.scdn.co/image/ab67616d0000b273f7717b6fe73c78a1068588e6","1","1","320393","","false","0","spotify:user:brenmiester","2017-11-14T08:40:34Z"
"spotify:track:7iJWKkS1uQBxWnnXVdinBQ","Professional Griefers","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:4YZ5ECfbM2xSTSQTJGBbO5","deadmau5, Gerard Way","spotify:album:5PqkiuL5t7vPZKREB00zPO","> album title goes here <","spotify:artist:2CIMQHirSU0MQqyYHq0eOx","deadmau5","2012-01-01","https://i.scdn.co/image/ab67616d0000b273e87fc9dee06ae964efd36bea","1","5","246295","https://p.scdn.co/mp3-preview/4daca92fffe7e96d3010822c9dddcc9432e876e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2017-11-14T08:40:53Z"
"spotify:track:1ds1hCXOQTxz1JDWx9Hp6d","Drink Up","spotify:artist:6EmSzH0r12lNsYQCFzCFS3","Tut Tut Child","spotify:album:1niQY2byzOWFaaANDVeCJo","Drink Up","spotify:artist:6EmSzH0r12lNsYQCFzCFS3","Tut Tut Child","2014-05-02","https://i.scdn.co/image/ab67616d0000b2733b9789bb1ae27bd911d1c413","1","1","230727","","false","0","spotify:user:brenmiester","2017-11-14T08:41:00Z"
"spotify:track:4o0HaXJxR8S69EazEY0J2R","Chipland","spotify:artist:7mUsBZ6g6BbAu2MBU8Nsu3","nanobii","spotify:album:7CeVMtAQWX404olsAfG1AF","Chipland","spotify:artist:7mUsBZ6g6BbAu2MBU8Nsu3","nanobii","2017-01-02","https://i.scdn.co/image/ab67616d0000b2731cb314061f86190e350aa03b","1","1","190344","","false","0","spotify:user:brenmiester","2017-11-14T08:41:16Z"
"spotify:track:4Pok4O4ouPu95ISQU2PL6y","Coward","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","spotify:album:5XssEM6AtkQ92A2Xw5EYgk","Life In Cyan","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","2017-05-30","https://i.scdn.co/image/ab67616d0000b27306942bba6872ce52b3d70e85","1","1","230733","https://p.scdn.co/mp3-preview/3e60bb5b8f1ecddb8e9e3c7aed7fba52f0826da0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:brenmiester","2017-11-14T08:41:46Z"
"spotify:track:7Apa9GClB9j7BpM21p5MpU","First Lie","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","spotify:album:4Cpi9kAgLRLuSbz4axuOKJ","Luminary","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","2014-03-13","https://i.scdn.co/image/ab67616d0000b273d348ad48d7cd819689b6a1ab","1","4","226939","","true","0","spotify:user:brenmiester","2017-11-14T08:42:14Z"
