"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0bXhjlgUddDlJzHOeVM4Tq","Never Miss A Beat","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:1cMowxUDW6TPg6NXnOdM3n","Off With Their Heads","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2008-01-01","https://i.scdn.co/image/ab67616d0000b27301462e466fdf659666e1e333","1","2","186946","https://p.scdn.co/mp3-preview/520a39bb062a757febd40e3bbeb1256d8f537d8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2018-01-19T09:46:45Z"
"spotify:track:30ETWOox7yYSY9Z5oo7kSH","Highroyds","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:3boV9pU91gp28FDTt6pw9C","Yours Truly, Angry Mob (Deluxe)","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738db5c7e44e14720d440eb4c4","1","4","198786","","false","0","spotify:user:brenmiester","2018-01-19T09:46:53Z"
"spotify:track:7Apa9GClB9j7BpM21p5MpU","First Lie","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","spotify:album:4Cpi9kAgLRLuSbz4axuOKJ","Luminary","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","2014-03-13","https://i.scdn.co/image/ab67616d0000b273d348ad48d7cd819689b6a1ab","1","4","226939","","true","0","spotify:user:brenmiester","2018-01-19T09:47:51Z"
"spotify:track:272gn0hwxo7UCwlgvNa4as","Hell of a Ride - Studio","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","spotify:album:2raUWnH2AIOq6T4aCXrHwt","what.","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","2013-12-17","https://i.scdn.co/image/ab67616d0000b2737bcd00ad448241a28d7e2393","2","5","263998","https://p.scdn.co/mp3-preview/023dc6aee85a3e56f580157eb37763bd385a842b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:brenmiester","2018-01-19T09:48:34Z"
"spotify:track:4sG3QE7shDNk1DKJwEAiz5","I'm Bo Yo","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","spotify:album:6Hu2OmDR4qMkd1rhhrgjIv","Bo Burnham","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","2009-03-09","https://i.scdn.co/image/ab67616d0000b2731d89ba706a764a434f497291","1","1","235226","https://p.scdn.co/mp3-preview/70941b4c2b77db7962bed269878fbe9ea06dc77a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:brenmiester","2018-01-19T09:48:42Z"
"spotify:track:1rTczBsvQpY7JUBB0f4vez","Afterskool Special","spotify:artist:4uMTKafJpG2xhv3KMdc4Vr, spotify:artist:0wnHvAdGpvNqdhFZcJVpO8, spotify:artist:6eKPGZXPzhW8SOu8RoAQKl","Afterskool Special feat. Jimmy Urine, Fake Shark Real Zombie, Jimmy Urine","spotify:album:3SCo0AIGxe66kbsbSLJ1cM","LIAR","spotify:artist:0wnHvAdGpvNqdhFZcJVpO8","Fake Shark Real Zombie","2013-02-14","https://i.scdn.co/image/ab67616d0000b2732421f55dba2483374665a358","1","7","238614","https://p.scdn.co/mp3-preview/fa1f7bb39c0d2ac928e0a1316be5a763311338da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","19","spotify:user:brenmiester","2018-01-19T09:48:57Z"
"spotify:track:6MUqvjHsxLPSfqFRaww9KZ","Tom's Dog (asdfmovie5 theme)","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","spotify:album:37GEoUEng5BougpedfKSOs","Tom's Dog (asdfmovie5 theme)","spotify:artist:0I6yADrmeyvw66g7yjkqIF","The Living Tombstone","2012-05-11","https://i.scdn.co/image/ab67616d0000b27370d3b218cd946ff12844d2a1","1","1","170187","https://p.scdn.co/mp3-preview/cbe93fae62d48a6a82cc3a56d12baaef6b88fcf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2018-01-28T14:28:30Z"
"spotify:track:1zEjzK7malUgbcIYDIdseo","Bigger Picture","spotify:artist:0QaiCsyOUjBgLqsbABu07O, spotify:artist:4pxarLS5MpRdmkMZ0R3jzW","Puppet, Foria","spotify:album:7mZ0SL3vEmpuuYVCYPPq1v","Bigger Picture","spotify:artist:0QaiCsyOUjBgLqsbABu07O, spotify:artist:4pxarLS5MpRdmkMZ0R3jzW","Puppet, Foria","2017-11-01","https://i.scdn.co/image/ab67616d0000b2737f4eaf344d2f586525e2f828","1","1","193753","","false","0","spotify:user:brenmiester","2018-02-03T06:20:25Z"
"spotify:track:0vI4E9advbgPGvRt7RImvK","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","spotify:album:6UARS7hsHtwdXPeNg9KGYe","Saints of the Sinners","spotify:artist:6VsU92soWFLtVsSP65rkrN","The Faim","2018-02-05","https://i.scdn.co/image/ab67616d0000b273a2d5d27511ec81b63e36fbef","1","1","182989","https://p.scdn.co/mp3-preview/21642c7131ceb3d9d5904f0210f3229952a8b9a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2018-02-05T23:57:16Z"
"spotify:track:6YWhkWYLqBht6MtgcMeB8O","Chuffed (Dad Song)","spotify:artist:590eeDBmZjoahBTswUJ3AM","Aunty Donna","spotify:album:7BaCjelwgx3bvusZnYM9Rk","Chuffed (Dad Song)","spotify:artist:590eeDBmZjoahBTswUJ3AM","Aunty Donna","2018-02-09","https://i.scdn.co/image/ab67616d0000b273f466932e0ba02f639122bb35","1","1","163200","https://p.scdn.co/mp3-preview/4c7e94483d40ac7af0b3ac7a605a87253426334f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:brenmiester","2018-02-08T23:21:37Z"
"spotify:track:0NGz93DRCywH2qs7eLzYJ2","Eff - Studio","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","spotify:album:2raUWnH2AIOq6T4aCXrHwt","what.","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","2013-12-17","https://i.scdn.co/image/ab67616d0000b2737bcd00ad448241a28d7e2393","2","2","170440","https://p.scdn.co/mp3-preview/7b63d91033feacd8c21adb4cb4cb88acdd8d3811?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:brenmiester","2020-12-30T21:32:21Z"
"spotify:track:2LAzhPSVUSveacRO1pnIG3","Fuccboi Anthem","spotify:artist:590eeDBmZjoahBTswUJ3AM","Aunty Donna","spotify:album:4kSrk5XSVgMJmpgpkWRkQU","Fuccboi Anthem","spotify:artist:590eeDBmZjoahBTswUJ3AM","Aunty Donna","2018-03-09","https://i.scdn.co/image/ab67616d0000b273ed8c5980c99092c1a51320fd","1","1","202300","https://p.scdn.co/mp3-preview/5a33bb7b41a8f77a1030a3fc1bc3984d3cc0c0e6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","17","spotify:user:brenmiester","2020-12-30T21:32:22Z"
"spotify:track:0QMiI7yf8rHfwdfvJIgvrE","Nerds - Studio","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","spotify:album:2raUWnH2AIOq6T4aCXrHwt","what.","spotify:artist:2Waw2sSbqvAwK8NwACNjVo","Bo Burnham","2013-12-17","https://i.scdn.co/image/ab67616d0000b2737bcd00ad448241a28d7e2393","2","3","206329","https://p.scdn.co/mp3-preview/913489f25a21b20f03cfd3eee46ce4cd659228f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:brenmiester","2020-12-30T21:32:30Z"
"spotify:track:6ijz1J35cpWQCGuFeNoEMx","F*ck Your Mom","spotify:artist:2K4POGlR6WEBPRig8Mx5Ta","Cyndago","spotify:album:1e1nYMRwMxJ3O8y57iruwY","F*ck Your Mom","spotify:artist:2K4POGlR6WEBPRig8Mx5Ta","Cyndago","2015-06-05","https://i.scdn.co/image/ab67616d0000b2734e12e48dc27f17c70c460f3d","1","1","59443","https://p.scdn.co/mp3-preview/20be60672cd0947defc59e4de30d5775cf5e9df9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:brenmiester","2020-12-30T21:32:33Z"
