"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1EmimnysAUBhiy8rDbNN01","Default","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","spotify:album:1in9OlbNsLoJ8obUGhktxa","Django Django","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","2012-01-30","https://i.scdn.co/image/ab67616d0000b273dcd678d0ffcaf5fc2cf02e2f","1","3","185640","https://p.scdn.co/mp3-preview/5f3b41f82bcc22a0b9cabd6060725676810715aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2018-11-11T01:49:52Z"
"spotify:track:2gjvVycn75APfdTD3rgRww","Barbra Streisand","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:71Orn22uMw2T1DtunlBmia","Quack","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2013-01-01","https://i.scdn.co/image/ab67616d0000b27397ac0f5fc412b3b19373fac4","1","10","264813","https://p.scdn.co/mp3-preview/583ecafd76dbf773cc33c061a615168960e74d8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:brenmiester","2018-11-11T01:50:13Z"
"spotify:track:3nIJi5VL4mQi4O1j7x8DB5","Long Gone","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:7IJo8tNm7rBc86rvyUygz4","Stars","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-11-03","https://i.scdn.co/image/ab67616d0000b273f7a2a1fdb80de6044deb2ba8","1","2","233653","https://p.scdn.co/mp3-preview/df96b192c7aaa1e336c4031befcefb3e5b368073?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2018-11-11T01:50:21Z"
"spotify:track:7Hbj2u6h9uMLdPRRuWRV8H","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","spotify:album:6BJICC5mfQzqiaco9AtYvy","I Hear You","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2017-06-21","https://i.scdn.co/image/ab67616d0000b2737979c3c98ba30749d85f1474","1","1","158894","","false","0","spotify:user:brenmiester","2018-11-11T01:50:30Z"
"spotify:track:5bWYZoMTpeO7fNekFVjyMN","Bassline 5000","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","spotify:album:14vfRdoZwzMRRkgqYfjWu3","Bassline 5000","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","2018-02-01","https://i.scdn.co/image/ab67616d0000b273551a6fba9f252df9bab0cb37","1","1","182360","","false","0","spotify:user:brenmiester","2018-11-11T01:50:44Z"
"spotify:track:0Yq6B3MV6j9nYJNaLFvZuF","Airglow","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","22","238429","","false","0","spotify:user:brenmiester","2018-11-11T01:51:20Z"
"spotify:track:6BGEhol7XQqvFjN6HtCI3R","Sweets (Soda Pop)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:4QJxJr1o1REeaNrgMMx4gl","Sweets (Soda Pop)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2015-01-16","https://i.scdn.co/image/ab67616d0000b2735f0a7adf1eb911ceb78f7349","1","1","295311","https://p.scdn.co/mp3-preview/1c307f740dd06bac041967c9d83748222997c529?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:brenmiester","2018-11-11T01:52:05Z"
"spotify:track:62fjOVkLtyVOoVCixEgQSy","Bulgogi","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:5066gZOkHOKtdOoCVrBKSC","Bulgogi","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2018-01-26","https://i.scdn.co/image/ab67616d0000b27307d5c7cfd00b452a8857b256","1","1","209026","","false","10","spotify:user:brenmiester","2018-11-11T01:52:28Z"
"spotify:track:2Tk7xzMFslWAoYS2e224Qv","Sandblast","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:3cHnaWENKeSULiRCGgDv26","Shell Shock","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-03-04","https://i.scdn.co/image/ab67616d0000b273c982e35cf6f3d87af7100fb3","1","12","327428","https://p.scdn.co/mp3-preview/d63d0a305afb46f07204f78b7a230d0ee73e1d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2018-11-11T01:53:17Z"
"spotify:track:4DjOvyL4vFzRkXFS2KtJiv","Fall To Light","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:0fQd0oij6eU36JnC64Rjb6","Fall To Light","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","2014-02-16","https://i.scdn.co/image/ab67616d0000b2738ac9ced96c56885fc0df51d1","1","1","181915","https://p.scdn.co/mp3-preview/56885aef32a03d74c1d58385316d3b285e223fcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2018-11-11T01:53:31Z"
