"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2c4YggJQomYXSq4qLXrn4M","Lollipop","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","2","183533","https://p.scdn.co/mp3-preview/d07148f503ae51b5cc3d5822934d8d7b901bf092?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2019-06-03T09:12:11Z"
"spotify:track:2XFK1uEeqJ7XI1fNhdPFCz","Billy Brown","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","7","194533","https://p.scdn.co/mp3-preview/3566b7a90e7199e1385994ffa2da5511cc0e6875?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2019-06-03T09:12:17Z"
"spotify:track:1vTlUeZQx3G063arrFeyrT","Big Girl (You Are Beautiful)","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","8","248000","https://p.scdn.co/mp3-preview/af767854ec2c72dc829f7b94fbb67482877a4853?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2019-06-03T09:12:17Z"
"spotify:track:2TdDRjNiF1HuRvnclprnce","Grace Kelly","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:2FgwL1GHWKTbuHzAIjEeFa","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732b16992e49be4a199e7dad2c","1","1","187733","https://p.scdn.co/mp3-preview/5093dde9f7ea5ece21b45ed28aed981b276bb26b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2019-06-03T09:12:17Z"
"spotify:track:5KCh22xZr8SjxeqdgNb8Pg","Fall in Love","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","spotify:album:7sfMSW6rDsjOt5nZmBeqEd","Ultra Groove Product","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","2019-01-15","https://i.scdn.co/image/ab67616d0000b273cd366700f831b0625431d1c9","1","5","211875","https://p.scdn.co/mp3-preview/a16d91078aea06e7e4c204fdfb6a733d8f788060?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2019-06-03T09:15:11Z"
"spotify:track:76qHqnhdALHDcz3LcJeo7l","Cigarettes In The Theatre","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","1","213533","","false","0","spotify:user:brenmiester","2019-06-03T09:15:23Z"
"spotify:track:1qfYG2JrchEyJiqKnkE7YQ","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4V1rQRHuuOWs8fXRl16OMY","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-02-07","https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72","1","8","189693","","false","2","spotify:user:brenmiester","2019-06-03T09:15:32Z"
"spotify:track:3cZt6DR3olI5DVXTCrfp3U","Indie Girl","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","5","178750","https://p.scdn.co/mp3-preview/0c7eabb69cfecd26a953d9c9f120dc4ff2f37ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brenmiester","2019-06-03T09:15:50Z"
"spotify:track:6FUeawdApiM58IEzbSVnpg","Pastel (Feat. Snail's House)","spotify:artist:7cvljqLNhWNFMb8wP2NImJ, spotify:artist:29O9ZebFa65aIEvMaW5pQY","Moe Shop, Snail's House","spotify:album:6ja0UwXpehfqJcJmIe8Bjh","Pastel","spotify:artist:7cvljqLNhWNFMb8wP2NImJ","Moe Shop","2017-07-11","https://i.scdn.co/image/ab67616d0000b273ef8d3d56945c12e893c8d0b8","1","1","246083","","false","0","spotify:user:brenmiester","2019-06-03T09:16:09Z"
"spotify:track:6nrXjqkDb52ps4vc4pfCgF","Automagic","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","spotify:album:4XKJ3OfQ0HP7DH9FP8pt1R","Monstercat - The Best of 2013","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-20","https://i.scdn.co/image/ab67616d0000b2738951eb562a138e7e86f472d3","1","20","228960","","false","0","spotify:user:brenmiester","2019-06-03T09:16:46Z"
"spotify:track:07azZjYghoJ3W9FHcWmKTT","Fiji Water","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:6W9RvVsQOeZnIIsNGd7di6","Cinematic","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2018-06-01","https://i.scdn.co/image/ab67616d0000b27391757b0fcc6e7dfaace39708","1","1","260400","https://p.scdn.co/mp3-preview/f621c288e697b2e71fdfc19e48d86477f1958275?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2019-06-03T09:17:19Z"
"spotify:track:6myDPrp86x4Lhyp5aqU0EV","Cosby Sweater","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:7Lp5k5j4kHtTT8zOpJkfUN","Walking Under Stars","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2014-08-08","https://i.scdn.co/image/ab67616d0000b273b7afd289a9997752ee1fd1f6","1","3","217720","https://p.scdn.co/mp3-preview/40db6624cdda628de27aced87380d63dd256b85d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:brenmiester","2019-06-03T09:17:27Z"
"spotify:track:3rsq3qtqNBId48c0IVraTS","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-06-03T09:17:40Z"
"spotify:track:1EmimnysAUBhiy8rDbNN01","Default","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","spotify:album:1in9OlbNsLoJ8obUGhktxa","Django Django","spotify:artist:2ARO60gI5do88ho6azmzab","Django Django","2012-01-30","https://i.scdn.co/image/ab67616d0000b273dcd678d0ffcaf5fc2cf02e2f","1","3","185640","https://p.scdn.co/mp3-preview/5f3b41f82bcc22a0b9cabd6060725676810715aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2019-06-03T09:18:13Z"
"spotify:track:4AbMoLRK31Fj1Gj8J00kDs","Soda","spotify:artist:3DajvNySJjylWpCSeXefFm, spotify:artist:1MTxLbK3FFWs8s3YyYgJb0","Pixel Terror, itsreallyelijah","spotify:album:06CzTb2I0yWqFGsvlil02y","Soda","spotify:artist:3DajvNySJjylWpCSeXefFm","Pixel Terror","2019-06-13","https://i.scdn.co/image/ab67616d0000b2734e81183d5c33a909263a1b74","1","1","209321","https://p.scdn.co/mp3-preview/9f69c16041c0b10f59f14fdee96ed9c4fcc9499f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2019-06-14T09:38:17Z"
"spotify:track:2IxoxL1FHw0RxN5r6y5mjF","Love Today","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","spotify:album:6oIaXBTIZ2Q9cJKBgrZ2Ox","Life In Cartoon Motion","spotify:artist:5MmVJVhhYKQ86izuGHzJYA","MIKA","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733408a925e0bcb7940f864a0e","1","4","235173","https://p.scdn.co/mp3-preview/a43d5e45adbd54e281eef0e7652ebf9ab012dc62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:brenmiester","2019-06-17T05:40:07Z"
