"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7IGltIyQm1JsjhHPdtSEVI","X Up (Astronaut Remix)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:1018anDqhwhKxaTd9ZeVtU, spotify:artist:16Xs6264UZpquzHZRIlNx8, spotify:artist:79Np0PnytUJmeG5VRhop9u","Excision, The Frim, Astronaut, Messinian","spotify:album:1FtRewxZBBF3kCaFGHOqz7","X Up The Remixes","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:1018anDqhwhKxaTd9ZeVtU","Excision, The Frim","2015-08-31","https://i.scdn.co/image/ab67616d0000b273ed9e4f9216d1d8eec4d17ae6","1","1","290625","","false","0","spotify:user:brenmiester","2019-03-28T05:17:41Z"
"spotify:track:1yUSziR5DTtZgcxWcJLD2w","365 - KUURO Remix","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:5mVWu2Ofpm2mlEpuMm3b4Q","Zedd, Katy Perry, KUURO","spotify:album:7gTwELYieNEJjBhmPvOm71","365 (Remixes)","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:6jJ0s89eD6GaHleKKya26X","Zedd, Katy Perry","2019-03-22","https://i.scdn.co/image/ab67616d0000b273cec18354aa55adf697e10b4d","1","4","246175","https://p.scdn.co/mp3-preview/bd6419badfdc6a0217e3c731ef6fd7ba718aae25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:brenmiester","2019-03-28T05:17:45Z"
"spotify:track:4JybagjaBy9Y3UplgebTiQ","Spooky","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","spotify:album:3bRORuP5edzbMWpO6mVfcw","Spooky","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","2017-10-30","https://i.scdn.co/image/ab67616d0000b273b21d574ae9b2bf4cd0ee5204","1","1","229687","","false","0","spotify:user:brenmiester","2019-03-28T05:18:02Z"
"spotify:track:1gka4VJFdGMQhesqRxna82","Junction Seven","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","spotify:album:7zAFs2GGFrVOj1YsBDrGLN","F Minor Factory - EP","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2016-05-06","https://i.scdn.co/image/ab67616d0000b273907d9dbffe411e37675eaada","1","2","305423","","false","0","spotify:user:brenmiester","2019-03-28T05:18:12Z"
"spotify:track:1vKWGVybCJaIDWlqZWJZAc","Gunslinga","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2kUNDOK5StemhF8zfPju2p","Pegboard Nerds, MC Mota","spotify:album:20F6qwBxDzesrQZyGKzoGG","Gunslinga","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2kUNDOK5StemhF8zfPju2p","Pegboard Nerds, MC Mota","2019-03-07","https://i.scdn.co/image/ab67616d0000b273c18b2a5becad7c2322d46c55","1","1","164137","https://p.scdn.co/mp3-preview/3b55056d6829340875232074a7b49c055157a987?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2019-03-28T05:18:20Z"
"spotify:track:3KAcuBkWEGd4hOKFRg98WC","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:0TiYZRwMK5BTpqbkixdRPe","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-02-23","https://i.scdn.co/image/ab67616d0000b273a24a90b09efcab8b8df2c178","1","1","295026","https://p.scdn.co/mp3-preview/e50213fee08ea001cf02397a1d9aaf03ce8c52a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2019-03-28T05:18:32Z"
"spotify:track:0wI9Bf12m5loNt7kj36wmR","Bass Drop","spotify:artist:3v6VDCGlWp2Kr4m4YbNKhD","Zero Hero","spotify:album:2ppp3YPGk1qAZTEUIRguUT","Monstercat Uncaged, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-05-12","https://i.scdn.co/image/ab67616d0000b27322ff26357bc95adc22ba1ac8","1","17","186000","","false","0","spotify:user:brenmiester","2019-03-28T05:18:39Z"
"spotify:track:0rVwjLAKQtGCgu09VhiJ8I","Juices - Pegboard Nerds Remix","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1, spotify:artist:4akLvvJyLbJxlbpSXHTLvT, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Virtual Riot, Dubloadz, Pegboard Nerds","spotify:album:55NRzaZAzJyS8hpBIqTkHv","Chemistry EP (The Remixes)","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","2016-08-29","https://i.scdn.co/image/ab67616d0000b273db083b47e900719b86e1cd96","1","2","225454","https://p.scdn.co/mp3-preview/85c109bdf84b2452d2e24ba5d34b5b1652343675?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:brenmiester","2019-03-28T05:18:43Z"
"spotify:track:3wLEJnLL7vi1GtHTDhAsQW","Rapture (feat. MC Mota)","spotify:artist:5mVWu2Ofpm2mlEpuMm3b4Q, spotify:artist:2kUNDOK5StemhF8zfPju2p","KUURO, MC Mota","spotify:album:7mx7V79U9QV8TSU4asobHG","Rapture (feat. MC Mota)","spotify:artist:5mVWu2Ofpm2mlEpuMm3b4Q","KUURO","2017-08-04","https://i.scdn.co/image/ab67616d0000b2734b95bc7d520f8911ab208b30","1","1","221687","","false","0","spotify:user:brenmiester","2019-03-28T05:21:23Z"
"spotify:track:3s5Ysmv9wwyiEjEEGmNvyX","Children of Hell","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","spotify:album:7zAFs2GGFrVOj1YsBDrGLN","F Minor Factory - EP","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","2016-05-06","https://i.scdn.co/image/ab67616d0000b273907d9dbffe411e37675eaada","1","4","404863","","false","0","spotify:user:brenmiester","2019-03-28T05:21:35Z"
"spotify:track:5017shgGJ5UWv82Y6wv6Di","BAMF (RIOT Remix)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0qPGd8tOMHlFZt8EA1uLFY","Pegboard Nerds, RIOT","spotify:album:6tzXTZnVStL7HD0gIQWeJF","Nerds by Nature (The Remixes)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2017-05-16","https://i.scdn.co/image/ab67616d0000b2732605eb116b9d79e0c8f8a011","1","5","262500","","false","0","spotify:user:brenmiester","2019-03-28T05:21:44Z"
"spotify:track:4jFFIaHvA0UvI8QLP0bhUK","Ibiza","spotify:artist:4k1ELeJKT1ISyDv8JivPpB, spotify:artist:0otAqZw8htTsGHfqR491Yh","The Prodigy, Sleaford Mods","spotify:album:1rLSJxMSYl0Yzb0oNvAXz8","The Day Is My Enemy","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2015-03-30","https://i.scdn.co/image/ab67616d0000b2730ef95992b1a25ea255a925d1","1","4","165613","https://p.scdn.co/mp3-preview/338bddd42135576f98b64bb059f8ba66f726af1a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:brenmiester","2019-10-03T05:49:42Z"
