"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7oM9y6V3ObY10VVauGOLOo","The Business","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:4y4K9qHavHcAZ33GM5JkIU","House Music 2021","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-01","https://i.scdn.co/image/ab67616d0000b273a147b2c67547fc30cec1ffc7","1","3","164000","https://p.scdn.co/mp3-preview/873912c4ffcee0c676f2dca997367d906ac4e7e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0YORgvqP1MotwCnDZzOwII","I Wish (feat. Mabel)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:1MIVXf74SZHmTIp4V4paH4","Joel Corry, Mabel","spotify:album:1gklzdwNQPtt0Z7SwgR1vH","I Wish (feat. Mabel)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:1MIVXf74SZHmTIp4V4paH4","Joel Corry, Mabel","2021-10-29","https://i.scdn.co/image/ab67616d0000b273d6a1f7ed77e732ca51f52464","1","1","181728","https://p.scdn.co/mp3-preview/063a7a5794cb53de48c7af5eef3d66cb505ca6e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0iVkWge9ytV4Scgy2hQ2za","Hurricane","spotify:artist:4AKwRarlmsUlLjIwt38NLw, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","Ofenbach, Ella Henderson","spotify:album:06J9dABYtcM4blnT4cIpsS","Hurricane","spotify:artist:4AKwRarlmsUlLjIwt38NLw, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","Ofenbach, Ella Henderson","2021-09-17","https://i.scdn.co/image/ab67616d0000b2731d3c099bea279cef25eed748","1","1","147139","https://p.scdn.co/mp3-preview/2c2795ffd70fae308ccf0ad491cc6208e34ff3bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:405VeJmwoIz3H98VLZlrs3","Drive (feat. Wes Nelson)","spotify:artist:6MDME20pz9RveH9rEXvrOM, spotify:artist:0u6GtibW46tFX7koQ6uNJZ, spotify:artist:4ktBrNjagCGftyuBLJkATq","Clean Bandit, Topic, Wes Nelson","spotify:album:4y4K9qHavHcAZ33GM5JkIU","House Music 2021","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-01","https://i.scdn.co/image/ab67616d0000b273a147b2c67547fc30cec1ffc7","1","4","179374","https://p.scdn.co/mp3-preview/bf5de43acd26dac04f1074a3bf5083259a6b7dfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:7GxgdE0yni4IKu8DSg5ibQ","Better Off Alone","spotify:artist:4zxtCQ4mwZH38FVCSbpqlZ","THAT KIND","spotify:album:6HCH2cdZK9JAAbgDeijTJR","Better Off Alone","spotify:artist:4zxtCQ4mwZH38FVCSbpqlZ","THAT KIND","2021-10-22","https://i.scdn.co/image/ab67616d0000b273f60f12eff75ee126ec14bfa7","1","1","153412","https://p.scdn.co/mp3-preview/56a5c9024afc3b2ecc1378b0fa1552c94140a373?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:6g6C2H0oUC68YsGxFXfStw","Carry You","spotify:artist:3CYrfsHEf7AZRlKUvzTnpA","Rules","spotify:album:1zQQuzQEIserwz0RIwTuTf","Carry You","spotify:artist:3CYrfsHEf7AZRlKUvzTnpA","Rules","2021-07-16","https://i.scdn.co/image/ab67616d0000b273e1bc8aaa9388ca518c5a8e69","1","1","176153","https://p.scdn.co/mp3-preview/12b7077cfb0d736d2bf4474b1adf2141f6316e45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0VHXO4PKFw55edkb1fsvgI","Nirvana","spotify:artist:5Wg2b4Mp42gicxEeDNawf7","A7S","spotify:album:4y4K9qHavHcAZ33GM5JkIU","House Music 2021","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-01","https://i.scdn.co/image/ab67616d0000b273a147b2c67547fc30cec1ffc7","1","5","157910","https://p.scdn.co/mp3-preview/6363be321e89cc4f11085b68e1a69cd89d4eed3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:6MQ3ksdINAphIz32yY29xk","Know Better","spotify:artist:054AWr3ShpT8e6JVHMC0Gs, spotify:artist:2EOdORJgTiT4w2eLQk1IWE","CLIK3D, EVALINA","spotify:album:6NnxziVp4gJtTed2fdvxKX","Know Better","spotify:artist:054AWr3ShpT8e6JVHMC0Gs, spotify:artist:2EOdORJgTiT4w2eLQk1IWE","CLIK3D, EVALINA","2021-08-06","https://i.scdn.co/image/ab67616d0000b2733a92166c43f04adb8844dc13","1","1","172889","https://p.scdn.co/mp3-preview/fa6393af56ed94b661348920f61a75cfe4f2426b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:18asYwWugKjjsihZ0YvRxO","The Motto","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Tiësto, Ava Max","spotify:album:278z9UXJaMNDH9Bel9uAxV","The Motto","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Tiësto, Ava Max","2021-11-04","https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e","1","1","164818","https://p.scdn.co/mp3-preview/77c4f335a4735b24684375b9dcc18533bd5a2b2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:2E5NQYOQOhzUUmQluohFqC","Over & Over","spotify:artist:1k7Cc2WGh6LAE1TUh6dsiy, spotify:artist:3zOUpziwcfY2bCh4VyJ4Am","Dark Heart, Njomza","spotify:album:336lksaD7unv1YCnO1gPDH","Over & Over","spotify:artist:1k7Cc2WGh6LAE1TUh6dsiy, spotify:artist:3zOUpziwcfY2bCh4VyJ4Am","Dark Heart, Njomza","2021-08-27","https://i.scdn.co/image/ab67616d0000b27359a2732bdf24ace42935f143","1","1","147110","","false","46","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:7LTQVZbNGsNwTdcmpYQAfS","Without You","spotify:artist:3JOvRLynmP4mA6dvlWARoA","Coldabank","spotify:album:5ceREXmffDjuEaGPq13FYf","Without You","spotify:artist:3JOvRLynmP4mA6dvlWARoA","Coldabank","2021-10-29","https://i.scdn.co/image/ab67616d0000b273452267aa02de0e9a38e85a21","1","1","167441","https://p.scdn.co/mp3-preview/91bfd1f9f0ca9db093690ea49a6dfc518b5cf79f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:2nCIE2AVFQ1adRVkocdGOp","Touch","spotify:artist:4mrBetqy378Jf1y6NLszlx","VINAI","spotify:album:5ik87NiTm8sIW95DZjJPUk","Touch","spotify:artist:4mrBetqy378Jf1y6NLszlx","VINAI","2021-06-18","https://i.scdn.co/image/ab67616d0000b273e04f43a1e820f37558db8b00","1","1","144677","https://p.scdn.co/mp3-preview/628011787e72941c46de11dc3152760bd85e41b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:7LwdLtlut9dHdDvjGkCfIR","Imagine","spotify:artist:2PPJ3ccorfps8VfCL6i8Rl","Next Habit","spotify:album:7aR0n6TmicqAFVQNIKVXoI","Imagine","spotify:artist:2PPJ3ccorfps8VfCL6i8Rl","Next Habit","2021-07-30","https://i.scdn.co/image/ab67616d0000b2733f77027d36dbb1d31e1d4cbe","1","1","197443","https://p.scdn.co/mp3-preview/983cb3753e5ae95b7d336b34a1313c92d6eb3196?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0wUTGjXAFjboqlM5G9kuTT","Need Your Love","spotify:artist:5YCU9eHY4IYTyNa8XRFuw9, spotify:artist:6QMABvTzixnxzsLYyhqRxI","Alex Hosking, Majestic","spotify:album:2TVrhSUvw0RxZ1gZ4NTWEp","Need Your Love","spotify:artist:5YCU9eHY4IYTyNa8XRFuw9, spotify:artist:6QMABvTzixnxzsLYyhqRxI","Alex Hosking, Majestic","2021-10-15","https://i.scdn.co/image/ab67616d0000b2732bddaeecc2ae52c08f0c2a80","1","1","168179","https://p.scdn.co/mp3-preview/f57afa3f2657cb77ebbc05d87b16ed92cc4e4bc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:5gvEyl4OLhD6kJ3aZ43sd3","Heaven","spotify:artist:5344K3N7rx7kw1HjO8psuq","James Carter","spotify:album:20hpXtqd02hIOkQ8Xoj4dM","Heaven","spotify:artist:5344K3N7rx7kw1HjO8psuq","James Carter","2021-10-15","https://i.scdn.co/image/ab67616d0000b2735359c671b1df53a9ce39beb4","1","1","124655","https://p.scdn.co/mp3-preview/12eba1f17406fb6be5d3d4706a1a18622674e4ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0m39QFJPnMbaouXbeqau1Y","Change My Mind","spotify:artist:4bazJLWIv8CuqmgxJRiGqo","Just Kiddin","spotify:album:26MMv3hqcdnZSxr1iZm0UM","Change My Mind","spotify:artist:4bazJLWIv8CuqmgxJRiGqo","Just Kiddin","2021-10-22","https://i.scdn.co/image/ab67616d0000b2737a8961252f2fb48748bb9220","1","1","161900","https://p.scdn.co/mp3-preview/d3a24195ffe3840b22f81567ccd57e271e997e9e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:1V7bZ9gEIwFQpm8yGxRHNA","If You Really Love Me (How Will I Know)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:3qi5fhSI6aUecvRN0XqIJ2, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","David Guetta, MistaJam, John Newman","spotify:album:2jchxs2dbRKpdHZl5O3FEY","If You Really Love Me (How Will I Know)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:3qi5fhSI6aUecvRN0XqIJ2, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","David Guetta, MistaJam, John Newman","2021-07-02","https://i.scdn.co/image/ab67616d0000b273ad94cf39e09fca60f922c27f","1","1","184390","https://p.scdn.co/mp3-preview/997c416380ea228698fd4af797a9087501690d54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0bI7K9Becu2dtXK1Q3cZNB","Don't Be Shy","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:790FomKkXshlbRYZFtlgla","Tiësto, KAROL G","spotify:album:2TvfE8CY37OQIPVGcWYpEA","Don't Be Shy","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:790FomKkXshlbRYZFtlgla","Tiësto, KAROL G","2021-08-12","https://i.scdn.co/image/ab67616d0000b273c9bdd95ff143d01664054fc9","1","1","140500","https://p.scdn.co/mp3-preview/54889f56ba255f24b2d7ecbca72fee9bff699332?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:4gY5WcqCSDwXgjBGpeiSNX","Sweet Side (feat. Caitlyn Scarlett)","spotify:artist:6VXB0WH4MfmhZyongoEYZr, spotify:artist:1Bztk1lPSvwiBJCujObyxU","Crazy Cousinz, Caitlyn Scarlett","spotify:album:4y4K9qHavHcAZ33GM5JkIU","House Music 2021","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-01","https://i.scdn.co/image/ab67616d0000b273a147b2c67547fc30cec1ffc7","1","16","183866","https://p.scdn.co/mp3-preview/c53d5ce274328fb2ddbbb2ba9f21d7ec0f16447d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:04YwDvXbDA1LUZ7ypvvQ7N","Won't Be Walking Away","spotify:artist:4fxRhGF08oSVvvjHoK6QNO, spotify:artist:2alKnU6Zf9XMBnqbMRSY10, spotify:artist:6XTVE58RFOIxPuDGSkXa4z","Dallerium, Lanns, Replay M","spotify:album:0yvNlNqDhCTrYXZlFPPNxm","Won't Be Walking Away","spotify:artist:4fxRhGF08oSVvvjHoK6QNO, spotify:artist:2alKnU6Zf9XMBnqbMRSY10, spotify:artist:6XTVE58RFOIxPuDGSkXa4z","Dallerium, Lanns, Replay M","2021-11-05","https://i.scdn.co/image/ab67616d0000b273440bf83f79c6da85fa7c4041","1","1","176122","https://p.scdn.co/mp3-preview/47301664845a8f5dd4cd1a60111c69ae72e196a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:7lO4AytU02GtoKMFWeMvyR","Angel (feat. Clementine Douglas)","spotify:artist:39B7ChWwrWDs7zXlsu3MoP, spotify:artist:4DWuml4Jf6K81b5rAPwMb6","Sonny Fodera, Clementine Douglas","spotify:album:6ZdTjmwJ2yZt1UqpEh3cJY","Wide Awake","spotify:artist:39B7ChWwrWDs7zXlsu3MoP","Sonny Fodera","2021-10-22","https://i.scdn.co/image/ab67616d0000b27337f8acbf120446aa3d77f539","1","2","189699","https://p.scdn.co/mp3-preview/4928aac2b36e58851653e712e56f98ed92fd38a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:69eJLsZ2wT6lpc2JYcEsu8","Big Love","spotify:artist:5v8ZROs9c26k4yGMxUkebt","Jack Wins","spotify:album:3Lzy6Qw0ySLtcLtWEje4Zg","Big Love","spotify:artist:5v8ZROs9c26k4yGMxUkebt","Jack Wins","2021-10-29","https://i.scdn.co/image/ab67616d0000b2732886471872132b886f53ae23","1","1","166829","https://p.scdn.co/mp3-preview/9ea686600192d9620444165df6cd5a71de3a0f33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:52PnrLz8qo5qUKBpL3yOr6","Joy","spotify:artist:3wXTyFCe3qEJKz0p8CuaFN","Lajente","spotify:album:2VdUlq7QilcP5VNIZMdMnz","Joy","spotify:artist:3wXTyFCe3qEJKz0p8CuaFN","Lajente","2021-10-22","https://i.scdn.co/image/ab67616d0000b27382c9b0e3f725f74a6a1c169b","1","1","154894","https://p.scdn.co/mp3-preview/9b214d2d7573c87c0799e717892a3a5fb6ec82eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:0ch3dHZLfhjbGJ2d8KbVA3","Oh My","spotify:artist:2C45tSmv4vJEa6zD0aSwtO","Parx","spotify:album:0G9RgLE92XGRzMtIJTySlh","Oh My","spotify:artist:2C45tSmv4vJEa6zD0aSwtO","Parx","2021-05-21","https://i.scdn.co/image/ab67616d0000b27361730efa9ff23ed7fc372097","1","1","180495","https://p.scdn.co/mp3-preview/9614351e060f046c25638edb2ed446db7f86448d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:3GAMic9HUtZVw2TyVdURZl","One Last Time - KC Lights Remix","spotify:artist:4zxtCQ4mwZH38FVCSbpqlZ, spotify:artist:0bUZrFj7rstq07E4iAJHgZ","THAT KIND, KC Lights","spotify:album:4y4K9qHavHcAZ33GM5JkIU","House Music 2021","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-10-01","https://i.scdn.co/image/ab67616d0000b273a147b2c67547fc30cec1ffc7","1","21","183024","https://p.scdn.co/mp3-preview/2c3fbce952317c11b8d7d1e7f7721aa03a40efdf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:1hRiyol4e8B9SqJJ5iwRP8","Undercover - Tobtok Edit","spotify:artist:3gOl0pzEP8SvToQrrrbw7P, spotify:artist:2NEjDaN0A6uhktqljVsd6X, spotify:artist:6pcxIOhQCNb7DX2iuEXgxL","Alfie Cridland, Jordan Davies, Tobtok","spotify:album:1rBhqZ3Ris2CQxEXzRshrG","Undercover (Tobtok Edit)","spotify:artist:3gOl0pzEP8SvToQrrrbw7P, spotify:artist:2NEjDaN0A6uhktqljVsd6X","Alfie Cridland, Jordan Davies","2021-07-02","https://i.scdn.co/image/ab67616d0000b27374979195a58aec22f084eadf","1","1","162928","https://p.scdn.co/mp3-preview/9e0050f5fe0c7a2ef488774a8be62835a2742406?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:7dDLAQ1y0qOq3E4DhNh8FS","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","spotify:album:1N66eMzBBNRHa3HFE6GCsW","Talamanca","spotify:artist:5eKqhPrKad0J9xGAtq3rW7","BURNS","2021-06-25","https://i.scdn.co/image/ab67616d0000b273c51ca039b07ab8e98bd776ae","1","1","186727","https://p.scdn.co/mp3-preview/26bb4dd383bc1b21627050443b89fd750d93ccd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:3YBilqc4QBO3w3FMQRxM4G","Be Free","spotify:artist:6CF3f7dEQV2oNUEUzGQwO4","Rathbone Place","spotify:album:7MeJTbIP5TayBYdMltHFXZ","Be Free","spotify:artist:6CF3f7dEQV2oNUEUzGQwO4","Rathbone Place","2021-07-23","https://i.scdn.co/image/ab67616d0000b2732aadedb344a99bc7b00847b5","1","1","167857","https://p.scdn.co/mp3-preview/c3169a306bbcd34e8960f571d3dd88486657bb6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:2Jt8OOQV33kCWJs7ojOCUJ","Good Ones - Joel Corry Remix","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6DgP9otnZw5z6daOntINxp","Charli XCX, Joel Corry","spotify:album:6gSdPxoDUwQ7ClDwEsq7gv","Good Ones (Joel Corry Remix)","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6DgP9otnZw5z6daOntINxp","Charli XCX, Joel Corry","2021-10-04","https://i.scdn.co/image/ab67616d0000b2735decbbf3e7e78e72657d5236","1","1","165141","https://p.scdn.co/mp3-preview/6c8644b7d084fb92ca3ddbcc285596f854f48d3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:topsify","2021-11-05T10:49:27Z"
"spotify:track:1wHDTJulNyumFWqSBVFXvl","Paralyzed","spotify:artist:5ynMbTlnZvBUxrxUrd6gs0, spotify:artist:4C9H5Lat1NEZasl8MQHvtB, spotify:artist:4pOglqMAavrWFo20ORRx5w","yuma., Jewels, MAGNUS","spotify:album:2g1R9kNBhCFih34KqUN3J4","Paralyzed","spotify:artist:5ynMbTlnZvBUxrxUrd6gs0, spotify:artist:4C9H5Lat1NEZasl8MQHvtB, spotify:artist:4pOglqMAavrWFo20ORRx5w","yuma., Jewels, MAGNUS","2021-09-03","https://i.scdn.co/image/ab67616d0000b273adcee1a59362f58bc31dc3f0","1","1","158759","https://p.scdn.co/mp3-preview/8669acfd5392d5cbb2c514caa1cc20aeed05de31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:topsify","2021-11-05T10:49:27Z"
