"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ijyoI3mHIwccQWNG2zubP","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:7GUbfiSrdAw0FlsQiUlMF8","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734b8dc249baa22aabc5753ec5","1","1","166831","","false","0","spotify:user:brenmiester","2020-04-12T03:40:45Z"
"spotify:track:73mWQuPeuAg8NJthWGPwHR","Just Be Good To Me - Radio Edit","spotify:artist:1DIvkVGJmk8Luy53ChhCjj","Earth n Days","spotify:album:0YBXv3JZRHJNI9yyepn8NN","Just Be Good To Me","spotify:artist:1DIvkVGJmk8Luy53ChhCjj","Earth n Days","2020-02-21","https://i.scdn.co/image/ab67616d0000b2735dfe57be833e0ee1a429b3d2","1","1","217500","https://p.scdn.co/mp3-preview/b2613303bfe3ee6705bb9eeaba65e7fbff18fbd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2020-04-12T03:41:24Z"
"spotify:track:0leNTHlCitjVoDnx5ZG2S7","La Funky","spotify:artist:0BEYTctVmnYa5yStp4Jpab, spotify:artist:3InmcxeVqp927p7YwKYEP9","Destructo, Oliver","spotify:album:5wfNfW1hJgpiGHAeKaK2Tv","Technology","spotify:artist:0BEYTctVmnYa5yStp4Jpab","Destructo","2012-04-23","https://i.scdn.co/image/ab67616d0000b27395eda0dec60be1cbf1fd8e80","1","2","279951","https://p.scdn.co/mp3-preview/80d4941236ad2eb51f046ca71e5d448caa465404?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2020-04-12T03:42:21Z"
"spotify:track:1KhvPAQTrLRXK5oFLvNd8W","Gamma Jack","spotify:artist:56coS2IZSVdhIlHyzR75mK","Botnek","spotify:album:7zz9OA9Iv5GxSIpMXGfReT","Gamma Jack","spotify:artist:56coS2IZSVdhIlHyzR75mK","Botnek","2020-03-13","https://i.scdn.co/image/ab67616d0000b273802d6d98b9655a02f37b1516","1","1","348387","https://p.scdn.co/mp3-preview/f2da2ba843bb7675124212c5e4b824831f81af94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:brenmiester","2020-04-12T03:43:14Z"
"spotify:track:2M72ge9OrR7muKhcBi509v","Rave Grave","spotify:artist:1lAwVq9MxNJkB0dEY6xNoV, spotify:artist:6fjbZ7zQBYEy3kvB5JL5PM","Walker & Royce, VNSSA","spotify:album:5h4wJIZVn43IZVTJxMsete","Rave Grave","spotify:artist:1lAwVq9MxNJkB0dEY6xNoV, spotify:artist:6fjbZ7zQBYEy3kvB5JL5PM","Walker & Royce, VNSSA","2019-09-04","https://i.scdn.co/image/ab67616d0000b2734ec2a23e747b732f83901c5c","1","1","189614","https://p.scdn.co/mp3-preview/a2a13a3daf0f2204f8d51eb95d92d9b9f8b0fefb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2020-04-12T03:43:20Z"
"spotify:track:3MRud6lUcw5ZjjEDVkLCiv","Back On The Wreck","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","spotify:album:5wrAqgGL3e2VpHkLQzzfea","Back On The Wreck","spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW","Example","2020-01-17","https://i.scdn.co/image/ab67616d0000b2739efa6e667b0bbe4589e30a72","1","1","202031","https://p.scdn.co/mp3-preview/afe644ae3b97482ad7c4f75306dd800697d9a584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:brenmiester","2020-04-12T03:43:37Z"
"spotify:track:55KzatkcVdYTyaqyuobtUO","House Is A Feeling - Robbie Rivera Remix","spotify:artist:0Gnj51VvVg7QDHqM83nNXz, spotify:artist:4bYwbb6k4ujHD2NXRxSwRP","Tommy Capretto, Robbie Rivera","spotify:album:7pec6alk6zpmn1doCYZ8Y2","House Is A Feeling (Robbie Rivera Remix)","spotify:artist:0Gnj51VvVg7QDHqM83nNXz, spotify:artist:4bYwbb6k4ujHD2NXRxSwRP","Tommy Capretto, Robbie Rivera","2019-09-27","https://i.scdn.co/image/ab67616d0000b273ba6e772ea19d5523efbc8242","1","1","190658","","false","0","spotify:user:brenmiester","2020-04-12T03:44:48Z"
"spotify:track:2jjXzs4XS9Kcmf9iSUbYuU","Perth","spotify:artist:6yCdWsTDt4Dmb5GMZd5QLb","Kink","spotify:album:5VSifRv9hr6vVNCNJ8j9lq","Playground","spotify:artist:6yCdWsTDt4Dmb5GMZd5QLb","Kink","2017-11-03","https://i.scdn.co/image/ab67616d0000b2739227e2a61361c8c44d2cf52a","1","6","322777","https://p.scdn.co/mp3-preview/df29f7ad28b42805507fcb1a4c5a7841dcb65454?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:brenmiester","2020-04-12T03:45:53Z"
"spotify:track:7MLbhCmGJbW529x8mgQXFO","Power of Love","spotify:artist:1wqW0IQWC7V7jktcjVHID6","Black Caviar","spotify:album:64Nd4KuLKEciNHJXnizBWw","Caviar Chronicles Vol. 1","spotify:artist:1wqW0IQWC7V7jktcjVHID6","Black Caviar","2020-01-24","https://i.scdn.co/image/ab67616d0000b273cf144f19de2fd0d0201471fb","1","3","187315","https://p.scdn.co/mp3-preview/86db536c6b516c84539335c5583a87dac89f11f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:brenmiester","2020-04-12T03:46:20Z"
"spotify:track:19rNXXVpL6HgZpMwCSKcR9","South Coast","spotify:artist:5DiMSJgUwT3jluRsGj4h4o","Trutopia","spotify:album:4n0Byj8q8S3K9UT7ebpvEO","South Coast","spotify:artist:5DiMSJgUwT3jluRsGj4h4o","Trutopia","2019-08-09","https://i.scdn.co/image/ab67616d0000b2736be691cc56400727cffd65b4","1","1","352380","","false","0","spotify:user:brenmiester","2020-04-12T03:46:51Z"
