"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5WoBAyXaOnKEfvsZocrPeT","My Humps","spotify:artist:1PzAgFVk9v8cxn9flrqrv5, spotify:artist:44T94QQEc60Jf7kqGY6Rip","Joshwa, Lee Foss","spotify:album:5oIu4GbSrhxQLUhipFQiYb","My Humps","spotify:artist:1PzAgFVk9v8cxn9flrqrv5, spotify:artist:44T94QQEc60Jf7kqGY6Rip","Joshwa, Lee Foss","2021-10-29","https://i.scdn.co/image/ab67616d0000b2737172c6e07732b9eb8ebd1713","1","1","186046","https://p.scdn.co/mp3-preview/9a51a08d0021ab3a32b4924f4e11fbbe290298b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:4ASOMWcJUrwEpjJy4GEijz","California Dreamin' (feat. High Jinx)","spotify:artist:7tm9Tuc70geXOOyKhtZHIj, spotify:artist:0XFmkmsCbCoR7wlqaZdt64","Chris Lorenzo, High Jinx","spotify:album:4QNJtrJyZlV4CMzvQqPcjW","California Dreamin' (feat. High Jinx)","spotify:artist:7tm9Tuc70geXOOyKhtZHIj","Chris Lorenzo","2021-10-08","https://i.scdn.co/image/ab67616d0000b27327b52d52b3673bd8ce243184","1","1","196899","https://p.scdn.co/mp3-preview/2d59eb1885db7310f1902da8affee6815bd0c6fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:59ujQJCSRNgLtKQ1ly3b7c","Wait A Minute","spotify:artist:052B9SONfhoScw7dgYWw5o","Biscits","spotify:album:2rieP0vqq7SkCqyOnDDb69","Wait A Minute","spotify:artist:052B9SONfhoScw7dgYWw5o","Biscits","2021-10-15","https://i.scdn.co/image/ab67616d0000b27300038a11a5c1101e2b0e835b","1","1","215000","https://p.scdn.co/mp3-preview/12869e3b780429ceb5f28e6333af4dfba9bf5c33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:5qvE6RC6vV9Y3bmVL535v6","Bring A Friend","spotify:artist:6VsCebtxRP7GhBxmOnb2oA","Hood Rich","spotify:album:1ftcMSE9C1ce2wH1O0AUFV","Bring A Friend","spotify:artist:6VsCebtxRP7GhBxmOnb2oA","Hood Rich","2021-08-20","https://i.scdn.co/image/ab67616d0000b273ab312cf9ac38839ef86b171f","1","1","193870","https://p.scdn.co/mp3-preview/1f7e5a91e169982a9cd0bf685bc164e0b46143ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:44BR4jcL2Sz0gE5htNInkf","Weapon of Choice (feat. Bootsy Collins) - KiNK Remix","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:5K0rbdBrs2tNXe5LeWMATT, spotify:artist:6yCdWsTDt4Dmb5GMZd5QLb","Fatboy Slim, Bootsy Collins, Kink","spotify:album:7inkdWfOlzP95EOS717CVW","Weapon of Choice (feat. Bootsy Collins) [KiNK Remixes]","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:6yCdWsTDt4Dmb5GMZd5QLb","Fatboy Slim, Kink","2021-07-02","https://i.scdn.co/image/ab67616d0000b273d74ac90276ddabcf2cf72990","1","1","327560","https://p.scdn.co/mp3-preview/4e7a578902a3125e5325e3e041181d504ce9eeb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:4q2azQakSVVyqljRiCZtu3","Back Tomorrow","spotify:artist:3cnAJv9gydgm52KFIsdvO8, spotify:artist:0AkL5tzM3UsDlWak9E0OwH","Ferreck Dawn, Jem Cooke","spotify:album:1UOQt2dEoHhoJTinUxvFaI","Back Tomorrow","spotify:artist:3cnAJv9gydgm52KFIsdvO8, spotify:artist:0AkL5tzM3UsDlWak9E0OwH","Ferreck Dawn, Jem Cooke","2021-10-29","https://i.scdn.co/image/ab67616d0000b273cee80d2559c47abcbeca8473","1","1","187733","https://p.scdn.co/mp3-preview/b5ed3ce97a2823a7cea7d8064e7fa4011b765cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:2nFHaucEPE1dJp6A1AaBgV","Groove Society","spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:7yx47vjNgvQXPtHis6Hi91","A-Trak, Wongo","spotify:album:2Wo73jPoFsRo6LNldU3GnP","Groove Society","spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:7yx47vjNgvQXPtHis6Hi91","A-Trak, Wongo","2021-08-27","https://i.scdn.co/image/ab67616d0000b273345002d18b89c063ba0b9b5b","1","1","183372","https://p.scdn.co/mp3-preview/cea2c1393e70bf1884106863be30a630d3ad1a85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:35FGcyIC9Pai3BxcJJYTNk","The Darkness That You Fear - The Blessed Madonna Remix","spotify:artist:1GhPHrq36VKCY3ucVaZCfo, spotify:artist:4TvhRzxIL1le2PWCeUqxQw","The Chemical Brothers, The Blessed Madonna","spotify:album:79eRDC0vTIE3cdBJ2YEUYW","The Darkness That You Fear (The Blessed Madonna Remix)","spotify:artist:1GhPHrq36VKCY3ucVaZCfo, spotify:artist:4TvhRzxIL1le2PWCeUqxQw","The Chemical Brothers, The Blessed Madonna","2021-06-25","https://i.scdn.co/image/ab67616d0000b273e7776638ec0781c58c3768e3","1","1","379984","https://p.scdn.co/mp3-preview/1efa63b8a928ab3b3e3bc71ef6c9cb1479aa2281?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:4DgTU3kxMj4VdDDTFqlIf0","Wasteland (feat. Little Boots)","spotify:artist:4q0N3EI67tVnAeeaXbNQIj, spotify:artist:0MoXIHcFwhIWnFgBfdvQ30","J. Worra, Little Boots","spotify:album:4rDSanKbdv6i3X9xgCVYbP","Wasteland (feat. Little Boots)","spotify:artist:4q0N3EI67tVnAeeaXbNQIj","J. Worra","2021-10-22","https://i.scdn.co/image/ab67616d0000b2733a38be4a434fb926c202ae56","1","1","181560","https://p.scdn.co/mp3-preview/3431426ded0ef2a1286a171b64cc1625c5306fe5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2021-10-31T17:38:11Z"
"spotify:track:4O3APpGNhOldqDsPF8IaS5","Welcome To The People","spotify:artist:6tCJN1fQNdFCEaOa8Da9Wf","Jaded","spotify:album:7HZzmPZE3gKxhzVaIJ11KF","Welcome To The People","spotify:artist:6tCJN1fQNdFCEaOa8Da9Wf","Jaded","2021-09-10","https://i.scdn.co/image/ab67616d0000b2736746d5a22e595486a4079b08","1","1","160669","https://p.scdn.co/mp3-preview/070365ba435236ea5c92a269069769ea9fa825e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-10-31T17:38:11Z"
