"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0jwmVLpRv1YPiX4QK7Mn8m","Friends Again","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:0OE65qjIKHqSyU7YWpOQrv","LVTHER, Claire Ridgely","spotify:album:5Pk3QLxMsbaj3vwxffAG3X","Monstercat Instinct Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-06-15","https://i.scdn.co/image/ab67616d0000b2730fffdb3f7e6f270697024759","1","23","196363","","false","0","spotify:user:brenmiester","2019-03-14T16:12:08Z"
"spotify:track:5CYafk31NKbCXaJcWPyo3n","Hurts Just Right","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:56dMhFeW3YwkWQug4yhsfI","Hurts Just Right/Can't Have You","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2018-11-30","https://i.scdn.co/image/ab67616d0000b273c3f6e3355b87357b3e9f176b","1","1","170480","https://p.scdn.co/mp3-preview/b4eee53659a775b63a15dc0e2735ddbdc1b3907b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","spotify:user:brenmiester","2019-03-14T16:12:20Z"
"spotify:track:07azZjYghoJ3W9FHcWmKTT","Fiji Water","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:6W9RvVsQOeZnIIsNGd7di6","Cinematic","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2018-06-01","https://i.scdn.co/image/ab67616d0000b27391757b0fcc6e7dfaace39708","1","1","260400","https://p.scdn.co/mp3-preview/f621c288e697b2e71fdfc19e48d86477f1958275?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2019-03-17T15:41:42Z"
"spotify:track:4TVOhq8xeEuNmV3VzuWR4k","White Knuckles","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","6","198520","https://p.scdn.co/mp3-preview/f3920cb5c07e4841dfcec405b15d4b410a452668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2019-03-17T15:42:07Z"
"spotify:track:3nEzCR8b6O0EfWXD8xHcU2","Needing/Getting","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","4","313760","https://p.scdn.co/mp3-preview/7e0a4d6aa85e8b0271251d019aa9e688250f4283?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2019-03-17T15:42:11Z"
"spotify:track:64YccwJHPzVcEhQJTRkofX","Juliet","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:6pw4nmjxQHpyKWUBQi4SSz","CloudNone, Matt Van","spotify:album:7zG41ZT7fCLWXVeDe9C2HC","Midnight Underground","spotify:artist:49vNfTzZU1nXv2xO34z5RY","CloudNone","2019-02-26","https://i.scdn.co/image/ab67616d0000b27316fff3ff162e5ef90e2279c3","1","5","236250","https://p.scdn.co/mp3-preview/bf226da3dd0ecb26c0be0836b61ca903c851da15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:brenmiester","2019-03-17T15:42:19Z"
"spotify:track:6myDPrp86x4Lhyp5aqU0EV","Cosby Sweater","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:7Lp5k5j4kHtTT8zOpJkfUN","Walking Under Stars","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2014-08-08","https://i.scdn.co/image/ab67616d0000b273b7afd289a9997752ee1fd1f6","1","3","217720","https://p.scdn.co/mp3-preview/40db6624cdda628de27aced87380d63dd256b85d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:brenmiester","2019-03-17T15:42:24Z"
"spotify:track:2iFeOCVwYZYPogys0dDfR6","Devotion","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:5Zt1P3ZbnfErBkiqcfBTCN","Monstercat - Best of 2016","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-12-16","https://i.scdn.co/image/ab67616d0000b273cdb51e30c4edcc08a7c605ae","1","14","316190","","false","0","spotify:user:brenmiester","2019-03-17T15:42:30Z"
"spotify:track:1kPpge9JDLpcj15qgrPbYX","Good Time","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:6sFIWsNpZYqfjUpaCgueju","Owl City, Carly Rae Jepsen","spotify:album:7gTFf2EWBONpjKVjpWbs5p","The Midsummer Station","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a","1","7","205933","https://p.scdn.co/mp3-preview/97ad280309ec5518b51fee06186984ad9a20f321?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:brenmiester","2019-03-17T15:42:39Z"
"spotify:track:5ZkAx8zjLiSs1nMmBwJoZS","When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:0aqJGQ73RTLu3yLgcdU9JC","Wreck-It Ralph","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-01-01","https://i.scdn.co/image/ab67616d0000b2736fba239d8fdb3f7125e19091","1","1","218093","https://p.scdn.co/mp3-preview/eb1489d0aed00b8aee01c9b17fa739b71ee57b1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2019-03-17T15:42:44Z"
"spotify:track:7k5EcszNwUturoU20TTy1G","Shooting Star","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","spotify:album:7gTFf2EWBONpjKVjpWbs5p","The Midsummer Station","spotify:artist:07QEuhtrNmmZ0zEcqE9SF6","Owl City","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a","1","2","247346","https://p.scdn.co/mp3-preview/3a0b360550e54ce0434cbc04ff42a4a7e16cfce8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:brenmiester","2019-03-17T15:43:15Z"
