"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0qoN5QNPMw6nbVJpG2uFT7","there is a place for you here.","spotify:artist:3xPCFC8f7U3raEXOXQ3MrE","Left at London","spotify:album:3AmtZIC01fVMxFCGIIlMzO","t.i.a.p.f.y.h.","spotify:artist:3xPCFC8f7U3raEXOXQ3MrE","Left at London","2021-06-04","https://i.scdn.co/image/ab67616d0000b2731359cc4a0aaa6aa6cc780294","1","3","233023","https://p.scdn.co/mp3-preview/5de93cdd76fcd88747a4799faa8f7b9b17f04e63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:brenmiester","2021-07-16T06:52:53Z"
"spotify:track:6nStFBb5DgiShZMXdyxgeo","Smokey Eyes","spotify:artist:6RcxmUOBnyAQr2rRsNfQI5","Lincoln","spotify:album:6vEyxIuSDfiR0qIfK7F167","A Constant State of Ohio","spotify:artist:6RcxmUOBnyAQr2rRsNfQI5","Lincoln","2017-01-27","https://i.scdn.co/image/ab67616d0000b27323634754a33768a0d270e135","1","2","195060","https://p.scdn.co/mp3-preview/4a17e71c7442312219b2dd7d702a506d978ebde2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2021-07-16T06:53:15Z"
"spotify:track:1Cqhp6H0BlD8j2770dHGEc","Time to Dance","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:01hp4DvayKlnqUQrmk0vvz","A Fever You Can't Sweat Out","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2005-09-27","https://i.scdn.co/image/ab67616d0000b273e8b923caee478adf4a5b56de","1","6","202026","https://p.scdn.co/mp3-preview/8f80e14c0a4734d860889cdc560e3502b174e24c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2021-07-16T06:53:30Z"
"spotify:track:0QkXCFK6r91YsbPQZPm1Yg","Voodoo","spotify:artist:6MM2Na1OX5kh9QjazXBeIN","Ghost Town","spotify:album:409o40LOIk26SxeuKF002Z","Party In The Graveyard","spotify:artist:6MM2Na1OX5kh9QjazXBeIN","Ghost Town","2013-06-11","https://i.scdn.co/image/ab67616d0000b2736ee1ce23b3eef4cc40dc4f60","1","8","241920","https://p.scdn.co/mp3-preview/6101a6a7ead6309908372409fcd793c3075bd729?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2021-07-16T06:54:09Z"
"spotify:track:5Bl4F3GjQC6Z5uPaMDEvjE","Doggies","spotify:artist:45bv0fqFJ2IlcMuzMRuhNy","Cheese On Bread","spotify:album:7GVVV2UO8lRD4a7QFeMdP7","The One Who Wanted More","spotify:artist:45bv0fqFJ2IlcMuzMRuhNy","Cheese On Bread","2018-04-06","https://i.scdn.co/image/ab67616d0000b273bdb28f70e937a11358a1aa01","1","3","199454","https://p.scdn.co/mp3-preview/797dc3b9caeeb23a86541ba4cf66cd75def1e247?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:brenmiester","2021-07-16T06:54:26Z"
"spotify:track:5zpUjhFZWLZ7vCVk6ZpnRs","They / Them / Theirs","spotify:artist:55Z2PiiE80rBOkkL1wyNPD","Worriers","spotify:album:4Yb6CXNP2OjaRvPHLNVZfr","Imaginary Life","spotify:artist:55Z2PiiE80rBOkkL1wyNPD","Worriers","2015-08-07","https://i.scdn.co/image/ab67616d0000b273150e0ed45b2e583663efd23e","1","9","138824","https://p.scdn.co/mp3-preview/ba4e7edcce0ace5d83671be981ed9d9cdb69b033?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:brenmiester","2021-07-16T06:54:37Z"
"spotify:track:4sC6fTBKEKUbDyHOFYhbPj","The Chance","spotify:artist:7qtF58vGfOhD4z3yzrD9PD","The Goon Sax","spotify:album:2Zb3sTuzmrupf0QodcvBT9","Mirror II","spotify:artist:7qtF58vGfOhD4z3yzrD9PD","The Goon Sax","2021-07-09","https://i.scdn.co/image/ab67616d0000b2737a1f4a2d8f5eae0de587d02f","1","5","211365","","false","3","spotify:user:brenmiester","2021-07-16T06:54:48Z"
"spotify:track:7r5BQgLkbfNVNQN2dZxwJg","Don't Wanna Be Your Lover","spotify:artist:0UzJFZTzFyN6EYjenzezfT","Carla Geneve","spotify:album:259SPfjmdOFtGyUweyxw3n","Don't Wanna Be Your Lover","spotify:artist:0UzJFZTzFyN6EYjenzezfT","Carla Geneve","2020-03-03","https://i.scdn.co/image/ab67616d0000b27320ddadfcb81c399f8053a127","1","1","221080","","false","4","spotify:user:brenmiester","2021-07-16T06:55:00Z"
"spotify:track:7IpmgwR3K4wFzWTS1ESWZj","popular","spotify:artist:2Ub06wAIR1hERODcCkKhzx, spotify:artist:3sklFG9fuDAq3vbIZlkNH6","umru, Laura Les","spotify:album:1wmIqJmiY5i7frir68g8JP","search result","spotify:artist:2Ub06wAIR1hERODcCkKhzx","umru","2018-11-23","https://i.scdn.co/image/ab67616d0000b27375524791e5fa3f05950e1c85","1","2","213770","https://p.scdn.co/mp3-preview/b9e5096eb528a97be75d59e5d1d2a6e788ff2307?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2021-07-16T06:59:41Z"
"spotify:track:3d5uW6Eh197BnvcviHARRa","Feb 20","spotify:artist:1tlhJpWJZ6XpHTxBwIvcfF, spotify:artist:6Mf6Oc161qKUDNDU0ZY16O","Tel Cairo, Hobo Johnson","spotify:album:1wZBWX2s67yv3G6zJDUu0y","A Tuesday Morning","spotify:artist:1tlhJpWJZ6XpHTxBwIvcfF","Tel Cairo","2018-02-19","https://i.scdn.co/image/ab67616d0000b273cf0682b1941cf0b2a05dc3b4","1","1","215080","https://p.scdn.co/mp3-preview/4baa7a957bd5175640385827633d76b4dcdb0ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:brenmiester","2021-07-16T06:59:57Z"
