"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1RLCci3EUAH9t1spVptRWQ","Because I Love You","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","spotify:album:61q9OBizRbAe6z8FlJctgK","Glorious Heights","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","2016-08-05","https://i.scdn.co/image/ab67616d0000b273c60c0a4d39224172a39cefb0","1","4","217618","https://p.scdn.co/mp3-preview/b753e9a9f286b85e77690d7132b4bc1d97399e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2019-01-29T11:25:16Z"
"spotify:track:7srFM2Jo0uZxmM5C2T2lgV","For Your Love","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","spotify:album:7bE53HApqULLCcB7GmQNie","For Your Love","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","2018-11-09","https://i.scdn.co/image/ab67616d0000b273e857ea7da37d3ddd1548e2cd","1","1","255392","https://p.scdn.co/mp3-preview/b7f0d1e2399d276156f8da19ad2e6d8f818ea98f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:brenmiester","2019-01-29T11:25:48Z"
"spotify:track:4vOvkPf9xwDNAwyvYjLh2M","I'm a Fantastic Wreck","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","spotify:album:6NAdgZ6cwz1i2DIU6kcHv8","Life of Montaigne","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","2014-11-21","https://i.scdn.co/image/ab67616d0000b27332bdceb2128737117dcd9c74","1","3","194920","https://p.scdn.co/mp3-preview/5dec3da82ac3db19de4809e72ed4738792b18485?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2019-01-29T11:26:00Z"
"spotify:track:3wDIWPDD1320EUg60FeUOs","We Are the Dream (TheFatRat Remix)","spotify:artist:1UtzKaSQyctQO8GN8EyzOn, spotify:artist:0oYWECmtozBZGjnklDFPTH","Sound Remedy, Carousel","spotify:album:1ZsCLGpAhx04eIAGrgWbAJ","We Are the Dream the Remixes","spotify:artist:1UtzKaSQyctQO8GN8EyzOn, spotify:artist:0oYWECmtozBZGjnklDFPTH","Sound Remedy, Carousel","2014","https://i.scdn.co/image/ab67616d0000b273f74e4c5c64f3c9389c55e85d","1","3","242526","https://p.scdn.co/mp3-preview/4ac0216dc561dba9f0d03bfca85a7a3d8670459a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:brenmiester","2019-01-29T11:26:15Z"
"spotify:track:52fnLN02thRhTnbzVZzdqq","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7mZh4xOrvqLmW30UIZm3X6","Chelsea Dagger (Radio Edit)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27324f18d675f719a4afb1afb5d","1","1","203760","https://p.scdn.co/mp3-preview/10dd6d5f50531da2063b33150bdfb630b8d9dd98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2019-01-29T11:26:15Z"
"spotify:track:3rsq3qtqNBId48c0IVraTS","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-01-29T11:26:15Z"
"spotify:track:6BBfG9FiwJhRVMCd9IYl6c","In The Middle","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","spotify:album:6xeFX3yRvaEV7ny5WKZ4cA","You - EP","spotify:artist:21TinSsF5ytwsfdyz5VSVS","dodie","2017-08-11","https://i.scdn.co/image/ab67616d0000b27309815974458b8b0535b23a7d","1","1","181632","https://p.scdn.co/mp3-preview/50c01a68c49b96ab6f748d2e0d2ed19e504b9bb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-01-29T11:26:22Z"
"spotify:track:0A6mmHc95Sklnv9RWwYYsJ","For The Girl","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","6","168346","https://p.scdn.co/mp3-preview/7f44cc16e5f60894500d3290fb8fe34aaf150518?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2019-01-29T11:26:42Z"
"spotify:track:5igni06exn4vGL8zVvT5yk","Baby Fratelli","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","11","236706","https://p.scdn.co/mp3-preview/2ed2e24cd1b968cfc6f23b5a734e867788c8e5df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2019-01-29T11:26:42Z"
"spotify:track:0jt6NEuzEY0OouXkwZHq5n","Creepin Up The Backstairs - Composite Edit (do not put on a/w)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","8","187160","https://p.scdn.co/mp3-preview/e4b991c108014b64cf1f2269e3464caf33aa1b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2019-01-29T17:05:28Z"
