"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0xGefLIJMvEW7GkFp7KHnl","Us Against the World","spotify:artist:2gZzTzeACSwFqkMroVxmnm","Darren Styles","spotify:album:5Q3Ah2ERAjFdevzm5J9UTn","Us Against the World","spotify:artist:2gZzTzeACSwFqkMroVxmnm","Darren Styles","2017-04-03","https://i.scdn.co/image/ab67616d0000b2730eb271949dc68b908c10b5b4","1","1","271058","","false","0","spotify:user:brenmiester","2017-04-05T11:13:46Z"
"spotify:track:4XmrZ5WTXAatzkgad3Cxda","Watch Out (feat. Ragga Twins)","spotify:artist:4zymhxzJ0UJc74tMHGyoWs, spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:41vebFiEyxaRwT7rNmRLpq","Dirtyphonics, Bassnectar, Ragga Twins","spotify:album:1nqSgvWWRSDn5eRpY8gK0c","Watch Out (feat. Ragga Twins)","spotify:artist:4zymhxzJ0UJc74tMHGyoWs, spotify:artist:1JPy5PsJtkhftfdr6saN2i","Dirtyphonics, Bassnectar","2017-03-31","https://i.scdn.co/image/ab67616d0000b27342124591f8e18c1b463775b2","1","1","202666","","false","0","spotify:user:brenmiester","2017-04-05T11:15:02Z"
"spotify:track:14X6yIYPMrzN8Ty2xtrImo","Move That Body","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","spotify:album:6Aadr9QwkvZdVCZPpUi1PY","Move That Body","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","2017-04-12","https://i.scdn.co/image/ab67616d0000b2733e6178c90c897aeec702a21e","1","1","217142","","false","0","spotify:user:brenmiester","2017-04-14T23:16:27Z"
"spotify:track:0zl9JGNm3Ob7XyMO0jqRwz","Paris - Pegboard Nerds Remix","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","The Chainsmokers, Pegboard Nerds","spotify:album:0UQImHE9yd0s8ieOeIMwKo","Paris (Remixes)","spotify:artist:69GGBxA162lTqCwzJG5jLp","The Chainsmokers","2017-02-17","https://i.scdn.co/image/ab67616d0000b2732c4356afc1bce2066479e6d0","1","3","174240","https://p.scdn.co/mp3-preview/8cddf90b4488c24fd5b38a056750728eedac0f96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:brenmiester","2017-04-14T23:17:04Z"
"spotify:track:1BNMRHPhZ6LvYpIGWiLBO1","Voodoo","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:17esEoE9uEHFKuzkar2UL0","Pegboard Nerds, Tony Junior","spotify:album:0ytaGqLwzj1YhmZVBpbjd4","Voodoo","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:17esEoE9uEHFKuzkar2UL0","Pegboard Nerds, Tony Junior","2017-02-03","https://i.scdn.co/image/ab67616d0000b2731456d138dd090f3104b9d8ba","1","1","220257","","false","0","spotify:user:brenmiester","2017-04-14T23:17:10Z"
"spotify:track:5PwCuqzezD4a7mfxMNwk86","Everything Black (feat. Mike Taylor)","spotify:artist:4zjO8Jhi2pciJJzd8Q6rga, spotify:artist:30ejUciK31BCg0IVCbt1dW","Unlike Pluto, Mike Taylor","spotify:album:0YYAnM7UIMb4Lai0f5RKNF","Everything Black (feat. Mike Taylor)","spotify:artist:4zjO8Jhi2pciJJzd8Q6rga","Unlike Pluto","2017-03-10","https://i.scdn.co/image/ab67616d0000b273277439329d7411b24bcf4b3b","1","1","228979","","false","0","spotify:user:brenmiester","2017-04-14T23:57:20Z"
"spotify:track:0DevSxTji5BeZJ1dvC36Ba","Bring It Back","spotify:artist:6SJnjpekgnONgNtxKeMP8m","Dodge & Fuski","spotify:album:5JYS9VUacnmIwn1udBo2Bf","Disciple Alliance, Vol. 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-09-12","https://i.scdn.co/image/ab67616d0000b273c1e11a3f864d4aa838412ec4","1","3","188800","","false","0","spotify:user:brenmiester","2017-04-15T11:27:02Z"
"spotify:track:22u5G8OqJ79IDaAJ269hZr","My Name Is","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:0WgCzYM55nO45wJWLImb1R","Curtain Call: The Hits","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2005-12-06","https://i.scdn.co/image/ab67616d0000b2732d9be0dc0d3c487616f9b9e3","1","4","268853","","true","0","spotify:user:brenmiester","2017-04-18T07:37:59Z"
"spotify:track:3yfqSUWxFvZELEM4PmlwIR","The Real Slim Shady","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","8","284200","https://p.scdn.co/mp3-preview/3a9d7d29ed87152524ac6023177985b5f9023c63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","spotify:user:brenmiester","2017-04-18T07:38:08Z"
"spotify:track:20HfK2xZGIFgGKns43EWWQ","Guitar Warfare (Remix)","spotify:artist:4Eon8wJtGHP3JNL7lB8Qml","LilDeuceDeuce","spotify:album:6keE26GqNkLzprE0RBBzFJ","Youtube Famous","spotify:artist:4Eon8wJtGHP3JNL7lB8Qml","LilDeuceDeuce","2013-07-24","https://i.scdn.co/image/ab67616d0000b273a9b7b1dad775d064dacba12a","1","14","143793","https://p.scdn.co/mp3-preview/9b711a32190ea8a37fd6bc95080aabd14dddd3d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:brenmiester","2017-04-18T07:42:59Z"
