"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4VTG7BSzeAVLKL0b4qSSso","The Prince","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:6MB4YsooVLsTTA9HN24SaA","One Step Beyond (35th Anniversary)","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1979-10-19","https://i.scdn.co/image/ab67616d0000b273a5e976a943814bb5840251cc","1","6","200800","https://p.scdn.co/mp3-preview/45795325459b4586db806e5c260daad680356a72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:travdonelon","2020-04-08T21:24:06Z"
"spotify:track:0bAYJxEe6ate8gL0G2qj1B","One Step Beyond","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:62PbN36OHqQHZjys7VAAwL","One Step Beyond","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1979-10-19","https://i.scdn.co/image/ab67616d0000b2737a14205f4a11ddd93cb5473d","1","1","138146","https://p.scdn.co/mp3-preview/85c6a097364160785b78bffe81d75e43552070b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:travdonelon","2020-04-08T21:24:40Z"
"spotify:track:7dirxrgQazuRM9Jt94xAXn","My Girl","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:6MB4YsooVLsTTA9HN24SaA","One Step Beyond (35th Anniversary)","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1979-10-19","https://i.scdn.co/image/ab67616d0000b273a5e976a943814bb5840251cc","1","2","165120","https://p.scdn.co/mp3-preview/8aab311afc930ec23f7510a190424bff937439a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:travdonelon","2020-04-08T21:24:55Z"
"spotify:track:1m1PWQeZcDBmFsLCJ5qSdn","Night Boat To Cairo","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:6MB4YsooVLsTTA9HN24SaA","One Step Beyond (35th Anniversary)","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1979-10-19","https://i.scdn.co/image/ab67616d0000b273a5e976a943814bb5840251cc","1","3","211026","https://p.scdn.co/mp3-preview/33c5ffa44fbdf926ed7212425a561abc9c6ca3f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:travdonelon","2020-04-08T21:25:06Z"
"spotify:track:5j4RaTG3kjLlreau6KjLrf","Baggy Trousers","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:7DN8tkywunLcrc1HeerarG","Absolutely","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1980-09-26","https://i.scdn.co/image/ab67616d0000b2736aa418f7f46c2a853e312f5b","1","1","166760","https://p.scdn.co/mp3-preview/537d7b5f055c07023365fa0effa2b13fc403ceb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:travdonelon","2020-04-08T21:25:17Z"
"spotify:track:2ryzRyUHCjy9KME8QJsGuu","Embarrassment","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:7DN8tkywunLcrc1HeerarG","Absolutely","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1980-09-26","https://i.scdn.co/image/ab67616d0000b2736aa418f7f46c2a853e312f5b","1","2","191853","https://p.scdn.co/mp3-preview/88b11a637073a32de40d7292f5b5e36d03c793ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:travdonelon","2020-04-08T21:25:29Z"
"spotify:track:2HwO2vJb5ahQhtU4bC0Iy4","The Return of the Los Palmas 7","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","9","123546","https://p.scdn.co/mp3-preview/4e0773de43e42b0e3a2b47c2be20f8cedf52e8f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:travdonelon","2020-04-08T21:27:49Z"
"spotify:track:604HHgVZ97wtrnOa1YACtR","Grey Day","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","10","219413","https://p.scdn.co/mp3-preview/e0daf475e4934ba98116df78aa6a3dd92182956e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:travdonelon","2020-04-08T21:28:00Z"
"spotify:track:0u9mobzfo6hrrtkdmyXnzu","Shut Up","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","11","246253","https://p.scdn.co/mp3-preview/64c72409a1f05202b57d8587b525ad4753a72685?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:travdonelon","2020-04-08T21:28:15Z"
"spotify:track:2Fz12fqGZfJU73EM7OuiXU","It Must Be Love - 2009 Remaster","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","12","200893","https://p.scdn.co/mp3-preview/8568487416941ad00423516142eb4ff10451e1dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:travdonelon","2020-04-08T21:28:25Z"
