"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7FLm43IriB4jxAposCv9Ji","Bleeding Me","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:6ndH0UlQbyCOVqByMXXhdV","Load","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1996-01-01","https://i.scdn.co/image/ab67616d0000b273d691ec833eb067d9a9e4ded7","1","7","497933","https://p.scdn.co/mp3-preview/051508b60123ba7e86308b7ba9ec125fd563a08c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:6TFGNgCyhgHKNn046iG6fa","Victorious","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","spotify:album:2dwb86bhTK0Nr9ClfXQbZA","Victorious","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","2016-02-19","https://i.scdn.co/image/ab67616d0000b2732b7f5221153c77038f6618fa","1","2","264986","https://p.scdn.co/mp3-preview/a4842805a1887cbd64c14d5e407fbc04193500ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:2MuWTIM3b0YEAskbeeFE1i","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Lq2qX3hYhiuPckC8Flj21","Master Of Puppets (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20","1","2","515386","https://p.scdn.co/mp3-preview/070b147d7710598fb96360f94b1adb0709fce235?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:4JhlWABoffwIe4biDhnwoK","Soldiers Of The Wastelands","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","spotify:album:2ue54Rg3R20WrjcCgCcZe7","Sonic Firestorm","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","2004-01-01","https://i.scdn.co/image/ab67616d0000b27311c59157a82f4498dda24d62","1","6","587160","https://p.scdn.co/mp3-preview/4582d9bc4b4d7a914faa087588d4944ba39e7324?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:38fIaph07Kd8ZIN6l17ZJs","Whiplash - Remastered","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:1aGapZGHBovnmhwqVNI6JZ","Kill 'Em All (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1983-07-24","https://i.scdn.co/image/ab67616d0000b273d30fcf6340831edbafb45e38","1","6","248546","https://p.scdn.co/mp3-preview/e6ce5e47d1e2d8501f8b3bef2517dce7f7905e54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:1Fbfqb1hzJWmxvEVjSUm9D","Invaders - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5S3gls8Kjn8KVmqlIDEBbO","The Number of the Beast (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322","1","1","203386","https://p.scdn.co/mp3-preview/2984863fc2c0c251b03bc951bd79ded36a67a6af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:6FUwPb4mGlUDbx42uspXaZ","Fuel","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:0Ip2GlQPoAIgdkqCO2YkMa","Reload","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1997-01-01","https://i.scdn.co/image/ab67616d0000b27306cb74d39d123ebe1b3c6631","1","1","269800","https://p.scdn.co/mp3-preview/6eefd2e01960b0ecf21c18437cdc3c7e2dee6409?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:6IPJ7LeWIOhxPW8Sq3nIGc","Re-Arranged","spotify:artist:165ZgPlLkK7bf5bDoFc6Sb","Limp Bizkit","spotify:album:3HCCUaRSjHSFOe4fqE0BiP","Significant Other","spotify:artist:165ZgPlLkK7bf5bDoFc6Sb","Limp Bizkit","1999","https://i.scdn.co/image/ab67616d0000b2733783782de74f61e36795bf9c","1","5","354733","https://p.scdn.co/mp3-preview/7ed1dc9164825cb1e3abd31e537a7ad3eb1c27cb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:0Tp7uSZK21LZTbZRBNb9ud","Blackened","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:6Eycw3dwcDMEFSqkUvLQ7g","...And Justice For All","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1988-08-25","https://i.scdn.co/image/ab67616d0000b2737c05e69390ab7c628a83cee7","1","1","400613","https://p.scdn.co/mp3-preview/b2b31fc7be226c902ab50f6e46af46e43a6ef16a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-11-06T11:45:17Z"
"spotify:track:5Q7m1Km199HHMB926xxbrs","War?","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:3sSfjX4fhZonjyZ10x0l0f","System Of A Down","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","1998","https://i.scdn.co/image/ab67616d0000b2732dc63e977bd5101072adcef6","1","8","160493","https://p.scdn.co/mp3-preview/c287e1d2f9981320cf4f65b917f9a27f35cfaf50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-11-06T11:45:17Z"
