"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1Iaq12cynLNNzNSapNtqW6","Hello Future Funk","spotify:artist:2hK0A1hY8plZiE4gQ0HAmh","CHANCE デラソウル","spotify:album:4ir1bVF1FAkHRl4zGLqhKj","Goodbye Future Funk","spotify:artist:2hK0A1hY8plZiE4gQ0HAmh","CHANCE デラソウル","2020-08-07","https://i.scdn.co/image/ab67616d0000b2738da9df29c8500c8620c486dd","1","12","210000","https://p.scdn.co/mp3-preview/c902d6cb92b9f399750cccc6d0036c94df557988?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:5vqkfVNENSVJylB9gD94i6","Twilight Village Bop","spotify:artist:4CarzVZ0WrYPL1dVQdNMaA, spotify:artist:0RQHXqWjBQ4Y1Wj4g9JNkg","Equip, FrankJavCee","spotify:album:5bVyy09kdCjRAN4kJN03pH","Twilight Village Bop","spotify:artist:4CarzVZ0WrYPL1dVQdNMaA, spotify:artist:0RQHXqWjBQ4Y1Wj4g9JNkg","Equip, FrankJavCee","2020-01-24","https://i.scdn.co/image/ab67616d0000b2737f7a9b65db47c9de50da02c6","1","1","209000","","false","0","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:1Yhx23RzcE9nFmnvow2kR1","Zealot","spotify:artist:5RBdF1pJSLF3ugc2Y2PoB8, spotify:artist:4J8QWSzCd1fBoBq9nR2fbh","Savant, Jahari Medina","spotify:album:5W5DiCfbgiRSvS9TD5GKVm","VOID","spotify:artist:5RBdF1pJSLF3ugc2Y2PoB8","Savant","2020-04-04","https://i.scdn.co/image/ab67616d0000b273c47abf8d2fff8e6ea135fb58","1","1","342919","https://p.scdn.co/mp3-preview/a4462ec3cc91ba796d8d6caef593c70f7eaa1c46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:7DpGpNYd9sZ3WT5oZWuokm","The Way U Make Me Feel","spotify:artist:4g5PqjCtAT5WppcucyRW8X","Neon Vectors","spotify:album:5oBHfEpAfHIQ4J2IkGYviT","Cyber Love","spotify:artist:4g5PqjCtAT5WppcucyRW8X","Neon Vectors","2020-04-07","https://i.scdn.co/image/ab67616d0000b273898ec8df69caeaf95186efe5","1","3","149508","https://p.scdn.co/mp3-preview/b94c0911cc5e60ddcb89e3659737eecdfa96f821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:67NS8TA0g9Mhu0Ok0wuQ7I","Ain't Nobody","spotify:artist:3JRX8ZDgaAGRr8ddYqV4B8","Pele","spotify:album:6oCpqWxhmsp28zYymYPORx","Ain't Nobody","spotify:artist:3JRX8ZDgaAGRr8ddYqV4B8","Pele","2020-07-13","https://i.scdn.co/image/ab67616d0000b2738150e427e098230ba3cba24f","1","1","250434","https://p.scdn.co/mp3-preview/b2f75c30ff9111842c0083c3605f9ef9e35d43db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:3tCLLHV1I9IBUWtDGNSA9n","Space Swamp","spotify:artist:5mADpqv2E8KIHDmEhH7wmr","Figure","spotify:album:1D6IVwbfsm64Cz9g38opnM","Space Swamp","spotify:artist:5mADpqv2E8KIHDmEhH7wmr","Figure","2020-03-20","https://i.scdn.co/image/ab67616d0000b273777049277fbc8b4fa90d857c","1","1","246400","https://p.scdn.co/mp3-preview/44e9054d16d50ab5d96336c90e195a42b9564e1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:6ZJ3NPR2M6sZ5XQzBsJMP0","Atone & Bloom","spotify:artist:0UM3yh4PeDSWa9cnHJ0jgW, spotify:artist:28h7iPsRybQuhOMqossX2P","Auvic, Caroline Kim","spotify:album:7iuglQBuhI9IhaMASzypC2","Soulfire: Ascension","spotify:artist:0UM3yh4PeDSWa9cnHJ0jgW","Auvic","2020-08-17","https://i.scdn.co/image/ab67616d0000b273f88fd52d39fa1d44663c2bc9","1","1","259004","https://p.scdn.co/mp3-preview/3f66d6bc226e1d3405e40f9853fcbecca4d0d49f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:2rxb4x0lE8Wq8xA5tgeZ58","REFRESH","spotify:artist:3zYU33YUxJPzsPrYmpMMiu","Aests","spotify:album:2JXsrhK7uJIXALgPEc8Qr5","REFRESH","spotify:artist:3zYU33YUxJPzsPrYmpMMiu","Aests","2020-06-14","https://i.scdn.co/image/ab67616d0000b2731e8b71c751c6c07a4d018f72","1","1","132000","https://p.scdn.co/mp3-preview/6ad76a411b7e484efe882787777b785d5d2123a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:7tQJxwhc299gXjAvjxxwsi","Midnight, Starlight","spotify:artist:0bkkiFN0ghGl4j9aLi3oQx","Nanahira","spotify:album:25uikWvUd5OIRPy1pmURd9","Midnight Future","spotify:artist:0bkkiFN0ghGl4j9aLi3oQx","Nanahira","2020-01-15","https://i.scdn.co/image/ab67616d0000b273625e2863258611d80eab785f","1","1","195413","https://p.scdn.co/mp3-preview/b261db3389827425b8ff46105d92477e7354b1bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2020-11-28T19:02:11Z"
"spotify:track:1qWHX5LJ8x2MEwKFElci9Q","NERVE DAMAGE","spotify:artist:4aBx7mA6lUOVhEsjokZrXb","MUST DIE!","spotify:album:2v0MOEIvlWZ5sYT8Aw7FXs","NERVE DAMAGE","spotify:artist:4aBx7mA6lUOVhEsjokZrXb","MUST DIE!","2020-03-27","https://i.scdn.co/image/ab67616d0000b2736a810ac1cf4919ebbf8b6257","1","1","241230","https://p.scdn.co/mp3-preview/5ee3bc6d980f9244868edb5c3ce1211301f800da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2020-11-28T19:02:11Z"
