"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5SWrgz097TXpTyXOkShPOz","Deadline","spotify:artist:2RhRT6DNOVoDTfS0rG31pZ, spotify:artist:28UAjnAJWWPfnlxU1Bvy2v","Project 46, Gemellini","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","1","380639","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:0A8jvI9CPgLwHTTy9yAEhl","Cold Blood & Ice Cream Cones","spotify:artist:7qxL3lnRSxi5VuxzA8htbj","Arion","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","2","260307","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:0rDp0ahg6W4NfroagQBXLp","Slide","spotify:artist:2RhRT6DNOVoDTfS0rG31pZ","Project 46","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","3","423979","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:6dhn1mlij5UzSTzbUFdKtp","Airwaves","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","4","281250","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:3D2aLNwngUHPRIeqMO8AYl","Cloak and Dagger","spotify:artist:2g1JSu9UfRcQQYb3b03Km7","Varien","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","5","254318","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:0VAQtyAmjdUfXwi9fI16mX","Hello","spotify:artist:14XqctcPu0lzQjrUZ06Tsn","Going Quantum","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","6","361825","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:4A4VLpn7GcCor3dxd4SrY6","Backlash","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","7","322285","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:40aPYTG78txPoX3KSRMgdO","Some Wobbles","spotify:artist:7xYcJfhrRx9Iv8smhoEibc","Ephixa","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","8","315861","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:43oGJ6CIu1QSzAwnd5XJ7S","Another World","spotify:artist:2tV5eD1SPIy0Mf871wk9Hp","Obsidia","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","9","232294","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:0hqBSgnAhjGSpSsB2Hr0Oj","Insomnia","spotify:artist:2uEo8Rajpdz1AqineCVLHq","Mr FijiWiji","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","10","198267","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:7s8EBso0ejwhypkH4zqpIc","Full Focus","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","11","237176","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:7vVphb6PqhMFgTh67uXKpD","Full Grizzly","spotify:artist:14XqctcPu0lzQjrUZ06Tsn, spotify:artist:0FvgCHaMG7KL6M83yJuhmL","Going Quantum, Stephen Walking","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","12","212649","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:2NCk2xBkFuI860oRfgMtRm","Dubstep Killed Rock 'n' Roll","spotify:artist:7xYcJfhrRx9Iv8smhoEibc","Ephixa","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","13","260683","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:11zzkMn5eF9njsLelB8SQU","The Technician (Neilio Remix)","spotify:artist:2iTdqBeEWz0QriMt81o9CN","Matduke","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","14","330154","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
"spotify:track:344FImSkwXzrqoBJDWHmmd","Riding The Storm","spotify:artist:4UNnRb4LN2hGtbtMfPzMhg","MUZZ","spotify:album:4vlcPaAkYJRReheitTsByY","Monstercat - Best of 2011","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-12-27","https://i.scdn.co/image/ab67616d0000b2735d63e869b4b2429cfd13f12a","1","15","273031","","false","0","spotify:user:brenmiester","2018-05-31T02:21:23Z"
