"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6YGA92lyFQAet21S92EJ2X","Rock It","spotify:artist:74WcfqC2hmUFHEJs0PDqYi","Little Red","spotify:album:6X09wGNPFDJzb2uQkHUs9C","Midnight Remember","spotify:artist:74WcfqC2hmUFHEJs0PDqYi","Little Red","2010","https://i.scdn.co/image/ab67616d0000b27307780034d1e090f3123395ad","1","3","208760","","false","0","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:23JZO56H9BEYQqedJSiDxZ","Awkward","spotify:artist:0Ou0138wEd8XWebhc4j7O0","San Cisco","spotify:album:6idOtMpoKZCiy3VOa9dB0M","Awkward EP","spotify:artist:0Ou0138wEd8XWebhc4j7O0","San Cisco","2012-02-03","https://i.scdn.co/image/ab67616d0000b273d6abbbc47981813ac5a08cdd","1","1","153960","https://p.scdn.co/mp3-preview/47e21baa83660e47b6094fd264bc7cf48c87d4fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:2ZAQRYHtIP630wyBwA0CLV","Endless Summer","spotify:artist:76KHdORVQMt7L6nVzvOUph","The Jezabels","spotify:album:2mzjiLcCmOkeBhn3fsUpBm","Endless Summer","spotify:artist:76KHdORVQMt7L6nVzvOUph","The Jezabels","2011-09-11","https://i.scdn.co/image/ab67616d0000b27376f5652ecc03e2a76066798a","1","1","251533","","false","0","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:6NJD4hVfY023NNkImSAHOb","Is This How You Feel?","spotify:artist:5gcDZA9xXCOspWgQilUYIu","The Preatures","spotify:album:6ANfIMccslIBzXixmbMf9Q","Is This How You Feel?","spotify:artist:5gcDZA9xXCOspWgQilUYIu","The Preatures","2013-01-01","https://i.scdn.co/image/ab67616d0000b2735ac0985b4e817b18b05b85a9","1","1","215986","","false","0","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:0aEBqbyhFRqjK0I7aPwU1U","Delete","spotify:artist:1iUTUix5kea176M0uJTsh4","DMA'S","spotify:album:3yCOOPQuCgJg4gpyHPZUQ6","Delete","spotify:artist:1iUTUix5kea176M0uJTsh4","DMA'S","2014-02-17","https://i.scdn.co/image/ab67616d0000b273e9e745a991763493d0528175","1","1","271939","https://p.scdn.co/mp3-preview/2acfea371211f99afd258d37c48fc60bc4627acb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:18cST7DK31Ab2rTH1POP6A","Clap Your Hands","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:7KjbFlWdduvs6BZVxSPQKR","Clap Your Hands","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2010-04-12","https://i.scdn.co/image/ab67616d0000b273c8fa8366ee0da749124ca3fc","1","1","238466","https://p.scdn.co/mp3-preview/fd3186d091c2185f0d84e7b259d3f9a631d34d4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:17jyLGlgZppynYukOQlN5n","Exactly How You Are","spotify:artist:1ououJVWgWsHWMYDLvT7sH","Ball Park Music","spotify:album:6vlcfWk6eOpiJASyyLP80j","GOOD MOOD","spotify:artist:1ououJVWgWsHWMYDLvT7sH","Ball Park Music","2018-02-16","https://i.scdn.co/image/ab67616d0000b2739fbba7dca4f38bc68ea39c82","1","5","216379","","true","0","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:0XFJRjjAjG2jDJaMLaDXH4","Chasin'","spotify:artist:6vqMDhoigg5btfdPsPTVFt","Cub Sport","spotify:album:1AJzEn7qQlNfheoRp2tXQN","BATS","spotify:artist:6vqMDhoigg5btfdPsPTVFt","Cub Sport","2017-09-22","https://i.scdn.co/image/ab67616d0000b273722c999e8a9165016c9f1d81","1","1","191160","https://p.scdn.co/mp3-preview/bb5164390cae82fb7ca9d60dc1eaa56b012225bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:3Q4DweD43ffeuELklLMKQk","Hoops","spotify:artist:2hrWpLNoJcs1EnWSXvB6JI","The Rubens","spotify:album:09nqIkoFAKnf77GEPBY6x1","Hoops","spotify:artist:2hrWpLNoJcs1EnWSXvB6JI","The Rubens","2015-08-07","https://i.scdn.co/image/ab67616d0000b273a7876ba4d1a27f691958ef74","1","3","158973","https://p.scdn.co/mp3-preview/0bc7d4e7ed36acb42430796fd91b9e2f1e90931e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2019-12-03T05:01:00Z"
"spotify:track:6EOwEp0a537SGJZxVk07Gp","Clumsy Love","spotify:artist:0C6qzW0Am8OVyHSoT57fnC","Thelma Plum","spotify:album:0QuumkXPKBWR7wOKUfqQ34","Better in Blak","spotify:artist:0C6qzW0Am8OVyHSoT57fnC","Thelma Plum","2019-07-12","https://i.scdn.co/image/ab67616d0000b273c130e7e517b6fed1a9b13735","1","1","187640","https://p.scdn.co/mp3-preview/52f997f78b5271d4ec271d97df3a9f70426b6035?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","spotify:user:","2019-12-03T05:01:00Z"
