"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0N5x5UmYcbBeHFJtCCqf62","Ruby","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:0mKKqokWGSgKoL2bzdyTpd","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b273d3db35e2f0f570b2ae20986b","1","1","204200","","false","0","spotify:user:brenmiester","2018-01-16T06:17:58Z"
"spotify:track:75D3n6wnFQmu1HVmLAlWM4","I Predict A Riot","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:6jOas0sYexfB4MDNShABrw","Employment","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2005","https://i.scdn.co/image/ab67616d0000b273ff04d490d9d10ea687f38f36","1","2","233186","https://p.scdn.co/mp3-preview/2d9bb905f5e971d49a69b1dbace721ab75dd8330?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:brenmiester","2018-01-16T06:18:05Z"
"spotify:track:5dvBeCMTzUNjyWIcuykzyh","Everyday I Love You Less And Less","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:6jOas0sYexfB4MDNShABrw","Employment","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2005","https://i.scdn.co/image/ab67616d0000b273ff04d490d9d10ea687f38f36","1","1","217706","https://p.scdn.co/mp3-preview/919e85d54f8ae0f5ddf7b26d8f7143d16b721412?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:brenmiester","2018-01-16T06:18:10Z"
"spotify:track:0bXhjlgUddDlJzHOeVM4Tq","Never Miss A Beat","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:1cMowxUDW6TPg6NXnOdM3n","Off With Their Heads","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2008-01-01","https://i.scdn.co/image/ab67616d0000b27301462e466fdf659666e1e333","1","2","186946","https://p.scdn.co/mp3-preview/520a39bb062a757febd40e3bbeb1256d8f537d8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2018-01-16T06:18:14Z"
"spotify:track:24KqWcpyrY1COcRPYt2ef5","Oh My God","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:6jOas0sYexfB4MDNShABrw","Employment","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2005","https://i.scdn.co/image/ab67616d0000b273ff04d490d9d10ea687f38f36","1","6","214880","https://p.scdn.co/mp3-preview/a253baf82e185757393b36849ce4af2a5c693dd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2018-01-16T06:18:22Z"
"spotify:track:30ETWOox7yYSY9Z5oo7kSH","Highroyds","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:3boV9pU91gp28FDTt6pw9C","Yours Truly, Angry Mob (Deluxe)","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738db5c7e44e14720d440eb4c4","1","4","198786","","false","0","spotify:user:brenmiester","2018-01-16T06:19:11Z"
"spotify:track:6XibhqTwImEbScgCLeU9Wz","Love's Not A Competition (But I'm Winning)","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:3boV9pU91gp28FDTt6pw9C","Yours Truly, Angry Mob (Deluxe)","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738db5c7e44e14720d440eb4c4","1","5","195733","","false","0","spotify:user:brenmiester","2018-01-16T06:19:46Z"
"spotify:track:5KC9G77197QBsN5a8Vvtv3","Na Na Na Na Naa","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:6jOas0sYexfB4MDNShABrw","Employment","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2005","https://i.scdn.co/image/ab67616d0000b273ff04d490d9d10ea687f38f36","1","4","180200","https://p.scdn.co/mp3-preview/08bf6c53d9b840f2d4b77e298053430413b52c07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2018-01-16T06:21:17Z"
"spotify:track:63vL5oxWrlvaJ0ayNaQnbX","Istanbul (Not Constantinople)","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","spotify:album:7FwAtuhhWivxvK4aPgyyUD","Flood","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","1990-01-02","https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539","1","4","153813","https://p.scdn.co/mp3-preview/8e041f920357ebb93c0b76f2483dc85cfe5b4c5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2018-01-16T06:23:15Z"
"spotify:track:6hNrg9cIjyWuklYGWIduy5","Your Racist Friend","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","spotify:album:7FwAtuhhWivxvK4aPgyyUD","Flood","spotify:artist:6zB02lwP6L6ZH32nggQiJT","They Might Be Giants","1990-01-02","https://i.scdn.co/image/ab67616d0000b2737bf5a21b4cf1d79d08397539","1","6","175426","https://p.scdn.co/mp3-preview/f8fcc3c7cb0f20d23eeeafaa6a727fc81e5e3a74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2018-01-16T06:23:15Z"
