"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4TVOhq8xeEuNmV3VzuWR4k","White Knuckles","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","6","198520","https://p.scdn.co/mp3-preview/f3920cb5c07e4841dfcec405b15d4b410a452668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:7zPxIh1c3kJaNwmjdZ3GQX","Hello Operator","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:3jqKVacx9hnu47kCAG55T3","De Stijl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2000-06-20","https://i.scdn.co/image/ab67616d0000b273185038e768091a37433ae209","1","2","156266","https://p.scdn.co/mp3-preview/1998f627441f8744fd3f4ac1bc7a88a68787db25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:3nEzCR8b6O0EfWXD8xHcU2","Needing/Getting","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","4","313760","https://p.scdn.co/mp3-preview/7e0a4d6aa85e8b0271251d019aa9e688250f4283?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:5saMo1BtSHW111VrurVHe8","Sun","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:7mxF1FNLd12k1e5MpkMdKg","Beacon","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-08-31","https://i.scdn.co/image/ab67616d0000b27326695b7ddc3264a22f36cd8b","1","4","187720","https://p.scdn.co/mp3-preview/02df54f3de04f2e985db627a88d0b972da4f6543?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:0n49fCjNGsbtNOE6cuWk79","A Million Ways","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","7","193133","https://p.scdn.co/mp3-preview/4b1ba36a1653c91751fa7d67820e98e4770f34cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:2k6TManBkFAweRUCH6jYny","The Way We Get By","spotify:artist:0K1q0nXQ8is36PzOKAMbNe","Spoon","spotify:album:519PD4UWRalte2kjiiPY8i","Kill the Moonlight","spotify:artist:0K1q0nXQ8is36PzOKAMbNe","Spoon","2002-08-20","https://i.scdn.co/image/ab67616d0000b273818b44a14134dd911a9e661c","1","2","159386","https://p.scdn.co/mp3-preview/114cade583b676c73b1818801c83f2540ade2d2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","3","179813","https://p.scdn.co/mp3-preview/7327e3ac55e460208a753ce81872321dc06b7603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:7kzKAuUzOITUauHAhoMoxA","Last Nite","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","spotify:album:2yNaksHgeMQM9Quse463b5","Is This It","spotify:artist:0epOFNiUfyON9EYx7Tpr6V","The Strokes","2001-07-30","https://i.scdn.co/image/ab67616d0000b273a388a3f20d1bf2123249cc79","1","7","193506","https://p.scdn.co/mp3-preview/70f22457de081876f601049009ea21ea92009e97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:0vDbPNJToCssVuKVaRXz6o","Do What You Want","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","2","186013","https://p.scdn.co/mp3-preview/e7fa59356d3f6da6422bab0dcebba0c2d7b86622?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-11-06T11:45:20Z"
"spotify:track:0yEhNqCwEfy8LHUmnZoHpP","Bohemian Like You","spotify:artist:7siPLyFwRFYQkKgWKJ5Sod","The Dandy Warhols","spotify:album:0vdIT4p5OlKOcEzYKSsqn4","Thirteen Tales From Urban Bohemia","spotify:artist:7siPLyFwRFYQkKgWKJ5Sod","The Dandy Warhols","2000-01-01","https://i.scdn.co/image/ab67616d0000b2731d6192e7258363e1878cb1d0","1","10","211706","https://p.scdn.co/mp3-preview/5cab98bd2deed39aaece8b0f33ffbb2d363ed25c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2021-11-06T11:45:20Z"
