"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:06k5ZWQoJ44zNYlb49zBjc","Over and Over and Over","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:6btUx9G2BPajQ7P6mpTxId","Boarding House Reach","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2018-03-23","https://i.scdn.co/image/ab67616d0000b273f06339d17dd213558c5e7088","1","7","216280","https://p.scdn.co/mp3-preview/583efc1bf6c7b2e157971f04ffd4bb9ef85cf025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:4ZReuzjoiFMVWwly2NccJh","Limited World","spotify:artist:6xt9sJmmyYwWkJv8A6ssiU, spotify:artist:5GF3JcY2h0SUPkDlo7ByCB","Cory Wong, Caleb Hawley","spotify:album:1i6evjjzyuaYmYX728JwvT","Motivational Music for the Syncopated Soul","spotify:artist:6xt9sJmmyYwWkJv8A6ssiU","Cory Wong","2019-08-02","https://i.scdn.co/image/ab67616d0000b273e4c07796df2a709b3c0ad243","1","1","265346","https://p.scdn.co/mp3-preview/15c4ed048633ad0bb397b73a3754696073843940?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:21Qsj3cMVCx2xF2EVVNbEu","Fell In Love With a Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6Xvc1TfpVEhDeHhmTQEtp0","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721","1","4","110093","https://p.scdn.co/mp3-preview/875ff76d6a0eed5c59bf7ff668e10b9ca4f9db6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:5reQI13tWWYDLMrGcUF4Mk","Nuestra Canción","spotify:artist:36KsCCwgI0Dep97yVJWmkK, spotify:artist:2Otnykd696YidQYfEGVmNq","Monsieur Periné, Vicente Garcia","spotify:album:4XSLqHHDwqAnjwoMTtx7jC","Caja de Música","spotify:artist:36KsCCwgI0Dep97yVJWmkK","Monsieur Periné","2015-06-16","https://i.scdn.co/image/ab67616d0000b27330f67e1ad584dc2863d4958b","1","1","260079","https://p.scdn.co/mp3-preview/b3bef95eeef64fb9e0c7ccaf97ddcd57a9bb8f7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:50u2y4zgROMZq2db8Qx94B","cold weather","spotify:artist:4gHs8pWsgZpndQZKs6QVRH","glass beach","spotify:album:5GOoswCqZQiq9gbjSHkzMq","the first glass beach album","spotify:artist:4gHs8pWsgZpndQZKs6QVRH","glass beach","2019-05-18","https://i.scdn.co/image/ab67616d0000b273382ddf73e0132cecf399c718","1","6","138119","https://p.scdn.co/mp3-preview/a722658a9c5db3af3d41fc314c3f37abf860e574?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:4KNciXQGuQ8HOQFL1WQN7w","St. Paul","spotify:artist:6xt9sJmmyYwWkJv8A6ssiU","Cory Wong","spotify:album:1i6evjjzyuaYmYX728JwvT","Motivational Music for the Syncopated Soul","spotify:artist:6xt9sJmmyYwWkJv8A6ssiU","Cory Wong","2019-08-02","https://i.scdn.co/image/ab67616d0000b273e4c07796df2a709b3c0ad243","1","2","308306","https://p.scdn.co/mp3-preview/99f53a90103a431400e962d8c89054a8f70a4371?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:5za7Xkk1cBAwHlCIX2S4X2","Rhino","spotify:artist:52v3o293WmEA5vrvdk3aqN","Sound Of Stereo","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","3","210413","https://p.scdn.co/mp3-preview/6089d8b4a28ce4a628382f6ed1413513afef28dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:2nSvBHxMZz5buzG93DM2xr","We Don't Play","spotify:artist:3V1h3kAdiVDBiwlY2i6dJz, spotify:artist:7kIxfmjYGQui2LCqXGLfWA, spotify:artist:5c3akKV3CUqAVOnGZqf4S3, spotify:artist:7EtR2SuyYKtyAxPP8zpgcg, spotify:artist:4zymhxzJ0UJc74tMHGyoWs, spotify:artist:7a3OvvhvAvZ1FZE928i3Lk, spotify:artist:6SJnjpekgnONgNtxKeMP8m, spotify:artist:6hBrJJrcYoNhvLC6KaFR4b, spotify:artist:2BQWHuvxG4kMYnfghdaCIy, spotify:artist:3I6KMDdmPiLE5UQ4XF8Kpl, spotify:artist:5zYJziKktyqWwmoAWXrShP, spotify:artist:4AoPvuN5X1A5xeCfZXRQY3, spotify:artist:0ZgQaqSWlv12QAgT4CdopF, spotify:artist:3fFMSweDNwFGyHcxjN7MWp, spotify:artist:0mO3Yf5XIPHfAbHh8yWLFk, spotify:artist:57gGqESEggWfCpE3KOzdVa, spotify:artist:34krK3AW06onvB0x7mfkkN, spotify:artist:0NV5eY4Jzg4ldg2ikGnV4n, spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","12th Planet, Bandlez, Barely Alive, Chibs, Dirtyphonics, Disciple, Dodge & Fuski, Eliminate, Fox Stevenson, Infekt, Modestep, MVRDA, Myro, Oliverse, PhaseOne, SampliFire, Terravita, Virus Syndicate, Virtual Riot","spotify:album:2GbiX9EcRqCr44TJC5ol2f","Disciple Alliance Vol. 5","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","2019-09-04","https://i.scdn.co/image/ab67616d0000b2730fe563e35612264d4a1cbfbc","1","10","298400","https://p.scdn.co/mp3-preview/ab22d6c14b60d969f384eaf617ecc623a9b2f120?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:0neHDeY5BVMlW7SvZ30ssX","Waiting for the World to End","spotify:artist:24KLOfQv2HrpsCerfN6bef","LOOK MUM NO COMPUTER","spotify:album:0AA0pDRvxpVxPSx6cq5WE1","These Songs Are Obsolete","spotify:artist:24KLOfQv2HrpsCerfN6bef","LOOK MUM NO COMPUTER","2020-09-18","https://i.scdn.co/image/ab67616d0000b273f47ca60cbf48a05ca1148d7d","1","5","226865","https://p.scdn.co/mp3-preview/63683fed824763a0a0dacc8d298df27cd52e2a90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:1M4Ud66z18wuIq3oOxqVHa","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","spotify:album:6riOnMD3YhF8kGpAXpxbdj","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","2019-09-03","https://i.scdn.co/image/ab67616d0000b2736df69c88384e709e2be7cd16","1","1","219638","https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:","2021-11-04T19:30:26Z"
