"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3aIhJDHxr1kgTSnutJxPTH","Peanut Butter Jelly","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Pharmacy","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","2015-06-05","https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11","1","9","203133","https://p.scdn.co/mp3-preview/b7fb82cd8de6d07fca2be8ce026004c26c8072c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:52fnLN02thRhTnbzVZzdqq","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7mZh4xOrvqLmW30UIZm3X6","Chelsea Dagger (Radio Edit)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27324f18d675f719a4afb1afb5d","1","1","203760","https://p.scdn.co/mp3-preview/10dd6d5f50531da2063b33150bdfb630b8d9dd98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:6qUEOWqOzu1rLPUPQ1ECpx","Walk This Way (feat. Aerosmith)","spotify:artist:3CQIn7N5CuRDP8wEI7FiDA, spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Run–D.M.C., Aerosmith","spotify:album:7AFsTiojVaB2I58oZ1tMRg","Raising Hell","spotify:artist:3CQIn7N5CuRDP8wEI7FiDA","Run–D.M.C.","1986-05-15","https://i.scdn.co/image/ab67616d0000b273894ae4df775c6b47438991af","1","4","310386","https://p.scdn.co/mp3-preview/c7a8010bbddcd0d793a832de76a24d2cae5ab497?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:0pzjcWYkyynxhONSm5C8Cu","My Doorbell","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:3rHeq4F5wnaLBjNtuz7Yvh","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273e8a1ae591befe4bb0a9261ab","1","3","241866","https://p.scdn.co/mp3-preview/06dc1ff40cb951c13a24590c455ed78fc7ff36eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:64rqvMhAPLLEag310IG3z9","Greek Tragedy - Oliver Nelson TikTok Remix","spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB, spotify:artist:4QAp87iZerUP9PKxtLhmW1","The Wombats, Oliver Nelson","spotify:album:1UglarHubZKdQNBzRLF7dt","Greek Tragedy (Oliver Nelson TikTok Remix)","spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB, spotify:artist:4QAp87iZerUP9PKxtLhmW1","The Wombats, Oliver Nelson","2021-01-15","https://i.scdn.co/image/ab67616d0000b2737f07fa3b19d425f7a9735111","1","1","306428","https://p.scdn.co/mp3-preview/f3c1ed93fabeba47c6d93a909b446220bf688a93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:71aEq5ZnRE2Hr11PXZqpn9","Never Miss a Beat","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:3b2BSh5Tj5ZzS4EbHGbDYM","Off with Their Heads","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2008-10-20","https://i.scdn.co/image/ab67616d0000b27388381e4837d636c3c2bce2cd","1","2","188853","https://p.scdn.co/mp3-preview/00b1e61042a2ab2f29630355536d373b5bcec47f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:3cZt6DR3olI5DVXTCrfp3U","Indie Girl","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","5","178750","https://p.scdn.co/mp3-preview/0c7eabb69cfecd26a953d9c9f120dc4ff2f37ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:21Qsj3cMVCx2xF2EVVNbEu","Fell In Love With a Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6Xvc1TfpVEhDeHhmTQEtp0","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721","1","4","110093","https://p.scdn.co/mp3-preview/875ff76d6a0eed5c59bf7ff668e10b9ca4f9db6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:7brqAAi0dbWWTI91HkurKK","DAILY ILLEGAL ANIME CONSUMPTION PT.1","spotify:artist:7kGylI45opkGdimN0V1DPL","AnTgry","spotify:album:6N495ky1d6PEtdQPZVWld3","DAILY ILLEGAL ANIME CONSUMPTION PT.1","spotify:artist:7kGylI45opkGdimN0V1DPL","AnTgry","2020-12-19","https://i.scdn.co/image/ab67616d0000b27301e7c22a3ff27975aa3e8d1e","1","1","142372","https://p.scdn.co/mp3-preview/14d56c2a59c1e68f3cc56450af2793634dc05753?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2021-02-28T10:36:00Z"
"spotify:track:4idgNC6Y7rd2XRfzPphIBw","Welcome to the Disco","spotify:artist:30FDJPN3RtwJZ20g5YGCRX, spotify:artist:5C8KyBfvAz9PSaOd30eIow","Yung Bae, Macross 82-99","spotify:album:6UJAG0MN18jejyZTf4oDQj","Bae 5","spotify:artist:30FDJPN3RtwJZ20g5YGCRX","Yung Bae","2019-06-28","https://i.scdn.co/image/ab67616d0000b273c8954d7d5c9deb29f1f77b08","1","11","195274","","false","4","spotify:user:brenmiester","2021-02-28T10:36:00Z"
