"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:680V5vxHWn2D11Yws0e12V","All Eyes On Me","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","spotify:album:4bkcQYpykHenlD9GsNRxPU","All Eyes On Me","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","2018-10-12","https://i.scdn.co/image/ab67616d0000b273a4f91ba5ba0910418879977f","1","2","199285","https://p.scdn.co/mp3-preview/f9dd6b7f1a062b487f743df07470754d23adbf1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2019-02-14T06:53:48Z"
"spotify:track:5WaMD6K2hRnDHTW78z0cl8","Take Me There","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","spotify:album:4bkcQYpykHenlD9GsNRxPU","All Eyes On Me","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","2018-10-12","https://i.scdn.co/image/ab67616d0000b273a4f91ba5ba0910418879977f","1","3","268500","https://p.scdn.co/mp3-preview/556943126f78a933a276cced9147b187117eb90d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","19","spotify:user:brenmiester","2019-02-14T06:53:54Z"
"spotify:track:4MxQ35IVV7aUgiH7RQ23vo","Midnight Lights","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ, spotify:artist:6MjJE0XM363Qpq293MLuh3","Conro, Ini Oladosu","spotify:album:4bkcQYpykHenlD9GsNRxPU","All Eyes On Me","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","2018-10-12","https://i.scdn.co/image/ab67616d0000b273a4f91ba5ba0910418879977f","1","4","220800","https://p.scdn.co/mp3-preview/a017a995016d1cb4ae6817c9b4e1c3ac6271f65b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2019-02-14T06:54:22Z"
"spotify:track:6aESAPmAzYNfUAv8gp6F8j","PLASTIC","spotify:artist:1GNuumO9mu72hz4nwjEa9D, spotify:artist:4O02rYoPWNEnz2B8zWvZ5y, spotify:artist:4u6SzY1tTHgF31iuhQLIMv","sakehands, Lo, Good Intent","spotify:album:56PIIcPBscrFxMjByHJXIo","Plastic","spotify:artist:1GNuumO9mu72hz4nwjEa9D","sakehands","2018-09-07","https://i.scdn.co/image/ab67616d0000b2732a7e2dda5a9f55884d38f319","1","1","206720","https://p.scdn.co/mp3-preview/281732b51796b9cf9dc5640e0772bc6653d163c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:brenmiester","2019-02-14T13:30:43Z"
"spotify:track:1RLCci3EUAH9t1spVptRWQ","Because I Love You","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","spotify:album:61q9OBizRbAe6z8FlJctgK","Glorious Heights","spotify:artist:1ZcnsSFqWusWlRK01vKE6b","Montaigne","2016-08-05","https://i.scdn.co/image/ab67616d0000b273c60c0a4d39224172a39cefb0","1","4","217618","https://p.scdn.co/mp3-preview/b753e9a9f286b85e77690d7132b4bc1d97399e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2019-02-14T13:32:21Z"
"spotify:track:0Df7X8bZNDvF4KRl8EoVSj","Friends Again (feat. Claire Ridgely)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:0OE65qjIKHqSyU7YWpOQrv","LVTHER, Claire Ridgely","spotify:album:50rKj6SwBTe19ZHf8u8P7L","Friends Again (feat. Claire Ridgely)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2018-03-20","https://i.scdn.co/image/ab67616d0000b273e5c4dfcb3926afd0d5ed3bb9","1","1","196363","","false","0","spotify:user:brenmiester","2019-02-14T13:32:31Z"
"spotify:track:5gUuN54cI17JA2DgJHahNO","Questions","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:5SNd3LaGqYfxV8IJ0IczsV","Questions","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","2018-04-20","https://i.scdn.co/image/ab67616d0000b273b2fb639c40dc3170cae3da50","1","1","250203","","false","0","spotify:user:brenmiester","2019-02-15T16:10:12Z"
"spotify:track:2NjYndZ70KjfYTdDCZEw0F","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84, spotify:artist:0PqgxdVGANnDuXv1YPCBnV","Brandyn Burnette, dwilly, Kayo Genesis","spotify:album:4KczjkB8NSfRwuCG5l1Ru4","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84","Brandyn Burnette, dwilly","2018-04-10","https://i.scdn.co/image/ab67616d0000b27364f95ae12fddd878f6915a93","1","1","183652","","false","0","spotify:user:brenmiester","2019-02-15T16:10:16Z"
"spotify:track:61DAPU5DrMAyvAWU4jQ0Lx","Out My Head","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:1NSi8YRtTOn92prl3fxAdI","Out My Head","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2019-02-15","https://i.scdn.co/image/ab67616d0000b273d87c33ce57b94e8f249352b4","1","1","225480","https://p.scdn.co/mp3-preview/a4f666a31a02acd0a1a53b4080521969a1e759a5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","spotify:user:brenmiester","2019-02-17T07:55:53Z"
"spotify:track:3QC3zy7WN5VYdIsYXaU6Jb","Given Up","spotify:artist:64N3o9z76C2APyfgQV2HMp","Half an Orange","spotify:album:3tpV3cPFcQapyScxFcvr5i","Given Up","spotify:artist:64N3o9z76C2APyfgQV2HMp","Half an Orange","2019-02-08","https://i.scdn.co/image/ab67616d0000b2735311ba62edfb6e54de6e948a","1","1","233175","https://p.scdn.co/mp3-preview/cfc19041c76d02c9244aa3bba87f186d47a20063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:brenmiester","2019-02-18T01:41:29Z"
