"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6IjeDgkEfact4RDxnq4s9n","Rapunzel","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp","Drapht","spotify:album:4q3oz28Y0RUa22SRQh3quY","The Life Of Riley","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp","Drapht","2011-04-01","https://i.scdn.co/image/ab67616d0000b2739ff8bc848ad1b57a09cd6ba7","1","4","202733","https://p.scdn.co/mp3-preview/1ac03ecee6d8ae6fcf07df1268ef1730e049072a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2019-07-14T11:21:04Z"
"spotify:track:5HPSvCWCM9TvsagA1idzuw","Speaking In Tongues","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4, spotify:artist:1ZJlXFkFDBsjSuYyjVcMkk","Hilltop Hoods, Chali 2na","spotify:album:5iGxWJQNXmqcdx5IYN23XK","Drinking From The Sun","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2012-01-01","https://i.scdn.co/image/ab67616d0000b2731d5d6042e7ba2dfd92d5b7c4","1","6","243226","https://p.scdn.co/mp3-preview/f6c4314d54f32c10e76e97aac75256e7ae839f21?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:brenmiester","2019-07-15T02:09:53Z"
"spotify:track:6Qkh02qnr4yrNj2GSpCdpH","Still Standing","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:4ulZKiq9M6eBxBKgMKLn1p","State Of The Art","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2009-01-01","https://i.scdn.co/image/ab67616d0000b273270da7449e0327eb0df30487","1","5","210693","https://p.scdn.co/mp3-preview/f0ca220cde0d38ea26eae5efcf20c4a43ca5d0c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:brenmiester","2019-07-25T14:56:29Z"
"spotify:track:30MIMYaX8C3BMvL3Zhs6KO","I Love It","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Hilltop Hoods, Sia","spotify:album:5iGxWJQNXmqcdx5IYN23XK","Drinking From The Sun","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2012-01-01","https://i.scdn.co/image/ab67616d0000b2731d5d6042e7ba2dfd92d5b7c4","1","3","226413","https://p.scdn.co/mp3-preview/9a6c87c1d2cfe56b3720252f6c0fca1f310069ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:brenmiester","2019-07-25T15:00:55Z"
"spotify:track:7aZiDdufBX2Ek8OUuxK0IQ","The Nosebleed Section","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:4dz3QzzqKVwz3WRZZmodq9","The Calling","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2003-09-22","https://i.scdn.co/image/ab67616d0000b2737a96234e564c41789b573e08","1","9","219640","https://p.scdn.co/mp3-preview/0b5aa316fa5155e36a8df9da3caa364449aa0ac0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:brenmiester","2019-07-27T05:34:12Z"
"spotify:track:6myDPrp86x4Lhyp5aqU0EV","Cosby Sweater","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:7Lp5k5j4kHtTT8zOpJkfUN","Walking Under Stars","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2014-08-08","https://i.scdn.co/image/ab67616d0000b273b7afd289a9997752ee1fd1f6","1","3","217720","https://p.scdn.co/mp3-preview/40db6624cdda628de27aced87380d63dd256b85d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:brenmiester","2021-05-06T12:31:31Z"
"spotify:track:3Zp17HvbW2C6LK3KM9rYpv","Where Yah From","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp","Drapht","spotify:album:57RD9qkpY28YHyZPOFff5b","Brothers Grimm","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp","Drapht","2008-05-10","https://i.scdn.co/image/ab67616d0000b27360afaee0d3371b967c11af47","1","11","231466","https://p.scdn.co/mp3-preview/be18170da1fcaf30566f2e74ec5da052e22519cf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:brenmiester","2021-05-24T00:45:18Z"
"spotify:track:6oSmp7qnvAxUXeUKhl67a6","1955","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4, spotify:artist:1ZcnsSFqWusWlRK01vKE6b, spotify:artist:41Sy5j6hSOXJ6Pl1yR296B","Hilltop Hoods, Montaigne, Tom Thum","spotify:album:4ijUWjOHZ5VnUADcOsL1vS","Drinking From The Sun, Walking Under Stars Restrung","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2016-02-19","https://i.scdn.co/image/ab67616d0000b273eb0652df7fe1fddc6673d161","1","10","239280","https://p.scdn.co/mp3-preview/f39f86ce6117ce02801f8bd7a70243ea7bae51ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2021-05-24T00:45:21Z"
"spotify:track:5VvxpsgOvyI8JqlwMKkL0P","Drinking From The Sun","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:5iGxWJQNXmqcdx5IYN23XK","Drinking From The Sun","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2012-01-01","https://i.scdn.co/image/ab67616d0000b2731d5d6042e7ba2dfd92d5b7c4","1","2","189333","https://p.scdn.co/mp3-preview/74da58ec2120f27f3624a7440c891cf9f2284968?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:brenmiester","2021-05-24T00:45:54Z"
"spotify:track:4LM3fd05ZpYsk2V0851U8w","Don Quixote (feat. Hilltop Hoods)","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp, spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Drapht, Hilltop Hoods","spotify:album:0Gxsqd8rvswRN9BnvMq39G","Seven Mirrors","spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp","Drapht","2016-08-19","https://i.scdn.co/image/ab67616d0000b273e640f4e11e3df00e20f3c18b","1","8","232139","https://p.scdn.co/mp3-preview/4ee9b4bf4cf12dae95a28c0afb40f70bc440591b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:brenmiester","2021-05-24T00:46:06Z"
"spotify:track:6jKvE6QgVH3DzYd2lCyNAF","Ride","spotify:artist:6Qpa8xhGsGitz4WBf4BkpK, spotify:artist:4rHLbr6edktdv6RnVrf0Y7","Baker Boy, Yirrmal","spotify:album:2n5HBPDhyOIP0BiF5fCADT","Ride","spotify:artist:6Qpa8xhGsGitz4WBf4BkpK","Baker Boy","2021-03-24","https://i.scdn.co/image/ab67616d0000b2733abf2d70183d5693675f905f","1","1","219214","https://p.scdn.co/mp3-preview/bccaa282338aa5b151630bae9c6b7ba348f530d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2021-07-09T08:13:03Z"
