"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2FZgVtcQhxPTeWJw7TZy3q","Murda","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2pTv3pLM9Cw3tblbBHOAzN","Pegboard Nerds, More Plastic","spotify:album:7t7YPn1MESHyMBP28k7Oq1","Murda","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2pTv3pLM9Cw3tblbBHOAzN","Pegboard Nerds, More Plastic","2021-11-01","https://i.scdn.co/image/ab67616d0000b273b604c6274cf61b79483d8908","1","1","180020","https://p.scdn.co/mp3-preview/13f0f7557e1de50aad3937c6af5d7253c01da405?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:0PqaWobBI6paWNdLyPmZxg","Try a Little Act of Kindness (Single from ""Hello, Jack! the Kindness Show, Season 1"")","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:4YNEXSXNENq5vMpNOu5yrH","Try a Little Act of Kindness (Single from ""Hello, Jack! the Kindness Show, Season 1"")","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2021-11-05","https://i.scdn.co/image/ab67616d0000b273c5700b853e80a2e83325369e","1","1","82240","https://p.scdn.co/mp3-preview/3a7f44ed7927cf0bf0ce12b38c1a170915e71446?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:0VFX93tpAqC0RitlvA1KQ9","Hyperlandia - Lamorn Remix","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:7gP3bB2nilZXLfPHJhMdvc, spotify:artist:5cfLsokNJlFQisLDtzugO9","deadmau5, Foster The People, Lamorn","spotify:album:5MXapgx8q6pWB9YO1LkNDa","Hyperlandia (Lamorn Remix)","spotify:artist:2CIMQHirSU0MQqyYHq0eOx, spotify:artist:5cfLsokNJlFQisLDtzugO9","deadmau5, Lamorn","2021-11-05","https://i.scdn.co/image/ab67616d0000b273bcc2879ab1536695e3071dfc","1","1","230263","https://p.scdn.co/mp3-preview/15a6c0548e0445c4a62bf024819595d35ee1a60f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:5iyUl63AzsNrq5kSOhdy32","Prison","spotify:artist:3LoAyD4SSqvUsQnSwea2v4, spotify:artist:4UNnRb4LN2hGtbtMfPzMhg, spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","TreeBombzz, MUZZ, Netsky","spotify:album:5meSLxIr2NWCuWwQKBdCqI","Prison","spotify:artist:3LoAyD4SSqvUsQnSwea2v4","TreeBombzz","2021-11-03","https://i.scdn.co/image/ab67616d0000b27354dc217a604ac01760aab9c5","1","1","297931","https://p.scdn.co/mp3-preview/72a2aee1cb85e5387fe0f6c1908fda1cad9bd389?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:2TEd1ztVZ1pKWQiapU1vKw","Pressure","spotify:artist:49vNfTzZU1nXv2xO34z5RY","CloudNone","spotify:album:3VuqsmdAq8Z85nww2141Yy","Anjunabeats Rising 11","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:1jD9rZnKHp1tqnYMxSxkiQ, spotify:artist:7aqysYAN8bVjQuJSo9PyqR","CloudNone, Hausman, Anjunabeats","2021-11-01","https://i.scdn.co/image/ab67616d0000b2737c4eb3588b71b3a64800a5da","1","2","258596","https://p.scdn.co/mp3-preview/86ab4f5a22af9c45dc10acb0810f89b9e83eabba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:7Htpx6uYJeIwu8IIVeB975","Waterfall (with RUNN)","spotify:artist:0qPGd8tOMHlFZt8EA1uLFY, spotify:artist:7aB2KbM3pphL9mU3dXbyh2, spotify:artist:3l0H4QNiYYNdIsnZ4JgJAg","RIOT, Far Out, RUNN","spotify:album:7femI3lQifa87m71I3wm7w","Waterfall (with RUNN)","spotify:artist:0qPGd8tOMHlFZt8EA1uLFY, spotify:artist:7aB2KbM3pphL9mU3dXbyh2, spotify:artist:3l0H4QNiYYNdIsnZ4JgJAg","RIOT, Far Out, RUNN","2021-11-05","https://i.scdn.co/image/ab67616d0000b273d925b7b8b7477e5e738c719a","1","1","299200","https://p.scdn.co/mp3-preview/bbd486b288c9ab1a411c57255a25d49de6762e5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:669paBUfzlLFC7Lhb4xqnJ","You're My Angel - DS VIP Edit","spotify:artist:3VmdvdqFAX1F9kwV54xGMT, spotify:artist:2gZzTzeACSwFqkMroVxmnm","Styles & Breeze, Darren Styles","spotify:album:2t9xeNMImOFvQxTtQ3wi3a","You're My Angel","spotify:artist:3VmdvdqFAX1F9kwV54xGMT, spotify:artist:2gZzTzeACSwFqkMroVxmnm, spotify:artist:2UBCeOEjEhqNkm6IFzVV4D","Styles & Breeze, Darren Styles, Hypnose","2021-11-05","https://i.scdn.co/image/ab67616d0000b27312865bdbe460252310afd243","1","1","210375","https://p.scdn.co/mp3-preview/fca073390222ec83eaeccae6a340ada589793cee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:67o1zHGmbdkyrodvsJMZm9","Mystery Of Me","spotify:artist:4zjO8Jhi2pciJJzd8Q6rga","Unlike Pluto","spotify:album:6DOzs0z3iVCanL4ArcHyGD","Loud Fantasy, Quiet Reality","spotify:artist:4zjO8Jhi2pciJJzd8Q6rga","Unlike Pluto","2021-11-05","https://i.scdn.co/image/ab67616d0000b27310d74d3e59663cfd1f2f0a7c","1","7","146041","https://p.scdn.co/mp3-preview/e4d90c487025c3afcf1c65817de09c0fb3b81320?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:1uB4buHsT4qT2RSo7CH3Lh","Raver Grave","spotify:artist:1gbDc1TANALgP8lLvO5UEf","Ahee","spotify:album:5ojpxW5wDNdrruQfYAFkqH","Subsidia Dusk: Vol. 5","spotify:artist:5FKchcZpQOkqFvXBj1aCvb","Excision","2021-11-03","https://i.scdn.co/image/ab67616d0000b273a47ed802f834f7687dc8a96c","1","2","208000","https://p.scdn.co/mp3-preview/93fa3cbf59e002381752e2637d32e015cebad67a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-04T13:00:00Z"
"spotify:track:4qiFQWKZD2Am7E9hlR95Mu","Cry Me A River","spotify:artist:5RKCVcnmcgyhFf85I4Ry9O","Razihel","spotify:album:5WmDY8UAjd1mL071NxwLHB","Cry Me A River","spotify:artist:5RKCVcnmcgyhFf85I4Ry9O","Razihel","2021-11-05","https://i.scdn.co/image/ab67616d0000b273f7ce21070ea4188426b47b0b","1","1","190758","https://p.scdn.co/mp3-preview/118e062450015e29dc3b216c033b4b1824813147?cid=9950ac751e34487dbbe027c4fd7f8e99","true","4","spotify:user:","2021-11-04T13:00:00Z"
