"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1EYlTjqFZBZDS0R75W0Obb","Say You Love Me - Gary Caos Remix","spotify:artist:4R1u7WnL9oTgbqUCtNm6p1, spotify:artist:3XAGcCcsJiUSlzWfS7V5ln, spotify:artist:1RZqsmHhxF7c30VmrfbPPi","Gianni Coletti, Lanfree, Gary Caos","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","10","210026","https://p.scdn.co/mp3-preview/7ead8b30ee7a219206370e7acbd56009d26ff09b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:4I4YlUbxwHNCltjnEASfrB","Guataqui - Pedro Carrilho Remix","spotify:artist:469i06JRRM2Wc6Y8rEIrlQ, spotify:artist:3Jy0sssrpZX9MQYDfxyE3J, spotify:artist:2vGRgVlsY6BB9PyESPm6IH, spotify:artist:0nGAfMW3NzKeoFbNbq2N2s","Funky Ro, David Milano, Martina Camargo, Pedro Carrilho","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","4","239680","https://p.scdn.co/mp3-preview/dcec7110685199e166c288ae4ab2c96b646a7ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:7eL3iZG1VteN4ghOcpIZTr","Alright","spotify:artist:42tlZWSz1V6Rsqds29GcRo, spotify:artist:2dQgOfBP52UwjegY8FwJAY","Tommie Sunshine, The Partysquad","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","2","247706","https://p.scdn.co/mp3-preview/f28bc83e9438be2c4bcf44cbd1594545fe8cda3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:6f6tDSJE4eWFrrJAIfPMH6","Panasia","spotify:artist:1ltNoPLg5PWTqLi1j6Skkm","Deepdisco","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","12","357613","https://p.scdn.co/mp3-preview/67f83929bd15cbf0f2a7cfe7b34c9113f47162a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:5ritrNBSi1HyQkOVHI22rF","Rollin' (Air Raid Vehicle)","spotify:artist:165ZgPlLkK7bf5bDoFc6Sb","Limp Bizkit","spotify:album:3B37V6xWRmpra48sqBNCIq","Teenage dirtbag","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-01-01","https://i.scdn.co/image/ab67616d0000b273837ad2428ee60c0d9652fd5a","1","3","214253","https://p.scdn.co/mp3-preview/c0401fd71af03748aa44f38a2935d9cc70b54e69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:6ytw2HAOeiW2FlkgPPRGXy","This","spotify:artist:0sPG1Yn8sWnhwDHsUbrU0F","Federico Scavo","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","7","60466","https://p.scdn.co/mp3-preview/ebcfa32281571207314a367d839d2dcc300b78d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:68PD93zd4LzpxMWDxs5ugh","Eat Sleep Rave Repeat","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW, spotify:artist:1TRFAJu3Cw64APToZaGk9D","Fatboy Slim, Riva Starr","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","1","346533","https://p.scdn.co/mp3-preview/2e9c5bfcd193bfa6fd7b6510792178a67f4c9f6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:2GqvrZ9s76qmrX2CpcCpbc","Troubleman","spotify:artist:1HT9k1ZSUL9IczSstOAgWJ, spotify:artist:4B89AwyA8INUrw8MSZikB2","Roger Sanchez, GTO","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","5","390480","https://p.scdn.co/mp3-preview/ea4d4526c52e4386c3c41149c239e59ad0fc315a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:58itphfvjUQFa0bkZeO5Zw","Hours of Dancing - Perk-a-Pella Mix","spotify:artist:5HLVnXJDhVTPTrDTdplARz, spotify:artist:0e9skgnsjo0ver1YFCeMsY","Eddie Cumana, Lula","spotify:album:44PSTiXygvjpmSoDqZc8rR","Mixmag Presents Fatboy Slim: We Are 30","spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW","Fatboy Slim","2013","https://i.scdn.co/image/ab67616d0000b27389beac66712a26d4d89bf27b","1","11","119960","https://p.scdn.co/mp3-preview/b79bdce246555ed182f2e0d0916508fba9d49a01?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:","2021-11-04T19:30:26Z"
"spotify:track:7tmyqyngDaApCgOrnYMnXf","Cry Thunder","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","spotify:album:6p2TDcw5AKmxzEqzgjWlGN","Killer Elite","spotify:artist:2pH3wEn4eYlMMIIQyKPbVR","DragonForce","2016-04-29","https://i.scdn.co/image/ab67616d0000b273ce52558ecbbffa4c987d835f","1","4","316066","https://p.scdn.co/mp3-preview/dc6355b447ccaa1fcc10b37405825590f3dca49f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2021-11-04T19:30:26Z"
