"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:21A3Yv2ifXxtoM03Sc0IDM","Mist","spotify:artist:7xiW9eaeH4E6DSiHmsVZOU","Starbuck","spotify:album:2elzQjyngsta20FKlWRwGr","Mist","spotify:artist:7xiW9eaeH4E6DSiHmsVZOU","Starbuck","2018-08-07","https://i.scdn.co/image/ab67616d0000b273d87e9159034c4dc83f112b7c","1","1","172753","https://p.scdn.co/mp3-preview/44957b7c750843ef676eee088a786ec709c7ca68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:6CtOjeCTHv4CtPzSZfBzsW","Club Beat Internationale","spotify:artist:4QsMPCi0WAq3xazJuYAv0a, spotify:artist:2ZpmnZtkySID9lEeXnRHqc","The Body Snatchers, Goldmouf","spotify:album:4VfmKATfRxPafNp5feOx4t","I Like What I See","spotify:artist:4QsMPCi0WAq3xazJuYAv0a","The Body Snatchers","2009-02-20","https://i.scdn.co/image/ab67616d0000b2738993b72193f0a08cf42bc9d2","1","3","286000","https://p.scdn.co/mp3-preview/6c7c92d6694d876ed97fc12548cbcd613e171370?cid=9950ac751e34487dbbe027c4fd7f8e99","true","15","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:0pJtXpfQQlcv8XvHbWAkeX","Dance of the Fates - Jedi Party Edit","spotify:artist:6ua5bXYLeRXtovhoxtYzdX","Auralnauts","spotify:album:2T5C33qFSoQtHIOB9dXo4q","Dance of the Fates","spotify:artist:6ua5bXYLeRXtovhoxtYzdX","Auralnauts","2018-02-27","https://i.scdn.co/image/ab67616d0000b273d724e18f52130c46d309f8a3","1","1","166286","https://p.scdn.co/mp3-preview/f69ea44efd8fac66a57a2ba6853fcd3447df5382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:74yQlCFJFwoQfyFAEdyE2H","Stop At Nothing","spotify:artist:2uEo8Rajpdz1AqineCVLHq","Mr FijiWiji","spotify:album:7qwptwEDy6uT2DsTOm0nNA","Dogma","spotify:artist:2uEo8Rajpdz1AqineCVLHq","Mr FijiWiji","2016-05-18","https://i.scdn.co/image/ab67616d0000b273fe725b7bcbdbda6bb2b7d654","1","3","298639","https://p.scdn.co/mp3-preview/e3e53d469f6fb9cb7c23f588bdd0d22dae12008d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:5PjGahjJSn0BoikhYcY6DW","Feathers","spotify:artist:1nVIHTQpQ8WroXnbc9TbD5, spotify:artist:5EJxNJGLdKQPfS1MsLPFvg","Fareoh, Archie","spotify:album:1ajs7RYXMpSmnZS7RhdF6i","Full Discography","spotify:artist:5EJxNJGLdKQPfS1MsLPFvg","Archie","2014-04-01","https://i.scdn.co/image/ab67616d0000b273326fb6bb07c7a643c76e9d87","1","9","329986","https://p.scdn.co/mp3-preview/d70217b40ca779de0406f6bd3adc8cca7eb10026?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:40STGWOrh4VsEbujoQrW0w","I Feel Alive","spotify:artist:5k4lMap6Uu97eeWk4TDn88","The Ground Above","spotify:album:0ZBp2BvG0L7w5vcm2tsjS4","Awesomesauce","spotify:artist:5k4lMap6Uu97eeWk4TDn88","The Ground Above","2013-08-21","https://i.scdn.co/image/ab67616d0000b2734ded800f132caaedc6e7110b","1","3","244500","https://p.scdn.co/mp3-preview/eb97f60e0958d579d0c066af02f94fd4cd710dee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:6VRhkROS2SZHGlp0pxndbJ","Bangarang (feat. Sirah)","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3oAazIwC0nAYkOKVQPUC38","Skrillex, Sirah","spotify:album:5XJ2NeBxZP3HFM8VoBQEUe","Bangarang EP","spotify:artist:5he5w2lnU9x7JFhnwcekXX","Skrillex","2011-12-27","https://i.scdn.co/image/ab67616d0000b2736081278cb62df2757d55633b","1","2","215253","https://p.scdn.co/mp3-preview/569d7afebba42141ae4ce4e7bb2012b0b7c0bb51?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:3UwJUTxeAGJALeWYocPgWK","Favorite Lover (Dead Astronauts Theme) - Original Mix","spotify:artist:2DJItX4KCgzrEzCEFp9PTa","Dead Astronauts","spotify:album:6EYqRwUvWh38uIlWkugNA4","Favorite Lover","spotify:artist:2DJItX4KCgzrEzCEFp9PTa","Dead Astronauts","2012-08-28","https://i.scdn.co/image/ab67616d0000b2735a9ae8079372f44f36584931","1","1","291840","https://p.scdn.co/mp3-preview/103b3c21c330d53896cf2bd65702d7df1b2cb335?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:0UfPjyOt5AptH0uRsee0AK","Bliss","spotify:artist:1yz6sL6XIoCOLOJ4HbsRCo","Viscerality","spotify:album:7F9ex9RLtqzg4YHxnbvEkV","Intervention","spotify:artist:1yz6sL6XIoCOLOJ4HbsRCo","Viscerality","2018-02-19","https://i.scdn.co/image/ab67616d0000b2738d2ec74fcdf27c03c87af0b4","1","3","272000","https://p.scdn.co/mp3-preview/bcef408b9725a708037e8c1620d87a68e36e88b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:brenmiester","2020-04-05T11:23:07Z"
"spotify:track:7w8XhJnJIlGfVQqRfwmU9Q","Airglow","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:31ZCKEnNhQJ7xZPJbSXSHN","Liftoff","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","2018-12-07","https://i.scdn.co/image/ab67616d0000b273312f808deb3aa93547422258","1","4","238429","https://p.scdn.co/mp3-preview/059eafaf4ccb3c4c51ad6ca5de97fb3a63ef7680?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2020-04-05T11:23:07Z"
