"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6br178iaXMQcXiNqB1OzBx","Four Twenty","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","spotify:album:5RCUGiRAHdFZZtee6pOAnO","Four Twenty","spotify:artist:7w1eTNePApzDk8XtgykCPS","Malaa","2020-04-30","https://i.scdn.co/image/ab67616d0000b27320dd47d69040a6ef10c19cd9","1","1","204590","https://p.scdn.co/mp3-preview/d50eff54e4b6312b2159ef952e77e03a0e514c30?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:brenmiester","2020-05-10T08:11:01Z"
"spotify:track:4KrATQEoEbKAAY7j0kMDBl","San Frandisco","spotify:artist:205i7E8fNVfojowcQSfK9m","Dom Dolla","spotify:album:66IfXKLEgsVPqwElkk8aeP","San Frandisco","spotify:artist:205i7E8fNVfojowcQSfK9m","Dom Dolla","2019-09-20","https://i.scdn.co/image/ab67616d0000b2736e8eb4b6aa89aedf63f9adfd","1","1","185000","https://p.scdn.co/mp3-preview/b34a5288b3708e975f507aa3958495f6d50f8a21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2020-05-10T08:11:13Z"
"spotify:track:1ijyoI3mHIwccQWNG2zubP","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:7GUbfiSrdAw0FlsQiUlMF8","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734b8dc249baa22aabc5753ec5","1","1","166831","","false","0","spotify:user:brenmiester","2020-05-10T08:11:24Z"
"spotify:track:4kWO6O1BUXcZmaxitpVUwp","Jackie Chan","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:5vQfv3s2Z2SRdPZKr82ABw, spotify:artist:0bdJZl7TDeiymDYzMJnVh2, spotify:artist:246dkjvS1zLTtiykXe5h60","Tiësto, Dzeko, Preme, Post Malone","spotify:album:0vRcQquqBlFvnezWldWfmt","Jackie Chan","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:5vQfv3s2Z2SRdPZKr82ABw","Tiësto, Dzeko","2018-05-18","https://i.scdn.co/image/ab67616d0000b2738c5e26c45a7703cf16f509f7","1","1","215759","https://p.scdn.co/mp3-preview/f50972228ff4d51a25cd88a4d7896eabf5009e30?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:brenmiester","2020-05-10T08:11:32Z"
"spotify:track:04VRjyyVxtFIbdTxV6Mo2Z","It's You - Ridiculous Mix","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:1fhMeWdpzHlOIW0WYmoOC1","It's You","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2013-01-01","https://i.scdn.co/image/ab67616d0000b2736f6104c9ca53e4fd6eb679b3","1","2","235341","https://p.scdn.co/mp3-preview/6c0385a5dfc4d4b9b990fbea761c87d0e1f61d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:brenmiester","2020-05-10T08:12:55Z"
"spotify:track:1q2fGEh9b7KaMPGFXlzVNu","be mine","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","spotify:album:43rLJzld88x4GOkngvq5e7","be mine","spotify:artist:0IYI04P2UzxwxJxvdvKk7P","Laszlo","2020-05-03","https://i.scdn.co/image/ab67616d0000b273fd3d6b99829b2d90d48f89fa","1","1","149511","https://p.scdn.co/mp3-preview/0f7c712c26bf75b3f9b6e28df6b90da200d9dae7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:brenmiester","2020-05-10T08:13:28Z"
"spotify:track:0GiwV6v3AgJfdu59tj719Y","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","spotify:album:3D8C4a5lYbpEu5bPQmOpJj","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2019-09-13","https://i.scdn.co/image/ab67616d0000b27331355fb0f556ede9c6b651cd","1","1","150635","https://p.scdn.co/mp3-preview/ede10efb05e1c442920ee78979616398da220240?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2020-05-10T08:13:54Z"
"spotify:track:4gRAniZdYF2zVrDUsNC9tU","raingurl","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","spotify:album:3YtDhWqQOTOT6XD2DQHpBr","raingurl","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","2017-10-30","https://i.scdn.co/image/ab67616d0000b273df583c7001dc1d0d548867f4","1","1","237231","","false","0","spotify:user:brenmiester","2020-05-10T08:13:56Z"
"spotify:track:0lh5ielvJclx3eimPUA4gI","NRG","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:71Orn22uMw2T1DtunlBmia","Quack","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2013-01-01","https://i.scdn.co/image/ab67616d0000b27397ac0f5fc412b3b19373fac4","1","7","211973","https://p.scdn.co/mp3-preview/b483bf9e4c26de86c32e61213580a548f9d1c5f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:brenmiester","2020-05-14T14:01:09Z"
"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:4pmyFpGicLLIgNPc1TQXKc","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2020-01-23","https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371","1","1","134239","https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:brenmiester","2020-07-02T01:18:33Z"
