"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7eMP9Nkd3dWsc7RujxTDf3","Blackout","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:30GKhHGevD0yoARFzuMZDv","Blackout","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2016-07-06","https://i.scdn.co/image/ab67616d0000b273f5f0ed874888e2505ba86360","1","1","212323","","false","0","spotify:user:brenmiester","2017-01-29T08:27:20Z"
"spotify:track:6Cyc1MlJ85UKlEE1WYWmcF","Melodymania","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:4ALxbRHMIs5DBtnUaE3hBG","Melodymania","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2016-12-05","https://i.scdn.co/image/ab67616d0000b27311ce9419e0e9ac0a3c5b8fcf","1","1","191349","","false","0","spotify:user:brenmiester","2017-01-29T08:28:41Z"
"spotify:track:1rbDgYU4In8OvJHAgE3lXu","All Alone","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:4fv1OFJywZ7DHCz3mVQQ45","Pegboard Nerds, Grabbitz","spotify:album:3QYWUE2jtSiSBsCHzJ3w3e","All Alone","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:4fv1OFJywZ7DHCz3mVQQ45","Pegboard Nerds, Grabbitz","2016-03-16","https://i.scdn.co/image/ab67616d0000b273eef08e9c5d8c7a620e27871c","1","1","246285","","false","0","spotify:user:brenmiester","2017-01-29T09:35:01Z"
"spotify:track:0lsxdqZj5sVGWIKse0xETh","Go Berzerk","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","spotify:album:0of0qWNbNmUck9ODJzBPA3","Nerds by Nature - EP","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2017-01-13","https://i.scdn.co/image/ab67616d0000b2731997f03aceb5147e33e550f8","1","4","207871","","false","0","spotify:user:brenmiester","2017-01-29T09:39:26Z"
"spotify:track:5810gHsjr6sw1XShgPjp2Y","Hype","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","spotify:album:2TUG3Mc3qLBqx89cQVctjr","Hype","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","2017-01-27","https://i.scdn.co/image/ab67616d0000b273c9e970de305bc64431d57198","1","1","182812","","false","0","spotify:user:brenmiester","2017-01-30T02:56:10Z"
"spotify:track:5ERWSokrBWx8sUwHV6QN93","Surface","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","spotify:album:1zN6UAifpSmyow9TbLBRwD","Surface","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","2014-04-23","https://i.scdn.co/image/ab67616d0000b27342bcc4bb60ad21adf79d9802","1","1","254117","","false","0","spotify:user:brenmiester","2017-01-30T02:56:26Z"
"spotify:track:4WhJIrDvdLE8BzD1cY3gFC","Boundless","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","spotify:album:3bt3sBSkit0Xfbttn6HzNj","Boundless","spotify:artist:6lO3fSdhsdpeOcrbqAJsRU","Aero Chord","2014-10-06","https://i.scdn.co/image/ab67616d0000b27375bbe7e628cb9ccca14ca1dc","1","1","192705","","false","0","spotify:user:brenmiester","2017-01-30T02:56:37Z"
"spotify:track:3ctALRkR72C3EKav4HgePA","Party","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","spotify:album:4ByCXxtIljpFRdRjivfi5L","Party","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","2016-07-22","https://i.scdn.co/image/ab67616d0000b273afde9fc83f5fbb4bbebddff3","1","1","219375","","false","0","spotify:user:brenmiester","2017-01-30T02:56:42Z"
"spotify:track:2l9RUDEOpEBjvcthJm5GtO","New Game","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","spotify:album:5hPUSQwyvuPQErZsaZGW7s","New Game","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","2014-02-10","https://i.scdn.co/image/ab67616d0000b273b19b5b156bd536a0096fe88e","1","1","259355","","false","0","spotify:user:brenmiester","2017-01-30T02:56:52Z"
"spotify:track:5Dk2YjSwm9U2WC1nsFuwrD","Bring the Madness (Noisestorm Remix) [feat. Mayor Apeshit]","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:006vxZB858jX6ETI6mfDFA","Excision, Pegboard Nerds, Mayor Apeshit","spotify:album:07DBKt4nLGtCmbsCN2paNM","Bring the Madness (The Remixes)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Excision, Pegboard Nerds","2015-03-23","https://i.scdn.co/image/ab67616d0000b27367081ee07f605f27e56fc971","1","2","240000","","false","0","spotify:user:brenmiester","2017-01-30T02:56:57Z"
"spotify:track:6Pyn4hhu3fKRAWRDMk0dcl","Bring the Madness (feat. Mayor Apeshit)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:006vxZB858jX6ETI6mfDFA","Excision, Pegboard Nerds, Mayor Apeshit","spotify:album:5NO5g1Du4nAMgjl8omNb8G","Bring the Madness (feat. Mayor Apeshit)","spotify:artist:5FKchcZpQOkqFvXBj1aCvb, spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Excision, Pegboard Nerds","2015-01-19","https://i.scdn.co/image/ab67616d0000b273f9831375a844dab4d1ecb2ed","1","1","205172","","false","0","spotify:user:brenmiester","2017-01-30T02:59:00Z"
"spotify:track:1mPPo1eG1joz3HX0Ecw9LL","Hero (feat. Elizaveta)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:2a9bCkqCkLvXM0s3uPvR7M","Pegboard Nerds, Elizaveta","spotify:album:0g6vKvyIdGyHabW4tJVqB6","Hero (feat. Elizaveta)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2014-03-17","https://i.scdn.co/image/ab67616d0000b2733bddd8866b977eec1aaa85b6","1","1","330400","","false","0","spotify:user:brenmiester","2017-01-30T02:59:14Z"
"spotify:track:7pIi7ueI934UBmmMrEB1ti","Bassline Kickin","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:2SElQCukcVPVrNsoDhbkqf","Bassline Kickin","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2014-01-15","https://i.scdn.co/image/ab67616d0000b273e07bd6c93aa7a5c337a58eba","1","1","237187","","false","0","spotify:user:brenmiester","2017-01-30T02:59:25Z"
"spotify:track:2jflhiAofkyURpZAqcqoq6","BADBOI","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:3mulBjYvvCjYfdjKrv8PdM","BADBOI","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2014-08-18","https://i.scdn.co/image/ab67616d0000b273e16fffd4a11a94037db70250","1","1","190545","","false","0","spotify:user:brenmiester","2017-01-30T02:59:46Z"
"spotify:track:6J3b9IWqLgBuQhg4gv5lk1","New Style","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:06BJn3NgWWvtUdlfSRjQ2T","New Style","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2014-07-23","https://i.scdn.co/image/ab67616d0000b2737fa80aef5d498a802479bf21","1","1","240000","","false","0","spotify:user:brenmiester","2017-01-30T02:59:52Z"
"spotify:track:60PzHntXwV2qGk6MRVIcJG","High Roller - Dodge & Fuski Remix","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:3Fe5n1HNeOPaDPwcPIx6Qc","Pegboard Nerds, SPLITBREED","spotify:album:7bzCLn3bjLPRQrsTBIJDvB","High Roller Remixes","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2013-11-25","https://i.scdn.co/image/ab67616d0000b2737dfca2a3f74f3232e2fdb60f","1","1","192000","","true","0","spotify:user:brenmiester","2017-01-30T03:00:53Z"
"spotify:track:6J3XVH0zUVVhAE6c4I64UE","Superstar (feat. Krewella)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:76M2Ekj8bG8W7X2nbx2CpF, spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Pegboard Nerds, NGHTMRE, Krewella","spotify:album:0fJOLDjcYDparJceeuuRVo","Superstar (feat. Krewella)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:76M2Ekj8bG8W7X2nbx2CpF","Pegboard Nerds, NGHTMRE","2016-04-04","https://i.scdn.co/image/ab67616d0000b2737ee517ca858d6f8f99562051","1","1","204800","","false","0","spotify:user:brenmiester","2017-02-03T01:02:52Z"
"spotify:track:4vZXhME0XduqiJif4HZBXt","Pixel","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","spotify:album:1YlLhiC9tiIRKwZ2NCma25","Pixel","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","2016-12-02","https://i.scdn.co/image/ab67616d0000b2735338b0948af8afce57cdcfc5","1","1","198545","","false","0","spotify:user:brenmiester","2017-02-03T01:03:02Z"
"spotify:track:5kWGyRqNMRCaKHBljnpcPo","Soldier","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","spotify:album:3qHVm6pBowX9RaOF1Dxola","Soldier","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2016-06-22","https://i.scdn.co/image/ab67616d0000b273c39575f9a1e454984f321530","1","1","194482","","false","0","spotify:user:brenmiester","2017-02-03T01:03:07Z"
