"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0plo6KjgjTcRhj7Fn8oemk","We Will Fall Together","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:0uecz2X2V83TuxOwJv7mgg","Somewhere in the Between","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2007-11-13","https://i.scdn.co/image/ab67616d0000b2739d9468ab048a4110a71eeab7","1","1","289293","https://p.scdn.co/mp3-preview/361c7eab9357b22e8b54f0ded0c5ebfc7704dba7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2020-07-15T01:06:17Z"
"spotify:track:2xrRBqEanoBaA0tOgYy18V","The Three of Us","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:3sZ300pdz8v0l1Jd4NFQbY","The Hands That Thieve","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2013-04-30","https://i.scdn.co/image/ab67616d0000b2739f613468da45d75bac9cb546","1","1","318013","https://p.scdn.co/mp3-preview/897c8438913a38abc8685c9de04c56cb8e9ab058?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2020-07-15T01:06:21Z"
"spotify:track:0TZ1MAPCWb2jpaKzS5Muyz","Everything Went Numb","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:5slTcrsJ9B8Q4q8rA135XE","Everything Goes Numb","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2003-08-26","https://i.scdn.co/image/ab67616d0000b27302c5106bd25321cd34e96bb8","1","1","209973","https://p.scdn.co/mp3-preview/27989f14f5a087522a50fb105c173af3ab076c53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-07-15T01:06:31Z"
"spotify:track:0bAYJxEe6ate8gL0G2qj1B","One Step Beyond","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:62PbN36OHqQHZjys7VAAwL","One Step Beyond","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1979-10-19","https://i.scdn.co/image/ab67616d0000b2737a14205f4a11ddd93cb5473d","1","1","138146","https://p.scdn.co/mp3-preview/85c6a097364160785b78bffe81d75e43552070b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:brenmiester","2020-07-16T09:11:38Z"
"spotify:track:5j4RaTG3kjLlreau6KjLrf","Baggy Trousers","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:7DN8tkywunLcrc1HeerarG","Absolutely","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","1980-09-26","https://i.scdn.co/image/ab67616d0000b2736aa418f7f46c2a853e312f5b","1","1","166760","https://p.scdn.co/mp3-preview/537d7b5f055c07023365fa0effa2b13fc403ceb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:brenmiester","2020-07-16T09:11:38Z"
"spotify:track:0wQbAxlv3bbDJrlVcViR2Q","House of Fun - 2009 Remaster","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","14","166040","https://p.scdn.co/mp3-preview/153dbb9c85d692936fccd5c4649b717441d38588?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2020-07-16T09:11:38Z"
"spotify:track:2DQlUfSpLxKLOtgntr0gCF","Wings of a Dove","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","spotify:album:2N3P3puXfpXFV6mpJzmJqO","Full House - The Very Best of Madness","spotify:artist:4AYkFtEBnNnGuoo8HaHErd","Madness","2017-11-17","https://i.scdn.co/image/ab67616d0000b273c8acae2604249c4add4e0726","1","18","179293","https://p.scdn.co/mp3-preview/d90df08a05a188ef5ea13cba19346b5ac2302dd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brenmiester","2020-07-16T09:11:38Z"
"spotify:track:0AxiIK13LDekg469wOuhIJ","Me and Julio Down by the School Yard","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:38HGFXuY2NjAgKC9qr8Bya","99 Songs of Revolution Vol. 1","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2010-03-16","https://i.scdn.co/image/ab67616d0000b2738197759fb901c5b6bb426b44","1","7","147093","https://p.scdn.co/mp3-preview/86f1a1692c91c470d4218f7b479d09fb774a7de1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2020-07-16T09:13:14Z"
"spotify:track:5dRfBz5ZXJc5gZJsNM04nn","A Message to You Rudy - 2002 Remaster","spotify:artist:6xnvNmSzmeOE1bLKnYXKW3","The Specials","spotify:album:7kHtInr7Es2tPk5QJO6y6c","The Specials (2002 Remaster)","spotify:artist:6xnvNmSzmeOE1bLKnYXKW3","The Specials","1979-11-01","https://i.scdn.co/image/ab67616d0000b273d91ec3edb2f08fe086b699d1","1","1","172600","https://p.scdn.co/mp3-preview/ff7302e2735fb71cc379ca6ba6a3c8795830748e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2020-07-16T14:01:21Z"
"spotify:track:4Pmo0mMgiyBCj1Zd7Axsi1","Sound System - 2007 Remaster","spotify:artist:18XRGxd1b484f2h06cwvJJ","Operation Ivy","spotify:album:2Rv1kIWFeIYeq8kAtdhY6m","Operation Ivy (2007 Remaster)","spotify:artist:18XRGxd1b484f2h06cwvJJ","Operation Ivy","1989","https://i.scdn.co/image/ab67616d0000b27336d7e05158cd52a1437dc4a1","1","2","134026","https://p.scdn.co/mp3-preview/bd80c04c7e8e9df2120451908fa6a630163e9dec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:brenmiester","2020-07-17T08:25:31Z"
"spotify:track:2lbAU3IQytWjl9b0LLuztk","Brown Eyed Girl","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","spotify:album:4E6vvYqvW4tq4KEmRxbXNt","Fame, Fortune, And Fornication","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","2009-01-19","https://i.scdn.co/image/ab67616d0000b27325472fb9f94f6fa7670cbc4d","1","5","184840","https://p.scdn.co/mp3-preview/84e142de20b8387536dc838df7c766ae4eaca7a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:brenmiester","2020-07-17T08:25:59Z"
"spotify:track:0wZuFLzQhVAJU9JSmdixTE","Super Rad!","spotify:artist:0WgiEOrXlaXJGHKhkd9s4s","The Aquabats!","spotify:album:3ytuNr6VyEkILS2PG14LCM","The Fury of the Aquabats!","spotify:artist:0WgiEOrXlaXJGHKhkd9s4s","The Aquabats!","1997-10-28","https://i.scdn.co/image/ab67616d0000b273fefabd0399831305e932cca4","1","1","182800","https://p.scdn.co/mp3-preview/ddc6d0c8a024c98a309cd8dd081ca07dddf74d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2020-07-17T08:26:15Z"
"spotify:track:4Z4xFENnvMnRDPpAx5wpaO","Come on Eileen","spotify:artist:1PAi6SNPtaiFqTRiTfecFr","Save Ferris","spotify:album:1AiVqGWu6HcyLYuB0BMvcS","It Means Everything","spotify:artist:1PAi6SNPtaiFqTRiTfecFr","Save Ferris","1997-08-25","https://i.scdn.co/image/ab67616d0000b2730c42c6f0a7fff0dbe2711ae9","1","4","249133","https://p.scdn.co/mp3-preview/b3086f1a4506791ee98fc6a5b25736bb835047c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:brenmiester","2020-07-17T08:26:38Z"
"spotify:track:1hh4GY1zM7SUAyM3a2ziH5","All My Best Friends Are Metalheads","spotify:artist:20oQv3LStCKCjI9oQ0JNha","Less Than Jake","spotify:album:2F9QXXQKnqqyzI1u4UK1Ss","Hello Rockview","spotify:artist:20oQv3LStCKCjI9oQ0JNha","Less Than Jake","1998-01-01","https://i.scdn.co/image/ab67616d0000b2730a1dfe2893823501b045319d","1","3","211400","https://p.scdn.co/mp3-preview/0dbf1a24abb41719f550a8ce76cf1a3beb40a01b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:brenmiester","2020-07-19T07:16:42Z"
"spotify:track:7M86b1WHyyGFkKO3XO1uwb","On and On","spotify:artist:5UDSYxxqcF7prMrO2opRhu","Mustard Plug","spotify:album:423bYBpPMVSCvSfLr8DSdn","In Black And White","spotify:artist:5UDSYxxqcF7prMrO2opRhu","Mustard Plug","2007-09-11","https://i.scdn.co/image/ab67616d0000b27305dce56636aa2e0d6e6b95a1","1","9","137960","https://p.scdn.co/mp3-preview/2fbbe27cfb3970c47f3602418b5303fbf34812a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2020-07-19T07:16:52Z"
"spotify:track:7vPLB09s3XNhIM5S5wF1Si","Everyone Else Is An Asshole","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","spotify:album:72eMAJyqlTHKt8onRAZPVO","Candy Coated Fury","spotify:artist:3bXhZFreBJF4QDUUiMmtZW","Reel Big Fish","2012-07-30","https://i.scdn.co/image/ab67616d0000b2736e7ad109dbf738033f6b8664","1","1","251093","https://p.scdn.co/mp3-preview/abb0baab74b0d1147d27c31ffa46cf88486e325c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:brenmiester","2020-07-19T07:17:14Z"
"spotify:track:0rOTMSSa6yscfOrGnzfheM","99 Red Balloons","spotify:artist:7sVQKNtdP2NylxMgbNOJMM","Goldfinger","spotify:album:3T8jR4mkcdaLCsyaP8nQ1r","Stomping Ground","spotify:artist:7sVQKNtdP2NylxMgbNOJMM","Goldfinger","2000-03-28","https://i.scdn.co/image/ab67616d0000b2735f6eca66c3be82e255b2e85f","1","13","229173","https://p.scdn.co/mp3-preview/41f98ca506aae7fed4fff97ed68d4fc24199ac75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2020-07-19T07:17:37Z"
"spotify:track:4XLgiO2wHzSahRD1LMWcvc","Beatdown Generation","spotify:artist:674oSgXMvyLNHMGQKHcUpp","Millington","spotify:album:00mGLtTXb6AxQjwGTec0Ud","Beatdown Generation","spotify:artist:674oSgXMvyLNHMGQKHcUpp","Millington","2020-04-17","https://i.scdn.co/image/ab67616d0000b273270ef4d60a901168161c0e63","1","4","194825","https://p.scdn.co/mp3-preview/c15b04c1a74a4f84289c86ff0b78ef856db110b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:brenmiester","2020-07-19T14:23:46Z"
"spotify:track:4zypNnJbJcGY7ccnJpAUA8","On & On & On","spotify:artist:1xgA0hENxpykh3AxlMBjlT","Catch 22","spotify:album:3qr6t93uRL9vO4VSIEziCF","Keasbey Nights","spotify:artist:1xgA0hENxpykh3AxlMBjlT","Catch 22","1998","https://i.scdn.co/image/ab67616d0000b273835f81b64513a3325d0d83ae","1","7","194146","","false","0","spotify:user:brenmiester","2020-07-19T14:23:58Z"
"spotify:track:2KyeLD6a0JH1iWykA7uyvj","cold weather","spotify:artist:4gHs8pWsgZpndQZKs6QVRH","glass beach","spotify:album:1KroMxmb0vktMfKOIADGyq","the first glass beach album","spotify:artist:4gHs8pWsgZpndQZKs6QVRH","glass beach","2019-05-18","https://i.scdn.co/image/ab67616d0000b273b3671491bcbfce7c3208f857","1","6","138119","","true","32","spotify:user:brenmiester","2021-06-22T00:25:28Z"
