"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0Pie5DFAHHxpkONFUsAI6s","Aneurysm","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:6ICrBzsbHVluGHP8wGK4Y3","Incesticide","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1992-01-01","https://i.scdn.co/image/ab67616d0000b273e1f5fcef5fb5f70aa0a717fc","1","15","275600","https://p.scdn.co/mp3-preview/75a69b3b2b7811d3156e9d70da8cab54117565c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2021-03-16T07:42:25Z"
"spotify:track:2HwlvOkwACOGFySnp16b9l","This Heart Attack","spotify:artist:0RaO9p4AomXaVUXzV8SPVW","Faker","spotify:album:0AOg1ZrWAG6es29UAhrWyS","Be The Twilight","spotify:artist:0RaO9p4AomXaVUXzV8SPVW","Faker","2007-11-17","https://i.scdn.co/image/ab67616d0000b2732f1e7b0fd35891f96d2fc6ef","1","1","227694","https://p.scdn.co/mp3-preview/9147c1d60a90ce09b77dfa5953a6858a795ca1dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2021-03-16T07:42:40Z"
"spotify:track:0w7lKfhxW190u1ckXi45E9","Brighton Rock - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:1Gnrd76EubInPV4KjOJ1Zr","Sheer Heart Attack (Deluxe Edition 2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1974-11-08","https://i.scdn.co/image/ab67616d0000b27309e2ec500166cf2d5ac21050","1","1","310013","https://p.scdn.co/mp3-preview/ad2f1e730f728b9209d5bde6bdecfb29996adf56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2021-03-16T07:42:52Z"
"spotify:track:3sP3c86WFjOzHHnbhhZcLA","Give Your Heart a Break","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","spotify:album:1ypH0eU9RcE6wngSGSqmeY","Unbroken","spotify:artist:6S2OmqARrzebs0tKUEyXyp","Demi Lovato","2011-01-01","https://i.scdn.co/image/ab67616d0000b27383fc43cfc25d836e17f8cc30","1","10","205346","https://p.scdn.co/mp3-preview/7f7735621f33f7b2cbc550b3189c3827e3936497?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:brenmiester","2021-03-16T07:53:46Z"
"spotify:track:1VCPMS3Kkn7sK1JI1tMrds","Next Life Already","spotify:artist:1ououJVWgWsHWMYDLvT7sH","Ball Park Music","spotify:album:6PLgLaRKYnwKSrVf5o7BMs","Puddinghead","spotify:artist:1ououJVWgWsHWMYDLvT7sH","Ball Park Music","2014-04-04","https://i.scdn.co/image/ab67616d0000b273a913248fe86fb10d2189ac06","1","2","134413","https://p.scdn.co/mp3-preview/22bd2e075bc9ca8cf897db48c0d76504e4b6bd09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T12:43:36Z"
"spotify:track:2x5FYXo5rL4Phmn3UPdkK3","Touch Me I'm Sick","spotify:artist:7LuYiSXiWs86rwWJjEEgB9","Mudhoney","spotify:album:318b6Is2MnqkuL079NnPko","Superfuzz Bigmuff (Deluxe Edition)","spotify:artist:7LuYiSXiWs86rwWJjEEgB9","Mudhoney","1988-10-01","https://i.scdn.co/image/ab67616d0000b273ee12dbf5c60f5da6ff45636b","1","1","152706","https://p.scdn.co/mp3-preview/0f4171c6112b57ac45aae75a86a604baaeff3474?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T12:44:12Z"
"spotify:track:0LWFVzie9hQXS2IbiTzdKb","Here Comes Sickness","spotify:artist:7LuYiSXiWs86rwWJjEEgB9","Mudhoney","spotify:album:7esbrTUHBVIIv5HUBZfMoo","Mudhoney","spotify:artist:7LuYiSXiWs86rwWJjEEgB9","Mudhoney","1989-11-01","https://i.scdn.co/image/ab67616d0000b2739501379ef2d1718f85491d95","1","7","221000","https://p.scdn.co/mp3-preview/dfd8f45090d17559b15e378933cbdf46588d7706?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T12:44:17Z"
"spotify:track:5NoQvINZLBV1wMYPdNmReL","I Wanna Be Sedated","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","spotify:album:43zbrwwFHh5e7cmDQomx8Z","Road to Ruin (40th Anniversary Deluxe Edition)","spotify:artist:1co4F2pPNH8JjTutZkmgSm","Ramones","1978","https://i.scdn.co/image/ab67616d0000b273072ee11a51e23f861c54cef9","1","7","149786","https://p.scdn.co/mp3-preview/a317a5a0c0599a999291b478e1587a7de72d73d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T12:44:27Z"
"spotify:track:3AA8xNhDC0MpqwkGX3EP5V","If I Ever Feel Better","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:5MBUL8d9FAYCCMrogOFX68","United","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2000-03-06","https://i.scdn.co/image/ab67616d0000b273fd7121d725a0e4aafd4fe785","1","4","266600","https://p.scdn.co/mp3-preview/1a42fab99c251f09cc72a7c9a37f37f57383eb2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T12:45:56Z"
"spotify:track:28c4nfBHdb3xviamRCEsIe","Feel the Pain","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","spotify:album:0yxM1OyaFOZiJhi9eNThE4","Without a Sound","spotify:artist:267VY6GX5LyU5c9M85ECZQ","Dinosaur Jr.","1994-08-23","https://i.scdn.co/image/ab67616d0000b2739603b77b234e8b1a8e9e8cb1","1","1","259600","https://p.scdn.co/mp3-preview/8b43d4e3c6b8ad7c07c91aede3ff0700e7833dee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:22a7ckk4smaphrorrsbilr3ma","2021-03-16T21:49:05Z"
