"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4W6EtckEBKuDEYzGB2WGq8","Out There","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:7b1FMiWXZwOBsxi0uWw6wH","CloudNone, Elle Vee","spotify:album:7H5uFll4WaT7jHrNccWnc1","Out There","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:7b1FMiWXZwOBsxi0uWw6wH","CloudNone, Elle Vee","2019-04-26","https://i.scdn.co/image/ab67616d0000b27383cbd0a01c6f96ad61dc3335","1","1","264566","https://p.scdn.co/mp3-preview/165f543c8ff10bac0c5e0f1e7af45e5e3a236ead?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:brenmiester","2019-04-26T18:14:27Z"
"spotify:track:5KCh22xZr8SjxeqdgNb8Pg","Fall in Love","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","spotify:album:7sfMSW6rDsjOt5nZmBeqEd","Ultra Groove Product","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","2019-01-15","https://i.scdn.co/image/ab67616d0000b273cd366700f831b0625431d1c9","1","5","211875","https://p.scdn.co/mp3-preview/a16d91078aea06e7e4c204fdfb6a733d8f788060?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2019-04-26T18:14:51Z"
"spotify:track:1iDbUIQcRyUpl1K1WPZOVW","Go Like - D&B Remix","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:5VokA0mycgNe0K8GztiodD","Go Like (D&B Mix)","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2019-04-26","https://i.scdn.co/image/ab67616d0000b2731c1f66a42c3ebe2453fe7abc","1","1","202325","https://p.scdn.co/mp3-preview/e2e661edc9e8ae786015185a64c82b8a64672bc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2019-04-26T18:15:30Z"
"spotify:track:0m4donue5KgOq9D9s6wfTu","Horse","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","spotify:album:0z5OpRRF8NPklLH8p1T3fo","Horse","spotify:artist:5PdkRVDASsw6P7QoqRpz0F","Salvatore Ganacci","2019-04-17","https://i.scdn.co/image/ab67616d0000b273fcdcb662bbde2f86d5e99f8b","1","1","173588","https://p.scdn.co/mp3-preview/a96ff39f2b2de50173612d3edf51b26a7a6b7af3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:brenmiester","2019-04-26T18:15:37Z"
"spotify:track:3cZt6DR3olI5DVXTCrfp3U","Indie Girl","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","5","178750","https://p.scdn.co/mp3-preview/0c7eabb69cfecd26a953d9c9f120dc4ff2f37ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brenmiester","2019-04-26T18:15:56Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","5","188493","https://p.scdn.co/mp3-preview/46c19d324587898577a1974b8bdc2d5db88a5c65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2019-04-26T18:16:22Z"
"spotify:track:3DPFmwFtV5ElQaTniLOdgk","Hunnybee","spotify:artist:1LeVJ5GPeYDOVUjxx1y7Rp","Unknown Mortal Orchestra","spotify:album:7c2Xfq7aQKzs0KdSI3K7Rc","Sex & Food","spotify:artist:1LeVJ5GPeYDOVUjxx1y7Rp","Unknown Mortal Orchestra","2018-04-06","https://i.scdn.co/image/ab67616d0000b273aa839bb04931542d830c73b1","1","4","268333","","false","50","spotify:user:brenmiester","2019-04-26T18:16:39Z"
"spotify:track:43ENOabUecCUlWWq7PpOcF","Eternal Groove","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","spotify:album:7gxl2zKb0fgUBYzvoEla8Y","The B-Sides","spotify:artist:3D4WFT29xe0sfSkXNvpmRG","Android52","2017-03-08","https://i.scdn.co/image/ab67616d0000b273caacdd1931c0b29afbc44f91","1","5","169090","https://p.scdn.co/mp3-preview/ac2cb503418e66f334c19166680d61d4c76ce6fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:brenmiester","2019-04-26T18:16:56Z"
"spotify:track:2qOS00vav7CVkOwfkkXktG","Hot","spotify:artist:1bgWqGp78w6C8CNPvD6Qlo","FWLR","spotify:album:0nWLHsJI3g8wJrjKpqeuBS","Hot","spotify:artist:1bgWqGp78w6C8CNPvD6Qlo","FWLR","2019-04-04","https://i.scdn.co/image/ab67616d0000b273008f611fd0bc2e29e9f62e28","1","1","170481","https://p.scdn.co/mp3-preview/b54e913907becf1e78b8882e37aec3871791e616?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2019-04-26T18:17:58Z"
"spotify:track:0R91pCwK7raH435DEwVmUP","Talk - Single Edit","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:4iD7DpdWTouqXzS31tvJcV","Satellite","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-04-24","https://i.scdn.co/image/ab67616d0000b273a4cba7e0e2786653d9d7b6cc","1","2","216503","","false","0","spotify:user:brenmiester","2019-04-27T02:50:54Z"
