"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0KlahhzNb98zyN83Vwae0l","Untouched","spotify:artist:1dIdBZaaHRW2bDTkHNfWln","The Veronicas","spotify:album:6aL2SwYj5kSEvIcYORHP37","Hook Me Up (US Version)","spotify:artist:1dIdBZaaHRW2bDTkHNfWln","The Veronicas","2007-10-30","https://i.scdn.co/image/ab67616d0000b2730f3819fd1601ca0421194d32","1","1","255360","https://p.scdn.co/mp3-preview/fb84edfdb234efae52105e6c50b1b0bfe4844665?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","5","266773","https://p.scdn.co/mp3-preview/26ad91af2f13c2b7729cbc70856ce43f4c790a7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:3Y0VSWTyXPeOevtxyLSoYl","Someday, Someday - Single Version","spotify:artist:0tTLmQvo0tn8vYlpJpA2no","Thirsty Merc","spotify:album:072utlEOllVDlIr9hSsqR7","Someday, Someday","spotify:artist:0tTLmQvo0tn8vYlpJpA2no","Thirsty Merc","2005-11-02","https://i.scdn.co/image/ab67616d0000b2734c2b9e09c361737d3f2f4eec","1","1","221680","https://p.scdn.co/mp3-preview/f42b434195a39f2cf602eb7b10ae09333c833857?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:2bfGNzdiRa1jXZRdfssSzR","Dirty Harry","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","spotify:album:0bUTHlWbkSQysoM3VsWldT","Demon Days","spotify:artist:3AA28KZvwAUcZuOKwyblJQ","Gorillaz","2005-05-23","https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf","1","5","230426","https://p.scdn.co/mp3-preview/7409d884124b837930e01f79fbeaaf7838640e8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:popmob","2021-08-04T00:06:05Z"
"spotify:track:1vxw6aYJls2oq3gW0DujAo","Crazy","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","spotify:album:5I0Wf7lRLZArM1K2uQ1AEA","St. Elsewhere","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","2006-04-24","https://i.scdn.co/image/ab67616d0000b2732cb3f40f7d4114236061f77f","1","2","177466","https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:4ECvB9frSDegHfKNRh9dwT","4ever","spotify:artist:1dIdBZaaHRW2bDTkHNfWln","The Veronicas","spotify:album:0iFKQKmkSxKjoKvI6j45to","The Secret Life Of... (U.S. Version)","spotify:artist:1dIdBZaaHRW2bDTkHNfWln","The Veronicas","2005-10-18","https://i.scdn.co/image/ab67616d0000b273dd5ead55bbde87d6f73b86ef","1","1","208973","https://p.scdn.co/mp3-preview/8b8fb4107761d9360170ed7d46775de92eb8f8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","2","334666","https://p.scdn.co/mp3-preview/bc8d37532bace773a946ed1ab59f4181e632d93a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:6zsk6uF3MxfIeHPlubKBvR","Get Ur Freak On","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","spotify:album:20t54K6C80QQH7vbcpfJcP","Miss E... So Addictive","spotify:artist:2wIVse2owClT7go1WT98tk","Missy Elliott","2001-05-14","https://i.scdn.co/image/ab67616d0000b2732e3969990abe1229c0879a7b","1","5","211120","https://p.scdn.co/mp3-preview/377a872a710350a8aa969597d4a5a9979fa37d54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:popmob","2021-08-03T22:26:43Z"
"spotify:track:0ujklxrVM2jwpLMgbTwTd1","Black Fingernails, Red Wine","spotify:artist:3yW6jTzGjHUUkLvLkjLOVn","Eskimo Joe","spotify:album:4PXy3cBCNeY0ZVKTOGi9Cw","Black Fingernails, Red Wine","spotify:artist:3yW6jTzGjHUUkLvLkjLOVn","Eskimo Joe","2006-06-10","https://i.scdn.co/image/ab67616d0000b27394e91cb353f83a901f97c6d6","1","3","249866","https://p.scdn.co/mp3-preview/0b063a1c9203547bef526db2fb0084ed5d97f787?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:popmob","2021-06-08T05:25:05Z"
"spotify:track:4faFAhOflLzhfJECveRwva","Lonely No More","spotify:artist:3aBkeBhwadnWMWoVJ2CxJC","Rob Thomas","spotify:album:07hC5JSKAodpBIVR6A772E","Something to Be","spotify:artist:3aBkeBhwadnWMWoVJ2CxJC","Rob Thomas","2005-04-05","https://i.scdn.co/image/ab67616d0000b273db3d7550e11f7a132fb81c9f","1","2","226640","https://p.scdn.co/mp3-preview/5a1d66e572779d7e2f49a0784af33213cc6cab05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:popmob","2021-06-08T05:25:05Z"
