"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1yqVBcyQS203ZSFGkIWEEm","Tourniquet","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","spotify:album:2Ha5B3dapothPfMP9gWvQB","100% No Modern Talking","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","2012-08-01","https://i.scdn.co/image/ab67616d0000b273ed2a0b49e0be66b06fcc63b5","1","3","317474","https://p.scdn.co/mp3-preview/07216f1c0caee4cdba02f7b883c94d1ee37d50f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:4oiCAn86p4MjLRj6dHm0cM","What A Great Night","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:3hhsUxpI0FiklhuQSriOfL","The Hard Road","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2006-01-01","https://i.scdn.co/image/ab67616d0000b2737aca8a866c26f0bec9a3fe1d","1","7","187133","https://p.scdn.co/mp3-preview/f4c4d0c9b0e7bb351ea604421d74e8ff3226630a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:1hQ1B4a3GjyqAdexJnpq5T","Do What You Want","spotify:artist:1zTAQ6zkGz2L2i6lfR30EX","The Presets","spotify:album:49AKBTCbQuHJm2w5G6MlPj","Hi Viz","spotify:artist:1zTAQ6zkGz2L2i6lfR30EX","The Presets","2018-06-01","https://i.scdn.co/image/ab67616d0000b27346fc4fa20347d7ea7b60bef1","1","2","181133","https://p.scdn.co/mp3-preview/cb7eaa0e66f4895134a95afa928c7ec0b0a8adbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:5YafRUAwbPTPVPK0hbr2bA","Wild Out (feat. Waka Flocka Flame & Paige)","spotify:artist:7u160I5qtBYZTQMLEIJmyz, spotify:artist:6f4XkbvYlXMH0QgVRzW0sM, spotify:artist:3vil7cjxTR0gUmO5eP5Ihy","Borgore, Waka Flocka Flame, Paige","spotify:album:5FmmZdesWjfTjogXaovgX0","Wild Out (feat. Waka Flocka Flame & Paige)","spotify:artist:7u160I5qtBYZTQMLEIJmyz","Borgore","2013-10-15","https://i.scdn.co/image/ab67616d0000b273c798aa30102d823759cc5001","1","1","254545","https://p.scdn.co/mp3-preview/e9dcf12e4ae9ba9cc6b649473095a687a10d4146?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:520GQFgzhdkCYEhRqq52wc","Kraken","spotify:artist:2DuJi13MWHjRHrqRUwk8vH, spotify:artist:0iSYvHKAdhWVdZkS1PYK3u","Knife Party, Tom Staar","spotify:album:740hX5rDrOOAlfbcm2PPPz","Trigger Warning","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","2015-11-20","https://i.scdn.co/image/ab67616d0000b273562d396a2d3340034b0ee77a","1","3","290797","https://p.scdn.co/mp3-preview/0ef95162d81d8be59c01d803399c0bd2a1439b18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:6unkMimkwQYlGVWj8J5Gvi","Breakout","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t, spotify:artist:0sQ1wgSdRpoysgsa1VnI4G","Noisestorm, Foreign Beggars","spotify:album:3IyCxYTMrC0MyG5ZRp8VZy","Breakout","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t, spotify:artist:0sQ1wgSdRpoysgsa1VnI4G","Noisestorm, Foreign Beggars","2018-10-01","https://i.scdn.co/image/ab67616d0000b273a88cbbf8aec2fa7dcbb951aa","1","1","181333","https://p.scdn.co/mp3-preview/8e2d5c6ec5bb7439b941072fa7177677535db9de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:57p8CBvPOxrvyCbn6ttl5r","Would You Ever","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3JXpwnHbLvXxY99EuXqFPX","Skrillex, Poo Bear","spotify:album:2czvZrAe1DWj6uc4iOqtJX","Would You Ever","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3JXpwnHbLvXxY99EuXqFPX","Skrillex, Poo Bear","2017-07-26","https://i.scdn.co/image/ab67616d0000b273c2896a061e50f35f97337512","1","1","234285","https://p.scdn.co/mp3-preview/6ffd345e1780495036cca73b343718052d4cab71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:26gEW3DUEK0n8n5fvnYrPE","Leave Me Lonely","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","spotify:album:4ROQFvVOISvh3ypktsynm1","The Great Expanse","spotify:artist:7dlqUnjoF2U2DkNDMhcgG4","Hilltop Hoods","2019-02-22","https://i.scdn.co/image/ab67616d0000b27356c049718b5e3590a656fe74","1","3","194773","https://p.scdn.co/mp3-preview/00c93c13b4bca3d985c7daee77b62900894b1e6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:2NvBw1uhQZjyXsjVnABkOu","404","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","spotify:album:4nJ76bL34FuDPuFHafIJFm","Abandon Ship","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","2014-10-27","https://i.scdn.co/image/ab67616d0000b273f75285aee646b314ce8c3caf","1","5","298600","https://p.scdn.co/mp3-preview/47699b3333a724e4d022bcc76362c530a369d0f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2019-07-31T02:02:30Z"
"spotify:track:5rdQMbAMoE6rQwS02dMGpL","Loose Ends","spotify:artist:3ZGr7nQBXDU2WhyXgRVbt0","Sticky Fingers","spotify:album:0OLj4wFSHD8DQ6L0HMFu3A","Yours To Keep","spotify:artist:3ZGr7nQBXDU2WhyXgRVbt0","Sticky Fingers","2019-02-08","https://i.scdn.co/image/ab67616d0000b273465584d276e2d71d1c30f27d","1","2","192175","https://p.scdn.co/mp3-preview/03a543890d53bbae94f301ddda347a56f4a588e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:brenmiester","2019-07-31T02:02:30Z"
