"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4VMlpGmGk1DqNeu9afJnuX","Sun","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1f6sJr8plfTWgdj2DVa67R","Beacon (Deluxe Version)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-09-03","https://i.scdn.co/image/ab67616d0000b27393bf05d2aaea2806a2b69f99","1","4","187720","","false","0","spotify:user:brenmiester","2019-05-01T14:56:12Z"
"spotify:track:3QNuzLtjHZ18EcNMbt6M91","Talk - Single Edit","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0po4dvervmBYcVIX0nMBo0","Talk","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2019-03-20","https://i.scdn.co/image/ab67616d0000b2736e4fdbe236a5e1b3b2b13ae9","1","1","216503","","false","0","spotify:user:brenmiester","2019-05-01T14:56:23Z"
"spotify:track:3VafM8eWIZACrfPf82oYt0","Cigarettes In The Theatre","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","1","213533","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:64P1mBttwJ1sANCi4WcsAh","Come Back Home","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","2","202853","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:3ZMdUkAx1Tz16HKHE9FbHe","Do You Want It All ?","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","3","208213","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:1mA4DYtaxeAwtK4ysAqfnM","This Is The Life","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","4","209773","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:0jeWGnqgQJLES5xFDRasAl","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","5","162906","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:3XpeLnjCrtZ1lc7xh5KVL7","I Can Talk","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","6","175906","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:4RFOVoap9oSTovVmBFxIaJ","Undercover Martyn","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","7","166573","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
"spotify:track:5uVM8EIOTi0vAOUa4aNdCy","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:0jwAqX91CxLqEnNURVUZDe","Tourist History (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-10-18","https://i.scdn.co/image/ab67616d0000b2735c1ad7a6502a701b180cbc60","1","8","189693","","false","0","spotify:user:brenmiester","2019-05-01T14:56:59Z"
