"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0jt6NEuzEY0OouXkwZHq5n","Creepin Up The Backstairs - Composite Edit (do not put on a/w)","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","8","187160","https://p.scdn.co/mp3-preview/e4b991c108014b64cf1f2269e3464caf33aa1b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:21Qsj3cMVCx2xF2EVVNbEu","Fell In Love With a Girl","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:6Xvc1TfpVEhDeHhmTQEtp0","White Blood Cells","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2001-07-03","https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721","1","4","110093","https://p.scdn.co/mp3-preview/875ff76d6a0eed5c59bf7ff668e10b9ca4f9db6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:2NjETNqIXk4JlJFkEDmM5t","Ole Black 'n' Blue Eyes","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","13","196253","https://p.scdn.co/mp3-preview/64d887a6cf0b65200c5505ce88fc289f61d97213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:20I8RduZC2PWMWTDCZuuAN","Take Me Out","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","spotify:album:0vi5ePiEHrGZJF7QhnDW2z","Franz Ferdinand","spotify:artist:0XNa1vTidXlvJ2gHSsRi4A","Franz Ferdinand","2004-02-16","https://i.scdn.co/image/ab67616d0000b27309a90531b85be7899c3234c4","1","3","237026","https://p.scdn.co/mp3-preview/399c401370438be449c2aebff816ba8c62559871?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:1bCmvezFg5MRcENzCGG1Cy","Chelsea Dagger","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:7avNT7QnpWXl1Khqnsguaw","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b273adba877024420660db2f124e","1","4","215306","https://p.scdn.co/mp3-preview/2a61b34b4a8fbed6f1cd788946721ebb54b7804b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:4spfRBAAdrMKR35lZWrgYF","Goodbye Mr A","spotify:artist:4LlDtNr8qFwhrT8eL2wzH4","The Hoosiers","spotify:album:5sScGdiKDLwMPQMO688baH","The Trick To Life","spotify:artist:4LlDtNr8qFwhrT8eL2wzH4","The Hoosiers","2007-10-22","https://i.scdn.co/image/ab67616d0000b273340218cd71fdd076b55a8ca5","1","4","266813","https://p.scdn.co/mp3-preview/1ea6c1e9574447f985c37bc5952a275fc7c2c5a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:4WNegjB8eSeJsxhmEWiBQQ","Vince The Loveable Stoner","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","9","194133","https://p.scdn.co/mp3-preview/d6cc90169c5fdfe038af244aae8e9f0d92f3791a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:0bXhjlgUddDlJzHOeVM4Tq","Never Miss A Beat","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:1cMowxUDW6TPg6NXnOdM3n","Off With Their Heads","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2008-01-01","https://i.scdn.co/image/ab67616d0000b27301462e466fdf659666e1e333","1","2","186946","https://p.scdn.co/mp3-preview/520a39bb062a757febd40e3bbeb1256d8f537d8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:2cRdtQt7Iii6y1LzW9cXwe","Cuntry Boys & City Girls","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","spotify:album:6YYhMNDgi37WNGtCDis6PT","Costello Music","spotify:artist:3M4ThdJR28z9eSMcQHAZ5G","The Fratellis","2006-01-01","https://i.scdn.co/image/ab67616d0000b27379fe00e63c4e2f7e5558dbef","1","3","211200","https://p.scdn.co/mp3-preview/e2e3989dba58f8934cfd5efb7b3f9b72d93dce36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-11-06T12:16:30Z"
"spotify:track:6Ca3uEAuun3HusTUiIXKs1","If You Wanna","spotify:artist:0Ak6DLKHtpR6TEEnmcorKA","The Vaccines","spotify:album:2T0iwqVWzr4Y63x4kKO5DW","What Did You Expect from The Vaccines?","spotify:artist:0Ak6DLKHtpR6TEEnmcorKA","The Vaccines","2011-03-14","https://i.scdn.co/image/ab67616d0000b27373a8b8f4292ed4f6fb53b69c","1","2","174013","https://p.scdn.co/mp3-preview/ef46a22926227ef839c633ed16357fc3d4d0dc38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2021-11-06T12:16:30Z"
