"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ijyoI3mHIwccQWNG2zubP","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","spotify:album:7GUbfiSrdAw0FlsQiUlMF8","Captain Duck","spotify:artist:0q8J3Yj810t5cpAYEJ7gxt","Duck Sauce","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734b8dc249baa22aabc5753ec5","1","1","166831","","false","0","spotify:user:brenmiester","2020-09-19T04:40:21Z"
"spotify:track:73mWQuPeuAg8NJthWGPwHR","Just Be Good To Me - Radio Edit","spotify:artist:1DIvkVGJmk8Luy53ChhCjj","Earth n Days","spotify:album:0YBXv3JZRHJNI9yyepn8NN","Just Be Good To Me","spotify:artist:1DIvkVGJmk8Luy53ChhCjj","Earth n Days","2020-02-21","https://i.scdn.co/image/ab67616d0000b2735dfe57be833e0ee1a429b3d2","1","1","217500","https://p.scdn.co/mp3-preview/b2613303bfe3ee6705bb9eeaba65e7fbff18fbd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:brenmiester","2020-09-19T04:40:21Z"
"spotify:track:0leNTHlCitjVoDnx5ZG2S7","La Funky","spotify:artist:0BEYTctVmnYa5yStp4Jpab, spotify:artist:3InmcxeVqp927p7YwKYEP9","Destructo, Oliver","spotify:album:5wfNfW1hJgpiGHAeKaK2Tv","Technology","spotify:artist:0BEYTctVmnYa5yStp4Jpab","Destructo","2012-04-23","https://i.scdn.co/image/ab67616d0000b27395eda0dec60be1cbf1fd8e80","1","2","279951","https://p.scdn.co/mp3-preview/80d4941236ad2eb51f046ca71e5d448caa465404?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2020-09-19T04:40:21Z"
"spotify:track:2M72ge9OrR7muKhcBi509v","Rave Grave","spotify:artist:1lAwVq9MxNJkB0dEY6xNoV, spotify:artist:6fjbZ7zQBYEy3kvB5JL5PM","Walker & Royce, VNSSA","spotify:album:5h4wJIZVn43IZVTJxMsete","Rave Grave","spotify:artist:1lAwVq9MxNJkB0dEY6xNoV, spotify:artist:6fjbZ7zQBYEy3kvB5JL5PM","Walker & Royce, VNSSA","2019-09-04","https://i.scdn.co/image/ab67616d0000b2734ec2a23e747b732f83901c5c","1","1","189614","https://p.scdn.co/mp3-preview/a2a13a3daf0f2204f8d51eb95d92d9b9f8b0fefb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:brenmiester","2020-09-19T04:40:21Z"
"spotify:track:23mQCWkhYaYieuwOY9XPsB","LUV U NEED U","spotify:artist:41rVuRHYAiH7ltBTHVR9We","Slushii","spotify:album:2UtExGWJgKjkxT5V7RBIY2","LUV U NEED U","spotify:artist:41rVuRHYAiH7ltBTHVR9We","Slushii","2017-06-12","https://i.scdn.co/image/ab67616d0000b2733078d1ed0e7c722396d34521","1","1","146709","","false","0","spotify:user:brenmiester","2020-09-19T04:47:06Z"
"spotify:track:4Y2rpX5JYl36egnadIEp8e","Cheat Codes VIP","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","spotify:album:6f8gKUl7HwEWAwnkB8m9WB","Cheat Codes VIP","spotify:artist:4XU5f8nGiPMr6eetud6epC","Nitro Fun","2017-12-25","https://i.scdn.co/image/ab67616d0000b27352b8dc0206809420770cea32","1","1","204382","","false","0","spotify:user:brenmiester","2020-09-19T04:47:06Z"
"spotify:track:3MEYFivt6bilQ9q9mFWZ4g","Alone","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","spotify:album:7ePC9qS9mSOTY9E0YPP6yg","Alone","spotify:artist:64KEffDW9EtZ1y2vBYgq8T","Marshmello","2016-05-13","https://i.scdn.co/image/ab67616d0000b273956043cfb058f0be93022267","1","1","273802","https://p.scdn.co/mp3-preview/8e82d601936d36472ce5815ef701e05bace832d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:brenmiester","2020-09-19T04:47:06Z"
"spotify:track:5FdXUvs0TJ8RvIaSvWDi3n","Freaks","spotify:artist:0CbeG1224FS58EUx4tPevZ, spotify:artist:1GbrJTB56Xs4XQGlmVbaCf","Timmy Trumpet, Savage","spotify:album:3yQrTTbgjA1gQUfv7G447H","Freaks","spotify:artist:0CbeG1224FS58EUx4tPevZ","Timmy Trumpet","2014-01-01","https://i.scdn.co/image/ab67616d0000b273b2c48fbe6e85d57113439875","1","1","274327","https://p.scdn.co/mp3-preview/0ca24edebafa5fb0a281fa1f50edfacfefe5e723?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:brenmiester","2020-09-19T04:47:06Z"
"spotify:track:2S4N7RYlhHr1vWadDaleuJ","Burnt Rice (feat. Yung GEMMY)","spotify:artist:1DLKitfb8fshL0DtCecRpY, spotify:artist:286Ranmy5NZOVyIwNwAUE4, spotify:artist:5ZAPfZ2QrWRwg7vtyfky9t","Shawn Wasabi, YDG, Yung GEMMY","spotify:album:2QIAWsoHz28fOoMDnDwRXc","Burnt Rice (feat. Yung GEMMY)","spotify:artist:1DLKitfb8fshL0DtCecRpY, spotify:artist:286Ranmy5NZOVyIwNwAUE4","Shawn Wasabi, YDG","2015-12-04","https://i.scdn.co/image/ab67616d0000b2734b4fe17a8a9edcefca0061a3","1","1","120750","https://p.scdn.co/mp3-preview/0010e25f4a15fd9e7996cfe676a3ff3bebf8cf1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2020-09-19T04:47:06Z"
"spotify:track:2qOS00vav7CVkOwfkkXktG","Hot","spotify:artist:1bgWqGp78w6C8CNPvD6Qlo","FWLR","spotify:album:0nWLHsJI3g8wJrjKpqeuBS","Hot","spotify:artist:1bgWqGp78w6C8CNPvD6Qlo","FWLR","2019-04-04","https://i.scdn.co/image/ab67616d0000b273008f611fd0bc2e29e9f62e28","1","1","170481","https://p.scdn.co/mp3-preview/b54e913907becf1e78b8882e37aec3871791e616?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:brenmiester","2020-09-19T04:47:06Z"
