"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Cw0SsOvntoDIbjkBRJZM7","Fault (feat. McCall)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:229NvsczXKwdH0DkPg4uwT","MYRNE, Grant, McCall","spotify:album:6BqhJwgu4KiAXqYjmrbmCi","Fault (feat. McCall)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:2Hchwjfl1DioXcIwbOJkus","MYRNE, Grant","2018-07-16","https://i.scdn.co/image/ab67616d0000b2732cbdf34feff5c1d5c5a921ea","1","1","264489","","false","0","spotify:user:brenmiester","2018-07-31T10:45:59Z"
"spotify:track:6ltB18QeGtSeiE0zrR1z8p","Get Lemon","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","spotify:album:6PZpNMUB2xzgNosUVVXSG9","Disciple Alliance Vol. 4","spotify:artist:7a3OvvhvAvZ1FZE928i3Lk","Disciple","2018-07-16","https://i.scdn.co/image/ab67616d0000b27339871ba27d171eb4ffdc5d03","1","1","231724","https://p.scdn.co/mp3-preview/b7c81fd16e6609da7c2028e4a8f58c25c4a0da3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:brenmiester","2018-07-31T10:46:06Z"
"spotify:track:0cHonqFSxJYFkFQ6XSSXxA","5 Star Life","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:6D1IUsM14mLiDrBl3e7bu4","Pintxos","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2015-11-30","https://i.scdn.co/image/ab67616d0000b273ed0b75aea720680a78ef5b16","1","12","210130","https://p.scdn.co/mp3-preview/0e9bbed5885c50e899a24cf528abe6e7b515972c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","spotify:user:brenmiester","2018-07-31T10:46:10Z"
"spotify:track:1svSariZ4DSG4O0pqpa0L1","Purple People Eater","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:7pYcXNtcVUEV2kHT3lQPcP","Purple People Eater","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2018-07-23","https://i.scdn.co/image/ab67616d0000b2732d1cea8c4f8e87e31c580f19","1","1","262242","https://p.scdn.co/mp3-preview/07592492e0f4894c7f45179c7030c3554b54cc41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:brenmiester","2018-07-31T10:46:23Z"
"spotify:track:3w3VG7hwvhqTM5d17s4d62","500","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:0mnvX1IRbzH8saFUVigt1r","Hopeless Arguments","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2012-10-26","https://i.scdn.co/image/ab67616d0000b273e063c76e0f9ed8a2a1aa3596","1","3","108324","https://p.scdn.co/mp3-preview/61d54dce1bb71aa7b22424eac28f4c290fd65cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brenmiester","2018-07-31T10:46:37Z"
"spotify:track:0EuqL5Hc1Sm6tZue0UXhYX","Highroyds","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","spotify:album:4J2DGuw6IwLdEwQL94msiU","Yours Truly, Angry Mob","spotify:artist:0LbLWjaweRbO4FDKYlbfNt","Kaiser Chiefs","2007-01-01","https://i.scdn.co/image/ab67616d0000b2738ed8466b86827be1104b410a","1","4","198786","https://p.scdn.co/mp3-preview/caab83378f3da069a5d55f38211fa883c53d0716?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brenmiester","2018-07-31T10:46:45Z"
"spotify:track:2wEjPgOCEczmjlvq60LyQi","Girls / Girls / Boys","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:1hxraaWEf3wFnJxADf8Dge","Too Weird to Live, Too Rare to Die!","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2013-10-04","https://i.scdn.co/image/ab67616d0000b2733d01f39642426b65217fbe21","1","6","206840","https://p.scdn.co/mp3-preview/22de23682f2d0454acbe237814dd075e4c1ad16c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:brenmiester","2018-07-31T10:46:54Z"
"spotify:track:76vMKwFtdDDCLcM6zXybjB","Say Amen (Saturday Night)","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6ApYSpXF8GxZAgBTHDzYge","Pray for the Wicked","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2018-06-22","https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989","1","2","189186","https://p.scdn.co/mp3-preview/9ac903f206067e3d1e4d730530ec261463039542?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:brenmiester","2018-07-31T10:46:57Z"
"spotify:track:6zRoOTthU4stLo88BcFWKg","Starship","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","spotify:album:3wihTA2rSNZJhBdhDOhV2C","Starship","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2017-03-29","https://i.scdn.co/image/ab67616d0000b2731358b4ba698904fc76ab24c2","1","1","213000","","false","0","spotify:user:brenmiester","2018-08-01T08:08:54Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","5","188493","https://p.scdn.co/mp3-preview/46c19d324587898577a1974b8bdc2d5db88a5c65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2018-08-04T09:50:10Z"
"spotify:track:0VoVQ4kBLsFiXqaCzG7gyj","Cars","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","spotify:album:5XssEM6AtkQ92A2Xw5EYgk","Life In Cyan","spotify:artist:7E9Drl32NQ2bN4vzPsjTq3","Those Who Dream","2017-05-30","https://i.scdn.co/image/ab67616d0000b27306942bba6872ce52b3d70e85","1","4","213066","https://p.scdn.co/mp3-preview/e28c3e2dd0e665219a2f58cc9a141912084cb5cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:brenmiester","2018-08-04T10:59:33Z"
