"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5PjdY0CKGZdEuoNab3yDmX","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4bZJWQhHKJckFLJuYdvyX2","F*CK LOVE 3: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-23","https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960","1","3","141805","https://p.scdn.co/mp3-preview/dd4d8d66b97b6edcb5358135e72620715e1449f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","92","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:7rglLriMNBPAyuJOMGwi39","Cold Heart - PNAU Remix","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:6n28c9qs9hNGriNa72b26u","Elton John, Dua Lipa, PNAU","spotify:album:7wHczdY0ek3FHnfVhk10om","The Lockdown Sessions","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","2021-10-22","https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069","1","1","202735","https://p.scdn.co/mp3-preview/f6c38d427c8de04c8baaf2981667b4595cc29e9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:0gplL1WMoJ6iYaPgMCL0gX","Easy On Me","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","spotify:album:224jZ4sUX7OhAuMwaxp86S","Easy On Me","spotify:artist:4dpARuHxo51G3z768sgnrY","Adele","2021-10-14","https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4","1","1","224694","https://p.scdn.co/mp3-preview/c5014be1aeb2ab5f129e2789eff3ea87ecd5027f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","100","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:50nfwKoDiSYg8zOCREWAm5","Shivers","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:32iAEBstCjauDhyKpGjTuq","=","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-10-29","https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2","1","2","207853","https://p.scdn.co/mp3-preview/bb9f413d6876e265d09a5d2d93345c64f8ac4de8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Bad Habits","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:32iAEBstCjauDhyKpGjTuq","=","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-10-29","https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2","1","4","230746","https://p.scdn.co/mp3-preview/e0440ae1a5a38687fb54170742e9b83ebd33ddf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:02MWAaffLxlfxAUY7c5dvx","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:0KTj6k94XZh0c6IEMfxeWV","Dreamland (+ Bonus Levels)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-06","https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea","1","14","238805","https://p.scdn.co/mp3-preview/807fbead013f8f87d805b26224304c79d7f19091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","INDUSTRY BABY (feat. Jack Harlow)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq, spotify:artist:2LIk90788K0zvyj2JJVwkJ","Lil Nas X, Jack Harlow","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","3","212352","https://p.scdn.co/mp3-preview/c1cb40d748692992bd5e476fc17ffe16f31016e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","THATS WHAT I WANT","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","4","143901","https://p.scdn.co/mp3-preview/75aa4d781c96fe990214d04f4e61efb702bf635c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","95","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:6f5ExP43esnvdKPddwKXJH","Better Days (NEIKED x Mae Muller x Polo G)","spotify:artist:5H6xmHXjsq98NLbEjuE29f, spotify:artist:1BEUkE2CSUgHTLSBMZdnFB, spotify:artist:6AgTAQt8XS6jRWi4sX7w49","NEIKED, Mae Muller, Polo G","spotify:album:2wcv0lHk5fUYyNGKugGa7q","Better Days (NEIKED x Mae Muller x Polo G)","spotify:artist:5H6xmHXjsq98NLbEjuE29f, spotify:artist:1BEUkE2CSUgHTLSBMZdnFB","NEIKED, Mae Muller","2021-09-24","https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf","1","1","160656","https://p.scdn.co/mp3-preview/14defc0a6cc8ddf8e855f28dc6238e2851996634?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","spotify:user:","2021-11-06T09:45:39Z"
"spotify:track:6I3mqTwhRpn34SLVafSH7G","Ghost","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","spotify:album:5dGWwsZ9iB2Xc3UKR0gif2","Justice","spotify:artist:1uNFoZAHBGtllmzznpCI3s","Justin Bieber","2021-03-19","https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431","1","11","153190","https://p.scdn.co/mp3-preview/e42e60d629a57d76b2c7c1d83bf68c78b4209bc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","spotify:user:","2021-11-06T09:45:39Z"
