"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:20j7B6mL9gnNvG3ic6Vwh5","Hate To Say I Told You So","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","spotify:album:1C4UGzx5gD9b3X0UfAhY7z","Veni Vidi Vicious","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","2000-09-12","https://i.scdn.co/image/ab67616d0000b27385c160f9951c570a8e81f998","1","6","200693","https://p.scdn.co/mp3-preview/84adc95aa96273e334bcaf0531f11bf53b10106d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:brenmiester","2020-11-21T02:38:59Z"
"spotify:track:5G5qyRHlLmZgy915TBTCkB","Figure It Out","spotify:artist:5NyCIBCeU080ynEj33S4hC","Blu DeTiger","spotify:album:2Hnlavdkpy4vZhva8VsTfq","Figure It Out","spotify:artist:5NyCIBCeU080ynEj33S4hC","Blu DeTiger","2020-04-17","https://i.scdn.co/image/ab67616d0000b273600db082d5dbd86bfb3f7d2b","1","1","164317","https://p.scdn.co/mp3-preview/9936fabcb02eafbbe7ba07a5f06db4048c4531f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2020-11-21T02:39:16Z"
"spotify:track:4TVOhq8xeEuNmV3VzuWR4k","White Knuckles","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","6","198520","https://p.scdn.co/mp3-preview/f3920cb5c07e4841dfcec405b15d4b410a452668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2020-11-21T02:39:23Z"
"spotify:track:0lO9vvpJdd2ZNAq61ga9wy","Doom And Gloom","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:6GMdkihFQDTjdxCPvv0Xiw","Honk (Deluxe)","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","2019-04-19","https://i.scdn.co/image/ab67616d0000b273acb7f7039bbdfd01efcd148b","1","3","238546","https://p.scdn.co/mp3-preview/19d14f90acbc7b4beef316e323c03e40867505a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-11-21T02:39:37Z"
"spotify:track:78lgmZwycJ3nzsdgmPPGNx","Immigrant Song - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:6P5QHz4XtxOmS5EuiGIPut","Led Zeppelin III (Remaster)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1970","https://i.scdn.co/image/ab67616d0000b27390a50cfe99a4c19ff3cbfbdb","1","1","146250","https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:brenmiester","2020-11-21T02:41:34Z"
"spotify:track:0QMHVTnrFTQJoaqmkdsKhT","I Wish - Radio Edit","spotify:artist:55Pp4Ns5VfTSFsBraW7MQy","Skee-Lo","spotify:album:74QhQQa0lhpkOSrz9HXWyE","I Wish","spotify:artist:55Pp4Ns5VfTSFsBraW7MQy","Skee-Lo","1995-08-08","https://i.scdn.co/image/ab67616d0000b2735e2bca5e5a3f48064f2300be","1","2","252306","https://p.scdn.co/mp3-preview/8218f1f32b9d0f553dc4c11e7f9986d271fe7f1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:brenmiester","2020-11-21T02:44:03Z"
"spotify:track:63ZMWm1RPYgK6pQbzkK100","Coconut Mall (From ""Mario Kart Wii"")","spotify:artist:0LzeyDrlLtuyBqMSBN4z3U","Qumu","spotify:album:0Sft679qCdCzuedMr6Obue","Coconut Mall (From ""Mario Kart Wii"")","spotify:artist:0LzeyDrlLtuyBqMSBN4z3U","Qumu","2019","https://i.scdn.co/image/ab67616d0000b273e47abcc5f4193c48b3ed26f1","1","1","165905","","false","3","spotify:user:brenmiester","2020-11-21T02:44:17Z"
"spotify:track:54bFM56PmE4YLRnqpW6Tha","Therefore I Am","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:5G58VVE9ub1KE01Mvbd8XM","Therefore I Am","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2020-11-12","https://i.scdn.co/image/ab67616d0000b2737a152619a7b55bc621d07901","1","1","174321","https://p.scdn.co/mp3-preview/daa47fc319f8a5a169ae70ff718ea7104de50e78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:brenmiester","2020-11-21T02:44:30Z"
"spotify:track:5fpizYGbi5IQoEraj6FP0R","Intergalactic - Remastered","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6eGYLONkDMja0MNtZWnRRB","Hello Nasty (Deluxe Version/Remastered 2009)","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1998-07-14","https://i.scdn.co/image/ab67616d0000b273ab1d7b56d97842315dd0fdaa","1","7","231493","https://p.scdn.co/mp3-preview/528b773a6b700eedc91bcd03132cdac0fe1c5d0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:brenmiester","2020-11-21T02:44:50Z"
"spotify:track:0Puj4YlTm6xNzDDADXHMI9","Sabotage","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:6lfjbwFGzQ6aSNP1N3JlT8","Ill Communication","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1994-05-23","https://i.scdn.co/image/ab67616d0000b273436a305db8bd85b820da3e5a","1","6","178440","https://p.scdn.co/mp3-preview/aa8940464fee4e7f40204618fceb0760f937d1d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:brenmiester","2020-11-21T02:46:50Z"
